entrydate,indexcode,indexname,dayrsi14,weekrsi14,monthrsi14,dltp,daylowerband,daymiddleband,weeklowerband,weekmiddleband,monthlowerband,monthmiddleband
14/02/2025,^NSEI,"NIFTY 50
",40.63,41.24,59.26,23031.4,22762.53,23261.14,22762.15,23985.78,18465.53,22464.53
14/02/2025,^CNXAUTO,"NIFTY AUTO
",41.39,42.8,62.65,22344.3,21771.06,22724.55,21484.94,23641.31,10164.76,12139.97
14/02/2025,^NSEBANK,"NIFTY BANK
",46.29,45.03,57.33,49359.85,47948.56,49280.82,48013.86,50851.14,42319.38,48451.54
14/02/2025,^CNXFMCG,"NIFTY FMCG
",30.47,34.87,75.81,53314.75,53484.46,55542.85,52892.31,57623.5,33416.84,41603.13
14/02/2025,^CNXIT,"NIFTY IT
",37.91,47.2,61.89,41315.55,41297.21,42444.67,40424.0,42937.16,27691.56,36950.68
14/02/2025,^CNXMETAL,"NIFTY METAL
",47.15,40.27,55.11,8336.35,8101.48,8372.89,7938.98,8995.13,4764.23,5780.79
14/02/2025,^CNXREALTY,"NIFTY REALTY
",33.88,36.42,56.36,846.15,821.18,895.96,853.29,991.05,377.69,441.79
14/02/2025,^CNXMEDIA,"NIFTY MEDIA
",33.29,30.47,42.41,1544.6,1501.17,1614.91,1532.17,1867.81,1636.54,2023.48
14/02/2025,^CNXCONSUM,NIFTY CONSUMER GOODS,38.27,40.74,61.7,10784.7,10583.89,11010.36,10609.44,11454.81,6483.29,7291.91
