entrydate,indexcode,indexname,dayrsi14,weekrsi14,monthrsi14
21/02/2025,^NSEI,NIFTY 50,0.0,0.0,58.72
21/02/2025,^CNXAUTO,NIFTY AUTO,0.0,0.0,0.0
21/02/2025,^NSEBANK,NIFTY BANK,0.0,0.0,57.01
21/02/2025,^CNXFMCG,NIFTY FMCG,0.0,0.0,0.0
21/02/2025,^CNXIT,NIFTY IT,0.0,0.0,61.23
21/02/2025,^CNXMETAL,NIFTY METAL,0.0,0.0,55.11
21/02/2025,^CNXPHARMA,NIFTY PHARMA,0.0,0.0,0.0
21/02/2025,^CNXREALTY,NIFTY REALTY,0.0,0.0,56.36
21/02/2025,^CNXMEDIA,NIFTY MEDIA,0.0,0.0,42.41
21/02/2025,^CNXCONSUM,NIFTY CONSUMER GOODS,0.0,0.0,61.7
