Date,Close,High,Low,Open,Volume
2019-12-30,4098.330078125,4198.309414234857,4078.3437550141557,4141.6737043967105,2447736
2020-01-06,4050.83251953125,4108.640725448431,3860.4022039774745,4069.5480449018237,9172365
2020-01-13,4135.76220703125,4145.7797086847195,4051.957254174174,4073.458233332841,3215419
2020-01-20,4099.35595703125,4156.480323783887,3992.3397507385043,4133.073391890608,4563876
2020-01-27,4179.05615234375,4383.266729661371,4056.012037915439,4079.3211437249856,13883596
2020-02-03,4548.7265625,4580.587193824122,4153.793123702463,4153.793123702463,7134938
2020-02-10,4673.28564453125,4705.781435336011,4534.750957416218,4554.2972977499085,4623429
2020-02-17,4769.74755859375,4811.723042833171,4594.954295162951,4673.286167372775,4251787
2020-02-24,4364.55126953125,4765.397746199156,4213.946622677237,4730.214333798998,9190324
2020-03-02,4129.9951171875,4513.201206222034,3944.9400488136807,4495.658175286246,11880243
2020-03-09,3871.77294921875,4043.147499837087,3213.9961966710566,3986.8226103784236,16461846
2020-03-16,2891.572998046875,3755.1071292667048,2433.9210422929586,3755.1071292667048,25577497
2020-03-23,2490.34375,2977.8723418149225,2061.6377412476745,2602.454718459472,29594544
2020-03-30,2162.38623046875,2365.0578046084797,2057.0831637528313,2341.2055790337945,31322439
2020-04-06,2499.69921875,2513.706785510466,2038.9614298296522,2162.3864311068733,27464063
2020-04-13,2260.979248046875,2468.499857523369,2078.633610184361,2468.499857523369,34955113
2020-04-20,1935.862060546875,2297.5658256863735,1929.788815638146,2277.4847771139707,39488342
2020-04-27,2270.725830078125,2369.5146475105826,1876.5004997950048,1959.1266420065092,53195050
2020-05-04,1982.783203125,2157.194387985283,1912.4505059025341,2155.039396419106,46720229
2020-05-11,2043.8099365234375,2212.7846171057713,1936.6947063998448,2027.6961669880025,49766959
2020-05-18,1856.56640625,2050.6667822409077,1827.1304806850933,2047.287336620745,62627229
2020-05-25,1913.7239990234375,1942.474159977371,1746.5614862529767,1856.5665003794668,46618163
2020-06-01,2341.49951171875,2445.8230157287085,1956.2371716151083,1956.2371716151083,93229018
2020-06-08,2400.0771484375,2495.633605125062,2154.059898280299,2453.806296131036,63172247
2020-06-15,2643.449951171875,2659.073939951504,2238.302423420853,2370.5434856360894,65977070
2020-06-22,2844.162109375,3061.135385499182,2672.248746125366,2684.003506005683,78789715
2020-06-29,2871.58984375,2954.3629434589798,2713.3903691582805,2776.082421008869,54185283
2020-07-06,3246.419677734375,3349.763607880312,2894.609607405156,2909.3030571889385,88348366
2020-07-13,3233.83251953125,3308.964980282315,3038.8994138248613,3291.332840067667,54946702
2020-07-20,3185.39306640625,3447.5730924057807,3128.3335032203895,3276.5902676812575,68940920
2020-07-27,3184.854248046875,3260.9662696525015,3087.779428047986,3196.3150909811093,37115261
2020-08-03,3393.501220703125,3410.300635799442,3078.620642715742,3177.703375804532,36452618
2020-08-10,3263.0234375,3484.1598547256226,3238.6321675910394,3422.594205033558,28558284
2020-08-17,3320.0341796875,3394.1870790090566,3244.705613000294,3281.5372913940373,19880558
2020-08-24,3595.781005859375,3631.241149453527,3331.543805949721,3333.4539065525632,31587109
2020-08-31,3523.29345703125,3673.2156735331478,3394.1869614328,3639.0777955910107,27011974
2020-09-07,3471.96435546875,3554.835513245683,3323.1197474054466,3533.285118841879,23047784
2020-09-14,3403.787109375,3501.9883448187265,3350.106984713669,3484.3071767913802,18883107
2020-09-21,3074.80029296875,3396.1460939327167,2945.448906314218,3392.0319757420416,24293085
2020-09-28,3372.440673828125,3389.2891152412803,3098.1139159622426,3113.052256715835,19217783
2020-10-05,3250.093505859375,3447.0838131795467,3218.159880577836,3394.187386378838,25682936
2020-10-12,3165.312255859375,3313.226327745748,3105.313998223346,3281.537356419538,22631011
2020-10-19,3249.113525390625,3288.198245889982,3037.9688401649437,3188.5767026982153,25285733
2020-10-26,3241.375244140625,3418.578165000247,3170.503737505954,3261.9460752457785,22284268
2020-11-02,3703.484130859375,3749.0828525748257,3207.72702438677,3257.58694232985,25181930
2020-11-09,4285.3935546875,4344.363459711884,3708.6758711993916,3732.1363656149447,41935976
2020-11-16,4619.47412109375,4687.210834038013,4256.202941252908,4286.618193275063,30451957
2020-11-23,4808.48046875,4858.634304504566,4545.174026794594,4671.537701246426,35023660
2020-11-30,4775.71435546875,4856.675172065468,4687.210709627524,4808.480463103187,14228619
2020-12-07,4744.85791015625,4824.300591519345,4677.414879531219,4770.473395459066,12648174
2020-12-14,5145.15673828125,5194.7715286357925,4748.923344538315,4758.229196801746,17980523
2020-12-21,5078.93798828125,5127.720530770101,4727.715735582603,5121.157264912995,15082107
2020-12-28,5172.24169921875,5262.704476764622,5061.893975557224,5078.938283413849,12083234
2021-01-04,4978.140625,5215.19494047619,4888.314480252737,5215.19494047619,15929183
2021-01-11,4783.7958984375,5006.49973227502,4727.617841992087,5003.609828934593,14755172
