Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'SAIL.NS')","('High', 'SAIL.NS')","('Low', 'SAIL.NS')","('Open', 'SAIL.NS')","('Volume', 'SAIL.NS')","('Date', '')","('Close', 'SAIL.NS')","('High', 'SAIL.NS')","('Low', 'SAIL.NS')","('Open', 'SAIL.NS')","('Volume', 'SAIL.NS')"
2019-12-30,40.09757995605469,46.650001525878906,47.59999847412109,42.54999923706055,43.150001525878906,151149287.0,,,,,,,,,,,,
2020-01-06,42.89108276367188,49.900001525878906,50.400001525878906,44.59999847412109,46.29999923706055,161518066.0,,,,,,,,,,,,
2020-01-13,43.79359817504883,50.95000076293945,51.900001525878906,49.04999923706055,50.0,128280055.0,,,,,,,,,,,,
2020-01-20,43.87955093383789,51.04999923706055,51.5,49.20000076293945,51.150001525878906,91384559.0,,,,,,,,,,,,
2020-01-27,38.24956512451172,44.5,50.70000076293945,44.0,50.70000076293945,129952547.0,,,,,,,,,,,,
2020-02-03,41.816654205322266,48.650001525878906,49.75,43.25,43.70000076293945,123847283.0,,,,,,,,,,,,
2020-02-10,37.73383712768555,43.900001525878906,48.400001525878906,43.650001525878906,48.400001525878906,97112439.0,,,,,,,,,,,,
2020-02-17,36.22964096069336,42.150001525878906,44.0,40.70000076293945,42.0,109338456.0,,,,,,,,,,,,
2020-02-24,30.55667495727539,35.54999923706055,41.45000076293945,34.900001525878906,41.45000076293945,119772229.0,,,,,,,,,,,,
2020-03-02,28.36483764648437,33.0,37.20000076293945,31.89999961853028,36.650001525878906,153190017.0,,,,,,,,,,,,
2020-03-09,25.399423599243164,29.549999237060547,32.099998474121094,21.39999961853028,32.0,182169572.0,,,,,,,,,,,,
2020-03-16,22.94973564147949,26.700000762939453,30.700000762939453,24.799999237060547,27.049999237060547,204721934.0,,,,,,,,,,,,
2020-03-23,18.136306762695312,21.100000381469727,25.299999237060547,21.0,24.700000762939453,141796459.0,,,,,,,,,,,,
2020-03-30,18.60905647277832,21.64999961853028,24.299999237060547,20.14999961853028,21.0,103249417.0,,,,,,,,,,,,
2020-04-06,22.648897171020508,26.350000381469727,27.549999237060547,21.64999961853028,21.64999961853028,114264762.0,,,,,,,,,,,,
2020-04-13,24.325000762939453,28.299999237060547,28.64999961853028,25.100000381469727,26.14999961853028,102564643.0,,,,,,,,,,,,
2020-04-20,23.121644973754883,26.89999961853028,29.0,25.39999961853028,29.0,87660955.0,,,,,,,,,,,,
