Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'BAJFINANCE.NS')","('High', 'BAJFINANCE.NS')","('Low', 'BAJFINANCE.NS')","('Open', 'BAJFINANCE.NS')","('Volume', 'BAJFINANCE.NS')","('Date', '')","('Close', 'BAJFINANCE.NS')","('High', 'BAJFINANCE.NS')","('Low', 'BAJFINANCE.NS')","('Open', 'BAJFINANCE.NS')","('Volume', 'BAJFINANCE.NS')"
2019-12-30,4123.619140625,4193.4501953125,4295.75,4173.0,4237.7998046875,2447736.0,,,,,,,,,,,,
2020-01-06,4075.828369140625,4144.85009765625,4204.0,3950.0,4164.0,9172365.0,,,,,,,,,,,,
2020-01-13,4161.28076171875,4231.75,4242.0,4146.0,4168.0,3215419.0,,,,,,,,,,,,
2020-01-20,4124.6513671875,4194.5,4252.9501953125,4085.0,4229.0,4563876.0,,,,,,,,,,,,
2020-01-27,4204.84326171875,4276.0498046875,4485.0,4150.14990234375,4174.0,13883596.0,,,,,,,,,,,,
2020-02-03,4576.79443359375,4654.2998046875,4686.89990234375,4250.2001953125,4250.2001953125,7134938.0,,,,,,,,,,,,
2020-02-10,4702.1220703125,4781.75,4815.0,4640.0,4660.0,4623429.0,,,,,,,,,,,,
2020-02-17,4799.17919921875,4880.4501953125,4923.39990234375,4701.60009765625,4781.75,4251787.0,,,,,,,,,,,,
2020-02-24,4391.48291015625,4465.85009765625,4876.0,4311.75,4840.0,9190324.0,,,,,,,,,,,,
2020-03-02,4155.4794921875,4225.85009765625,4617.9501953125,4036.5,4600.0,11880243.0,,,,,,,,,,,,
2020-03-09,3895.6640625,3952.550048828125,4127.5,3281.050048828125,4070.0,16461846.0,,,,,,,,,,,,
2020-03-16,2909.41552734375,2951.89990234375,3833.449951171875,2484.699951171875,3833.449951171875,25577497.0,,,,,,,,,,,,
2020-03-23,2505.710693359375,2542.300048828125,3040.0,2104.64990234375,2656.75,29594544.0,,,,,,,,,,,,
2020-03-30,2175.729248046875,2207.5,2414.39990234375,2100.0,2390.050048828125,31322439.0,,,,,,,,,,,,
2020-04-06,2515.123046875,2551.85009765625,2566.14990234375,2081.5,2207.5,27464063.0,,,,,,,,,,,,
2020-04-13,2274.930419921875,2308.14990234375,2520.0,2122.0,2520.0,34955113.0,,,,,,,,,,,,
2020-04-20,1947.8072509765625,1976.25,2345.5,1970.050048828125,2325.0,39488342.0,,,,,,,,,,,,
2020-04-27,2284.7373046875,2318.10009765625,2418.949951171875,1915.6500244140625,2000.0,53195050.0,,,,,,,,,,,,
2020-05-04,1995.0179443359373,2024.1500244140625,2202.199951171875,1952.3499755859373,2200.0,46720229.0,,,,,,,,,,,,
2020-05-11,2056.42138671875,2086.449951171875,2258.949951171875,1977.0999755859373,2070.0,49766959.0,,,,,,,,,,,,
2020-05-18,1868.0224609375,1895.300048828125,2093.449951171875,1865.25,2090.0,62627229.0,,,,,,,,,,,,
2020-05-25,1925.5325927734373,1953.6500244140625,1983.0,1783.0,1895.300048828125,46618163.0,,,,,,,,,,,,
