Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'BPCL.NS')","('High', 'BPCL.NS')","('Low', 'BPCL.NS')","('Open', 'BPCL.NS')","('Volume', 'BPCL.NS')","('Date', '')","('Close', 'BPCL.NS')","('High', 'BPCL.NS')","('Low', 'BPCL.NS')","('Open', 'BPCL.NS')","('Volume', 'BPCL.NS')"
2019-12-30,182.08950805664065,241.75,246.9499969482422,236.4250030517578,246.0,33847098.0,,,,,,,,,,,,
2020-01-06,177.09945678710938,235.125,240.0,224.2749938964844,237.5,85238108.0,,,,,,,,,,,,
2020-01-13,170.94195556640625,226.9499969482422,239.375,226.0,235.5,42015220.0,,,,,,,,,,,,
2020-01-20,175.53652954101562,233.0500030517578,236.6000061035156,225.8000030517578,227.4750061035156,46543618.0,,,,,,,,,,,,
2020-01-27,167.02523803710938,221.75,243.4499969482422,218.6499938964844,233.25,72252038.0,,,,,,,,,,,,
2020-02-03,185.0647125244141,245.6999969482422,255.0,221.2250061035156,223.125,96210798.0,,,,,,,,,,,,
2020-02-10,179.43443298339844,238.2250061035156,247.7749938964844,234.0,246.0,55467482.0,,,,,,,,,,,,
2020-02-17,177.66439819335938,235.875,240.5,228.0,239.2250061035156,40505530.0,,,,,,,,,,,,
2020-02-24,160.56643676757812,213.1750030517578,237.8500061035156,210.25,235.5,62295372.0,,,,,,,,,,,,
2020-03-02,151.81031799316406,201.5500030517578,220.9250030517578,199.0,216.0,69711228.0,,,,,,,,,,,,
2020-03-09,141.6230926513672,188.0249938964844,227.1999969482422,137.72500610351562,206.9499969482422,195107420.0,,,,,,,,,,,,
2020-03-16,119.70455169677734,158.9250030517578,193.625,142.6999969482422,175.0,121206476.0,,,,,,,,,,,,
2020-03-23,104.97921752929688,139.375,152.0,126.0,142.5,77933324.0,,,,,,,,,,,,
2020-03-30,125.9807586669922,158.5749969482422,164.85000610351562,134.5,134.5,100594518.0,,,,,,,,,,,,
2020-04-06,137.00384521484375,172.4499969482422,182.1000061035156,158.5749969482422,158.5749969482422,55395672.0,,,,,,,,,,,,
2020-04-13,143.0417022705078,180.0500030517578,185.1750030517578,168.10000610351562,172.5,43179048.0,,,,,,,,,,,,
2020-04-20,139.2084503173828,175.22500610351562,186.4499969482422,168.5749969482422,181.0749969482422,52210768.0,,,,,,,,,,,,
2020-04-27,146.97425842285156,185.0,187.4250030517578,176.14999389648438,176.60000610351562,59767674.0,,,,,,,,,,,,
2020-05-04,128.9996795654297,162.375,182.1000061035156,156.1750030517578,181.0,116324306.0,,,,,,,,,,,,
2020-05-11,126.3978500366211,159.10000610351562,165.1750030517578,153.625,163.0,90668234.0,,,,,,,,,,,,
2020-05-18,125.2061538696289,157.60000610351562,162.0,145.89999389648438,160.27499389648438,81776114.0,,,,,,,,,,,,
2020-05-25,136.1696319580078,171.39999389648438,173.5749969482422,156.02499389648438,157.60000610351562,75618078.0,,,,,,,,,,,,
2020-06-01,146.8153533935547,184.8000030517578,186.25,168.64999389648438,172.14999389648438,107980134.0,,,,,,,,,,,,
2020-06-08,148.52342224121094,186.9499969482422,201.0249938964844,177.625,189.8000030517578,96812674.0,,,,,,,,,,,,
2020-06-15,151.1649932861328,190.2749938964844,192.25,178.25,186.9499969482422,60139098.0,,,,,,,,,,,,
2020-06-22,156.3686981201172,196.8249969482422,198.4750061035156,183.6499938964844,191.5,75026878.0,,,,,,,,,,,,
2020-06-29,153.09156799316406,192.6999969482422,197.8000030517578,186.1000061035156,196.4499969482422,51556040.0,,,,,,,,,,,,
2020-07-06,149.4966278076172,188.1750030517578,198.375,185.1750030517578,194.0,45695616.0,,,,,,,,,,,,
2020-07-13,176.28965759277344,221.8999938964844,223.6999969482422,180.1499938964844,189.0,163868002.0,,,,,,,,,,,,
2020-07-20,178.1168975830078,224.1999969482422,240.5,217.5500030517578,220.5,247611484.0,,,,,,,,,,,,
2020-07-27,164.37281799316406,206.8999938964844,236.8500061035156,205.4499969482422,227.0,161802824.0,,,,,,,,,,,,
2020-08-03,166.73634338378906,209.875,214.125,195.5,207.0,145136294.0,,,,,,,,,,,,
2020-08-10,164.15432739257812,206.625,217.0500030517578,204.3249969482422,210.5,100266740.0,,,,,,,,,,,,
2020-08-17,162.90306091308594,205.0500030517578,209.9250030517578,198.8249969482422,209.3999938964844,137211296.0,,,,,,,,,,,,
2020-08-24,164.8693389892578,207.5249938964844,211.0,204.1750030517578,206.6999969482422,82048036.0,,,,,,,,,,,,
2020-08-31,160.22178649902344,201.6750030517578,213.1999969482422,200.25,208.75,78872774.0,,,,,,,,,,,,
2020-09-07,170.31138610839844,214.375,218.0,198.1000061035156,205.5,143372042.0,,,,,,,,,,,,
2020-09-14,163.6776580810547,206.0249938964844,214.75,204.8000030517578,212.9499969482422,71538204.0,,,,,,,,,,,,
2020-09-21,149.25831604003906,187.875,207.8500061035156,182.6499938964844,206.75,75007682.0,,,,,,,,,,,,
2020-09-28,140.34056091308594,176.64999389648438,197.25,173.75,188.5,151407702.0,,,,,,,,,,,,
2020-10-05,137.04356384277344,172.5,180.1999969482422,168.8000030517578,176.64999389648438,93539870.0,,,,,,,,,,,,
2020-10-12,135.03756713867188,169.97500610351562,174.89999389648438,162.5,173.5,74058348.0,,,,,,,,,,,,
2020-10-19,139.6453857421875,175.77499389648438,181.5249938964844,170.52499389648438,172.0,81099370.0,,,,,,,,,,,,
2020-10-26,140.79736328125,177.22500610351562,179.72500610351562,169.10000610351562,175.77499389648438,74995734.0,,,,,,,,,,,,
2020-11-02,143.97518920898438,181.2250061035156,185.0249938964844,172.10000610351562,176.89999389648438,69054136.0,,,,,,,,,,,,
2020-11-09,163.99546813964844,206.4250030517578,207.4750061035156,182.75,184.125,111630988.0,,,,,,,,,,,,
2020-11-16,152.25735473632812,191.6499938964844,207.5,188.6750030517578,197.0,138581782.0,,,,,,,,,,,,
2020-11-23,148.16590881347656,186.5,199.75,185.5,193.0,92064860.0,,,,,,,,,,,,
2020-11-30,155.8323974609375,196.1499938964844,199.3999938964844,185.5,186.5,81282820.0,,,,,,,,,,,,
2020-12-07,157.8582763671875,198.6999969482422,203.6999969482422,193.5500030517578,196.0749969482422,92430726.0,,,,,,,,,,,,
2020-12-14,156.44813537597656,196.9250030517578,204.625,194.625,200.75,79421868.0,,,,,,,,,,,,
2020-12-21,149.97332763671875,188.7749938964844,196.5,178.5,196.5,69727246.0,,,,,,,,,,,,
2020-12-28,151.7211151123047,190.9750061035156,192.8000030517578,188.8249969482422,190.0,38341514.0,,,,,,,,,,,,
2021-01-04,158.95065307617188,200.0749969482422,203.0,191.2749938964844,192.4499969482422,79564158.0,,,,,,,,,,,,
2021-01-11,164.69061279296875,207.3000030517578,215.0,197.6750030517578,202.0,115548536.0,,,,,,,,,,,,
