Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'JBCHEPHARM.NS')","('High', 'JBCHEPHARM.NS')","('Low', 'JBCHEPHARM.NS')","('Open', 'JBCHEPHARM.NS')","('Volume', 'JBCHEPHARM.NS')","('Date', '')","('Close', 'JBCHEPHARM.NS')","('High', 'JBCHEPHARM.NS')","('Low', 'JBCHEPHARM.NS')","('Open', 'JBCHEPHARM.NS')","('Volume', 'JBCHEPHARM.NS')"
2019-12-30,206.02081298828125,219.4499969482422,220.0,212.5,212.5,297760.0,,,,,,,,,,,,
2020-01-06,207.9688262939453,221.5249938964844,227.8999938964844,214.375,221.8999938964844,1229096.0,,,,,,,,,,,,
2020-01-13,223.08360290527344,237.625,242.4750061035156,221.4750061035156,221.5,1098392.0,,,,,,,,,,,,
2020-01-20,232.82373046875,248.0,256.5,233.6499938964844,237.5,879354.0,,,,,,,,,,,,
2020-01-27,231.27468872070312,246.3500061035156,259.25,241.75,246.5,668356.0,,,,,,,,,,,,
2020-02-03,263.8277587890625,281.0249938964844,282.0,243.4250030517578,249.4750061035156,1894366.0,,,,,,,,,,,,
2020-02-10,274.0842590332031,291.95001220703125,299.95001220703125,272.3999938964844,283.875,1235658.0,,,,,,,,,,,,
2020-02-17,250.59060668945312,266.92498779296875,294.45001220703125,261.8999938964844,294.45001220703125,847674.0,,,,,,,,,,,,
2020-02-24,252.86724853515625,269.3500061035156,288.25,263.1499938964844,270.0,1443358.0,,,,,,,,,,,,
2020-03-02,274.5536499023437,292.45001220703125,298.45001220703125,264.5,284.5,1698578.0,,,,,,,,,,,,
2020-03-09,271.8221130371094,284.1000061035156,294.0,207.5,292.45001220703125,1588440.0,,,,,,,,,,,,
2020-03-16,242.066146850586,253.0,285.0,232.0,284.0,1201372.0,,,,,,,,,,,,
2020-03-23,243.1903839111328,254.1750030517578,263.625,210.0,238.0,1000386.0,,,,,,,,,,,,
2020-03-30,213.9845733642578,223.6499938964844,262.0,220.2250061035156,249.8500061035156,1111720.0,,,,,,,,,,,,
2020-04-06,245.4627227783203,256.54998779296875,274.5,223.6499938964844,223.6499938964844,3057882.0,,,,,,,,,,,,
2020-04-13,256.82452392578125,268.42498779296875,274.0,249.5,258.95001220703125,1981706.0,,,,,,,,,,,,
2020-04-20,264.3114318847656,276.25,294.70001220703125,273.0249938964844,282.0,2534592.0,,,,,,,,,,,,
2020-04-27,266.8946838378906,278.95001220703125,292.17498779296875,274.2749938964844,277.5,2871338.0,,,,,,,,,,,,
2020-05-04,308.7061462402344,322.6499938964844,325.0,270.82501220703125,276.95001220703125,6064922.0,,,,,,,,,,,,
2020-05-11,303.4198913574219,317.125,330.0,293.04998779296875,328.67498779296875,3207728.0,,,,,,,,,,,,
2020-05-18,314.42291259765625,328.625,343.0,301.5,318.7250061035156,2592974.0,,,,,,,,,,,,
2020-05-25,326.3348693847656,341.07501220703125,348.45001220703125,315.7749938964844,328.625,1986788.0,,,,,,,,,,,,
