Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'SUNPHARMA.NS')","('High', 'SUNPHARMA.NS')","('Low', 'SUNPHARMA.NS')","('Open', 'SUNPHARMA.NS')","('Volume', 'SUNPHARMA.NS')","('Date', '')","('Close', 'SUNPHARMA.NS')","('High', 'SUNPHARMA.NS')","('Low', 'SUNPHARMA.NS')","('Open', 'SUNPHARMA.NS')","('Volume', 'SUNPHARMA.NS')"
2019-12-30,422.3121032714844,444.6000061035156,450.3999938964844,431.25,432.9500122070313,16334700.0,,,,,,,,,,,,
2020-01-06,421.36224365234375,443.6000061035156,449.0,435.1000061035156,440.8999938964844,21449503.0,,,,,,,,,,,,
2020-01-13,431.8108520507813,454.6000061035156,456.3500061035156,442.5499877929688,447.0,18219590.0,,,,,,,,,,,,
2020-01-20,425.3516845703125,447.7999877929688,456.2000122070313,445.0,454.2000122070313,12840057.0,,,,,,,,,,,,
2020-01-27,401.60491943359375,422.7999877929688,462.5,419.3999938964844,447.0,25583118.0,,,,,,,,,,,,
2020-02-03,409.2039489746094,430.7999877929688,441.75,412.8500061035156,423.7999877929688,27855773.0,,,,,,,,,,,,
2020-02-10,397.5680541992188,418.5499877929688,432.75,412.0,428.5499877929688,19548356.0,,,,,,,,,,,,
2020-02-17,384.6497802734375,404.9500122070313,418.5,399.0499877929688,416.2000122070313,16723400.0,,,,,,,,,,,,
2020-02-24,356.7635803222656,372.8999938964844,414.6499938964844,369.4500122070313,406.5,58469884.0,,,,,,,,,,,,
2020-03-02,383.5519714355469,400.8999938964844,414.7999877929688,363.3500061035156,378.0,64134240.0,,,,,,,,,,,,
2020-03-09,367.57464599609375,384.2000122070313,403.8999938964844,325.0,396.0499877929688,49744755.0,,,,,,,,,,,,
2020-03-16,349.4446716308594,365.25,396.3999938964844,347.6499938964844,376.0,59084906.0,,,,,,,,,,,,
2020-03-23,323.6130065917969,338.25,368.0,315.04998779296875,345.0,40017478.0,,,,,,,,,,,,
2020-03-30,359.68170166015625,375.9500122070313,389.7999877929688,312.0,321.6499938964844,56854972.0,,,,,,,,,,,,
2020-04-06,434.7847290039063,454.4500122070313,473.8999938964844,375.9500122070313,375.9500122070313,89348872.0,,,,,,,,,,,,
2020-04-13,437.3200988769531,457.1000061035156,488.5,443.1000061035156,462.9500122070313,99726228.0,,,,,,,,,,,,
2020-04-20,464.5389099121094,485.5499877929688,497.0,450.5499877929688,457.3500061035156,98393800.0,,,,,,,,,,,,
2020-04-27,444.3520202636719,464.4500122070313,504.7999877929688,458.3999938964844,491.0,60796238.0,,,,,,,,,,,,
2020-05-04,448.705078125,469.0,474.5,448.0,464.4500122070313,59687294.0,,,,,,,,,,,,
2020-05-11,429.1878662109375,448.6000061035156,475.5499877929688,445.5499877929688,473.7000122070313,49441160.0,,,,,,,,,,,,
2020-05-18,449.0877990722656,469.3999938964844,471.8999938964844,434.25,447.0,46342637.0,,,,,,,,,,,,
2020-05-25,453.7279052734375,474.25,481.6000061035156,443.3999938964844,469.3999938964844,48350789.0,,,,,,,,,,,,
2020-06-01,472.8624572753906,494.25,511.0,458.2999877929688,483.5,79207485.0,,,,,,,,,,,,
2020-06-08,459.3247375488281,480.1000061035156,512.7000122070312,455.0,498.75,75741868.0,,,,,,,,,,,,
2020-06-15,466.9786071777344,488.1000061035156,493.5,472.7000122070313,481.0,42389030.0,,,,,,,,,,,,
2020-06-22,459.1812744140625,479.9500122070313,503.3999938964844,472.2000122070313,492.2000122070313,42947501.0,,,,,,,,,,,,
2020-06-29,456.2154235839844,476.8500061035156,487.3500061035156,466.1499938964844,475.5,28448735.0,,,,,,,,,,,,
2020-07-06,472.5275573730469,493.8999938964844,498.8999938964844,471.3999938964844,478.0,37151345.0,,,,,,,,,,,,
2020-07-13,481.8078918457031,503.6000061035156,509.5499877929688,490.1000061035156,495.0,40067284.0,,,,,,,,,,,,
2020-07-20,464.5867614746094,485.6000061035156,501.8999938964844,471.6000061035156,501.8999938964844,59658630.0,,,,,,,,,,,,
2020-07-27,508.6919555664063,531.7000122070312,541.0,469.0,484.8500061035156,79350070.0,,,,,,,,,,,,
2020-08-03,503.1906433105469,525.9500122070312,541.4500122070312,516.7999877929688,534.0999755859375,66422121.0,,,,,,,,,,,,
2020-08-10,508.3569946289063,531.3499755859375,550.7999877929688,519.0499877929688,526.0,51967726.0,,,,,,,,,,,,
2020-08-17,509.3137512207031,532.3499755859375,538.7000122070312,521.0499877929688,536.0999755859375,32347915.0,,,,,,,,,,,,
2020-08-24,532.7139892578125,555.75,564.75,522.25,538.6500244140625,52877925.0,,,,,,,,,,,,
2020-08-31,491.2088012695313,512.4500122070312,561.0,506.2000122070313,560.6500244140625,65985916.0,,,,,,,,,,,,
2020-09-07,484.5946960449219,505.5499877929688,518.2000122070312,493.6000061035156,516.0,39134150.0,,,,,,,,,,,,
2020-09-14,501.6568908691406,523.3499755859375,535.0,494.0,505.5499877929688,65452447.0,,,,,,,,,,,,
2020-09-21,469.3538208007813,489.6499938964844,528.25,483.0,523.7999877929688,49120014.0,,,,,,,,,,,,
2020-09-28,485.8888549804688,506.8999938964844,517.8499755859375,488.5,495.0,40528600.0,,,,,,,,,,,,
2020-10-05,491.64013671875,512.9000244140625,529.2999877929688,503.7999877929688,507.0,46576576.0,,,,,,,,,,,,
2020-10-12,466.7177734375,486.8999938964844,519.9500122070312,485.25,514.9000244140625,39275314.0,,,,,,,,,,,,
2020-10-19,464.4172973632813,484.5,494.5,480.3999938964844,489.9500122070313,30986563.0,,,,,,,,,,,,
2020-10-26,446.4444580078125,465.75,487.3999938964844,452.25,487.3999938964844,38893805.0,,,,,,,,,,,,
2020-11-02,488.0455627441406,509.1499938964844,518.25,459.0499877929688,467.8999938964844,96120492.0,,,,,,,,,,,,
2020-11-09,492.6944885253906,514.0,518.0,489.0,512.5,56420155.0,,,,,,,,,,,,
2020-11-16,482.3900451660156,503.25,523.4000244140625,496.0,508.4500122070313,33332641.0,,,,,,,,,,,,
2020-11-23,490.4419250488281,511.6499938964844,526.0,501.0,504.0,49149971.0,,,,,,,,,,,,
2020-11-30,545.4625854492188,569.0499877929688,572.9000244140625,511.6499938964844,511.6499938964844,65145655.0,,,,,,,,,,,,
2020-12-07,544.5520629882812,568.0999755859375,591.5,560.0999755859375,570.3499755859375,56774258.0,,,,,,,,,,,,
2020-12-14,551.1660766601562,575.0,586.2999877929688,568.0,568.3499755859375,33580385.0,,,,,,,,,,,,
2020-12-21,565.9756469726562,590.4500122070312,595.0,539.7000122070312,573.7999877929688,33172925.0,,,,,,,,,,,,
2020-12-28,571.5352172851562,596.25,599.75,581.5,599.0,42384574.0,,,,,,,,,,,,
2021-01-04,595.0675659179688,620.7999877929688,622.7999877929688,595.2000122070312,600.0,41548654.0,,,,,,,,,,,,
2021-01-11,579.2515869140625,604.2999877929688,628.0,596.4000244140625,623.7000122070312,35569611.0,,,,,,,,,,,,
2021-01-18,551.3577880859375,575.2000122070312,607.3499755859375,570.5999755859375,604.0999755859375,28236014.0,,,,,,,,,,,,
2021-01-25,561.90185546875,586.2000122070312,600.0,550.4000244140625,577.0999755859375,49087029.0,,,,,,,,,,,,
2021-02-01,608.4393920898438,634.75,648.4000244140625,579.5999755859375,596.0,71107004.0,,,,,,,,,,,,
2021-02-08,601.1544799804688,627.1500244140625,654.4000244140625,614.0999755859375,640.9000244140625,46081332.0,,,,,,,,,,,,
2021-02-15,587.216064453125,607.2999877929688,637.2999877929688,601.2000122070312,632.0,31084604.0,,,,,,,,,,,,
2021-02-22,574.9360961914062,594.5999755859375,621.3499755859375,590.0,608.0,37856942.0,,,,,,,,,,,,
2021-03-01,590.9871215820312,611.2000122070312,636.75,597.0499877929688,600.0,34336054.0,,,,,,,,,,,,
2021-03-08,593.307861328125,613.5999755859375,629.1500244140625,607.5,611.5,18680183.0,,,,,,,,,,,,
2021-03-15,559.1751708984375,578.2999877929688,614.0,562.0999755859375,614.0,27612480.0,,,,,,,,,,,,
2021-03-22,567.7808837890625,587.2000122070312,597.0,571.5,578.5999755859375,30147953.0,,,,,,,,,,,,
2021-03-29,590.5520629882812,610.75,612.7000122070312,587.2000122070312,587.2000122070312,15941290.0,,,,,,,,,,,,
2021-04-05,615.692138671875,636.75,642.0,592.75,611.7000122070312,37534130.0,,,,,,,,,,,,
