Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', '^CNXREALTY')","('High', '^CNXREALTY')","('Low', '^CNXREALTY')","('Open', '^CNXREALTY')","('Volume', '^CNXREALTY')","('Date', '').1","('Close', '^CNXREALTY').1","('High', '^CNXREALTY').1","('Low', '^CNXREALTY').1","('Open', '^CNXREALTY').1","('Volume', '^CNXREALTY').1","('Date', '')","('Close', '^CNXREALTY')","('High', '^CNXREALTY')","('Low', '^CNXREALTY')","('Open', '^CNXREALTY')","('Volume', '^CNXREALTY')"
2019-12-30,299.6499938964844,299.6499938964844,302.3999938964844,296.8999938964844,299.45001220703125,348300.0,,,,,,,,,,,,,,,,,,
2020-01-06,310.6499938964844,310.6499938964844,311.75,291.3500061035156,299.1000061035156,821700.0,,,,,,,,,,,,,,,,,,
2020-01-13,324.1499938964844,324.1499938964844,325.04998779296875,311.8500061035156,312.0,715000.0,,,,,,,,,,,,,,,,,,
2020-01-20,328.6499938964844,328.6499938964844,330.25,318.8500061035156,324.95001220703125,368800.0,,,,,,,,,,,,,,,,,,
2020-01-27,331.04998779296875,331.04998779296875,332.3999938964844,323.54998779296875,328.79998779296875,614600.0,,,,,,,,,,,,,,,,,,
2020-02-03,320.29998779296875,320.29998779296875,329.95001220703125,298.70001220703125,303.5,1061600.0,,,,,,,,,,,,,,,,,,
2020-02-10,310.29998779296875,310.29998779296875,321.0,309.04998779296875,320.5,532700.0,,,,,,,,,,,,,,,,,,
2020-02-17,306.25,306.25,312.5,300.3500061035156,311.95001220703125,457400.0,,,,,,,,,,,,,,,,,,
2020-02-24,280.54998779296875,280.54998779296875,305.79998779296875,275.79998779296875,304.1499938964844,635500.0,,,,,,,,,,,,,,,,,,
2020-03-02,269.75,269.75,289.1000061035156,265.1000061035156,284.8999938964844,730300.0,,,,,,,,,,,,,,,,,,
2020-03-09,235.8500061035156,235.8500061035156,264.04998779296875,203.3999938964844,263.04998779296875,566700.0,,,,,,,,,,,,,,,,,,
