Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'CIPLA.NS')","('High', 'CIPLA.NS')","('Low', 'CIPLA.NS')","('Open', 'CIPLA.NS')","('Volume', 'CIPLA.NS')","('Date', '')","('Close', 'CIPLA.NS')","('High', 'CIPLA.NS')","('Low', 'CIPLA.NS')","('Open', 'CIPLA.NS')","('Volume', 'CIPLA.NS')"
2019-12-30,452.5613098144531,469.9500122070313,481.0,467.25,481.0,4975945.0,,,,,,,,,,,,
2020-01-06,455.9799499511719,473.5,477.0,461.2000122070313,469.7999877929688,8288885.0,,,,,,,,,,,,
2020-01-13,462.5283508300781,480.2999877929688,487.4500122070313,474.5,474.5,8537697.0,,,,,,,,,,,,
2020-01-20,441.8719787597656,458.8500061035156,483.1499938964844,456.8500061035156,480.4500122070313,13533376.0,,,,,,,,,,,,
2020-01-27,427.76409912109375,444.2000122070313,468.0,437.75,457.5,17762712.0,,,,,,,,,,,,
2020-02-03,426.8010864257813,443.2000122070313,464.3500061035156,435.3500061035156,444.0,20863693.0,,,,,,,,,,,,
2020-02-10,430.5567932128906,447.1000061035156,454.9500122070313,440.5,444.2000122070313,10986051.0,,,,,,,,,,,,
2020-02-17,419.626708984375,435.75,449.2000122070313,428.1000061035156,444.5,12443653.0,,,,,,,,,,,,
2020-02-24,387.2218627929688,402.1000061035156,436.7000122070313,398.0499877929688,436.0,22386648.0,,,,,,,,,,,,
2020-03-02,418.3267211914063,434.3999938964844,472.0,394.6499938964844,407.0,30788781.0,,,,,,,,,,,,
2020-03-09,409.8041687011719,425.5499877929688,434.9500122070313,355.29998779296875,425.0,20034498.0,,,,,,,,,,,,
2020-03-16,378.2658996582031,392.7999877929688,423.8999938964844,362.8999938964844,416.0,20229182.0,,,,,,,,,,,,
2020-03-23,393.5860900878906,407.6499938964844,411.0,370.0,370.0,29338091.0,,,,,,,,,,,,
2020-03-30,433.7026672363281,449.2000122070313,454.7000122070313,407.6499938964844,413.7999877929688,42691958.0,,,,,,,,,,,,
2020-04-06,559.6038208007812,579.5999755859375,610.0,449.2000122070313,449.2000122070313,67507504.0,,,,,,,,,,,,
2020-04-13,577.3690185546875,598.0,615.0,578.5999755859375,605.0,52718179.0,,,,,,,,,,,,
2020-04-20,578.6242065429688,599.2999877929688,609.7999877929688,570.0,598.0,43915978.0,,,,,,,,,,,,
2020-04-27,569.2587890625,589.5999755859375,632.6500244140625,586.0999755859375,600.0,38150112.0,,,,,,,,,,,,
