Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'ZYDUSLIFE.NS')","('High', 'ZYDUSLIFE.NS')","('Low', 'ZYDUSLIFE.NS')","('Open', 'ZYDUSLIFE.NS')","('Volume', 'ZYDUSLIFE.NS')","('Date', '')","('Close', 'ZYDUSLIFE.NS')","('High', 'ZYDUSLIFE.NS')","('Low', 'ZYDUSLIFE.NS')","('Open', 'ZYDUSLIFE.NS')","('Volume', 'ZYDUSLIFE.NS')"
2019-12-30,248.11813354492188,260.0,264.0,253.1000061035156,254.9499969482422,2456575.0,,,,,,,,,,,,
2020-01-06,246.3526763916016,258.1499938964844,264.29998779296875,253.0500030517578,259.5,3927796.0,,,,,,,,,,,,
2020-01-13,256.8500366210937,269.1499938964844,272.79998779296875,255.0,258.0,8688605.0,,,,,,,,,,,,
2020-01-20,259.712890625,272.1499938964844,276.5,264.6000061035156,269.1000061035156,9575137.0,,,,,,,,,,,,
2020-01-27,248.4521484375,260.3500061035156,279.0,258.1000061035156,270.1000061035156,10057668.0,,,,,,,,,,,,
2020-02-03,262.62353515625,275.20001220703125,288.6000061035156,254.25,258.79998779296875,14300662.0,,,,,,,,,,,,
2020-02-10,257.6611328125,270.0,282.8999938964844,265.8500061035156,275.5,5758896.0,,,,,,,,,,,,
2020-02-17,266.4884338378906,279.25,281.70001220703125,261.1000061035156,271.29998779296875,6708992.0,,,,,,,,,,,,
2020-02-24,248.16583251953125,260.04998779296875,280.45001220703125,254.25,277.0,7213545.0,,,,,,,,,,,,
2020-03-02,253.9393920898437,266.1000061035156,272.75,240.5,260.04998779296875,14762223.0,,,,,,,,,,,,
2020-03-09,240.0542907714844,251.5500030517578,267.25,202.0,264.8999938964844,9188625.0,,,,,,,,,,,,
2020-03-16,272.7390441894531,285.79998779296875,290.0,235.0,247.0,16489964.0,,,,,,,,,,,,
2020-03-23,241.1517333984375,252.6999969482422,305.8999938964844,248.6499938964844,288.04998779296875,16342823.0,,,,,,,,,,,,
2020-03-30,265.29986572265625,274.6000061035156,279.5,247.6499938964844,252.0,11566331.0,,,,,,,,,,,,
