Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'SUNTECK.NS')","('High', 'SUNTECK.NS')","('Low', 'SUNTECK.NS')","('Open', 'SUNTECK.NS')","('Volume', 'SUNTECK.NS')","('Date', '')","('Close', 'SUNTECK.NS')","('High', 'SUNTECK.NS')","('Low', 'SUNTECK.NS')","('Open', 'SUNTECK.NS')","('Volume', 'SUNTECK.NS')"
2019-12-30,417.1277770996094,424.6499938964844,437.0,412.1000061035156,416.2000122070313,326576.0,,,,,,,,,,,,
2020-01-06,433.5319519042969,441.3500061035156,457.7999877929688,406.1000061035156,416.3999938964844,807711.0,,,,,,,,,,,,
2020-01-13,396.9417724609375,404.1000061035156,451.4500122070313,402.0,451.3999938964844,731855.0,,,,,,,,,,,,
2020-01-20,391.2445373535156,398.2999877929688,420.8999938964844,377.7000122070313,406.7000122070313,1056543.0,,,,,,,,,,,,
2020-01-27,380.19378662109375,387.0499877929688,409.9500122070313,373.1499938964844,398.2999877929688,1034065.0,,,,,,,,,,,,
2020-02-03,388.837890625,395.8500061035156,407.8999938964844,377.75,385.4500122070313,697422.0,,,,,,,,,,,,
2020-02-10,385.5964050292969,392.5499877929688,405.0,383.3999938964844,390.2000122070313,851350.0,,,,,,,,,,,,
2020-02-17,381.9127807617188,388.7999877929688,409.6000061035156,380.75,391.6499938964844,625117.0,,,,,,,,,,,,
2020-02-24,340.1165466308594,346.25,389.1000061035156,313.0,380.6000061035156,1212076.0,,,,,,,,,,,,
2020-03-02,332.1600646972656,338.1499938964844,361.0,315.0,361.0,892970.0,,,,,,,,,,,,
2020-03-09,304.6069030761719,310.1000061035156,343.0,245.0,338.0,911696.0,,,,,,,,,,,,
2020-03-16,223.617416381836,227.6499938964844,306.6499938964844,212.5,288.1000061035156,877875.0,,,,,,,,,,,,
2020-03-23,206.6239013671875,210.3500061035156,224.1000061035156,163.9499969482422,198.6999969482422,685897.0,,,,,,,,,,,,
2020-03-30,196.89923095703125,200.4499969482422,221.5,192.0,211.3500061035156,302209.0,,,,,,,,,,,,
2020-04-06,206.86944580078125,210.6000061035156,213.4499969482422,193.1499938964844,200.4499969482422,434449.0,,,,,,,,,,,,
2020-04-13,206.57476806640625,210.3000030517578,220.0,188.5500030517578,214.3999938964844,818875.0,,,,,,,,,,,,
2020-04-20,184.5715484619141,187.8999938964844,213.8000030517578,180.8500061035156,213.8000030517578,862723.0,,,,,,,,,,,,
2020-04-27,194.1488494873047,197.6499938964844,207.6000061035156,181.6499938964844,190.5,970506.0,,,,,,,,,,,,
2020-05-04,151.4193878173828,154.14999389648438,203.8000030517578,152.10000610351562,203.8000030517578,1522097.0,,,,,,,,,,,,
2020-05-11,161.34048461914062,164.25,177.0,153.5500030517578,158.0,1345490.0,,,,,,,,,,,,
2020-05-18,146.65530395507812,149.3000030517578,164.75,147.5,164.25,1054222.0,,,,,,,,,,,,
2020-05-25,154.8573760986328,157.64999389648438,159.8000030517578,145.0,149.3000030517578,1048692.0,,,,,,,,,,,,
2020-06-01,169.88636779785156,172.9499969482422,175.25,156.25,159.39999389648438,2346416.0,,,,,,,,,,,,
2020-06-08,169.10052490234375,172.14999389648438,192.8500061035156,160.0500030517578,190.0,2717455.0,,,,,,,,,,,,
2020-06-15,168.5111846923828,171.5500030517578,174.0,158.10000610351562,174.0,1890221.0,,,,,,,,,,,,
2020-06-22,179.80746459960938,183.0500030517578,202.8999938964844,166.75,174.0,14337558.0,,,,,,,,,,,,
2020-06-29,178.18667602539062,181.3999938964844,191.75,171.0,182.75,3465465.0,,,,,,,,,,,,
2020-07-06,193.75592041015625,197.25,201.0,178.35000610351562,182.0,5116129.0,,,,,,,,,,,,
2020-07-13,162.27365112304688,165.1999969482422,201.0,164.39999389648438,199.0,3920543.0,,,,,,,,,,,,
2020-07-20,178.97250366210938,182.1999969482422,186.4499969482422,166.0,166.6999969482422,4552922.0,,,,,,,,,,,,
2020-07-27,183.7365875244141,187.0500030517578,189.8999938964844,170.85000610351562,182.8999938964844,3414629.0,,,,,,,,,,,,
2020-08-03,229.75668334960932,233.8999938964844,241.9499969482422,180.0500030517578,186.6999969482422,8668616.0,,,,,,,,,,,,
2020-08-10,212.1246795654297,215.9499969482422,233.0,211.25,225.5,1060548.0,,,,,,,,,,,,
2020-08-17,247.8307647705078,252.3000030517578,253.1000061035156,211.0,222.0,3317276.0,,,,,,,,,,,,
2020-08-24,274.3033752441406,279.25,307.70001220703125,244.0500030517578,254.3000030517578,5443405.0,,,,,,,,,,,,
2020-08-31,275.28564453125,280.25,291.75,249.0,278.0,2399243.0,,,,,,,,,,,,
2020-09-07,268.1640625,273.0,284.8500061035156,252.0,281.8999938964844,2085927.0,,,,,,,,,,,,
2020-09-14,280.0006408691406,285.04998779296875,307.45001220703125,275.0,275.0,3525074.0,,,,,,,,,,,,
2020-09-21,256.9660339355469,261.6000061035156,289.29998779296875,244.3500061035156,284.0,1314181.0,,,,,,,,,,,,
