Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'ZEEMEDIA.NS')","('High', 'ZEEMEDIA.NS')","('Low', 'ZEEMEDIA.NS')","('Open', 'ZEEMEDIA.NS')","('Volume', 'ZEEMEDIA.NS')","('Date', '')","('Close', 'ZEEMEDIA.NS')","('High', 'ZEEMEDIA.NS')","('Low', 'ZEEMEDIA.NS')","('Open', 'ZEEMEDIA.NS')","('Volume', 'ZEEMEDIA.NS')"
2019-12-30,6.050000190734863,6.050000190734863,6.25,5.849999904632568,6.0,980835.0,,,,,,,,,,,,
2020-01-06,6.0,6.0,6.150000095367432,5.900000095367432,5.949999809265137,2364104.0,,,,,,,,,,,,
2020-01-13,5.900000095367432,5.900000095367432,6.150000095367432,5.800000190734863,6.099999904632568,2654878.0,,,,,,,,,,,,
2020-01-20,6.300000190734863,6.300000190734863,6.300000190734863,5.800000190734863,6.0,2013429.0,,,,,,,,,,,,
2020-01-27,6.0,6.0,6.900000095367432,5.900000095367432,6.599999904632568,1937383.0,,,,,,,,,,,,
2020-02-03,5.650000095367432,5.650000095367432,6.199999809265137,5.300000190734863,6.199999809265137,1790922.0,,,,,,,,,,,,
2020-02-10,5.150000095367432,5.150000095367432,5.849999904632568,5.150000095367432,5.650000095367432,903965.0,,,,,,,,,,,,
2020-02-17,5.349999904632568,5.349999904632568,5.400000095367432,4.900000095367432,5.150000095367432,1632782.0,,,,,,,,,,,,
2020-02-24,4.699999809265137,4.699999809265137,5.449999809265137,4.699999809265137,5.349999904632568,1520625.0,,,,,,,,,,,,
2020-03-02,4.650000095367432,4.650000095367432,4.900000095367432,4.300000190734863,4.900000095367432,2059407.0,,,,,,,,,,,,
2020-03-09,3.900000095367432,3.900000095367432,4.800000190734863,3.849999904632568,4.650000095367432,2299134.0,,,,,,,,,,,,
2020-03-16,3.25,3.25,4.050000190734863,3.25,4.0,3903141.0,,,,,,,,,,,,
2020-03-23,3.299999952316284,3.299999952316284,3.299999952316284,2.8499999046325684,3.0999999046325684,3308422.0,,,,,,,,,,,,
2020-03-30,3.900000095367432,3.900000095367432,3.900000095367432,3.299999952316284,3.450000047683716,678851.0,,,,,,,,,,,,
2020-04-06,4.449999809265137,4.449999809265137,4.449999809265137,3.900000095367432,3.900000095367432,1595853.0,,,,,,,,,,,,
2020-04-13,5.099999904632568,5.099999904632568,5.199999809265137,4.5,4.650000095367432,2364335.0,,,,,,,,,,,,
2020-04-20,5.599999904632568,5.599999904632568,5.650000095367432,4.75,5.199999809265137,3969893.0,,,,,,,,,,,,
2020-04-27,5.349999904632568,5.349999904632568,5.75,5.099999904632568,5.650000095367432,2571408.0,,,,,,,,,,,,
2020-05-04,5.199999809265137,5.199999809265137,5.550000190734863,5.099999904632568,5.300000190734863,2238999.0,,,,,,,,,,,,
2020-05-11,5.449999809265137,5.449999809265137,5.650000095367432,5.099999904632568,5.099999904632568,2280875.0,,,,,,,,,,,,
2020-05-18,5.150000095367432,5.150000095367432,5.550000190734863,4.949999809265137,5.449999809265137,1779551.0,,,,,,,,,,,,
2020-05-25,5.150000095367432,5.150000095367432,5.449999809265137,5.0,5.150000095367432,4206482.0,,,,,,,,,,,,
2020-06-01,5.900000095367432,5.900000095367432,5.900000095367432,5.050000190734863,5.300000190734863,4887349.0,,,,,,,,,,,,
2020-06-08,6.699999809265137,6.699999809265137,7.75,6.25,6.449999809265137,10202118.0,,,,,,,,,,,,
2020-06-15,6.75,6.75,7.099999904632568,6.349999904632568,6.900000095367432,13471379.0,,,,,,,,,,,,
2020-06-22,6.25,6.25,7.099999904632568,6.050000190734863,6.75,7235379.0,,,,,,,,,,,,
2020-06-29,6.449999809265137,6.449999809265137,6.849999904632568,6.349999904632568,6.550000190734863,7821841.0,,,,,,,,,,,,
2020-07-06,6.050000190734863,6.050000190734863,6.75,5.900000095367432,6.5,11763610.0,,,,,,,,,,,,
2020-07-13,5.650000095367432,5.650000095367432,6.050000190734863,5.25,6.050000190734863,5697195.0,,,,,,,,,,,,
2020-07-20,5.800000190734863,5.800000190734863,6.150000095367432,5.300000190734863,5.599999904632568,5549105.0,,,,,,,,,,,,
2020-07-27,5.300000190734863,5.300000190734863,5.800000190734863,5.25,5.800000190734863,2662037.0,,,,,,,,,,,,
2020-08-03,5.349999904632568,5.349999904632568,5.5,5.050000190734863,5.349999904632568,2767647.0,,,,,,,,,,,,
2020-08-10,5.699999809265137,5.699999809265137,6.050000190734863,5.25,5.5,4937645.0,,,,,,,,,,,,
2020-08-17,6.099999904632568,6.099999904632568,6.599999904632568,5.550000190734863,5.849999904632568,10297578.0,,,,,,,,,,,,
2020-08-24,7.0,7.0,7.0,5.900000095367432,6.150000095367432,13624707.0,,,,,,,,,,,,
2020-08-31,7.75,7.75,7.75,6.699999809265137,7.349999904632568,16223995.0,,,,,,,,,,,,
2020-09-07,6.550000190734863,6.550000190734863,8.100000381469727,6.449999809265137,7.800000190734863,5978831.0,,,,,,,,,,,,
2020-09-14,6.349999904632568,6.349999904632568,6.849999904632568,6.199999809265137,6.550000190734863,4265670.0,,,,,,,,,,,,
2020-09-21,5.449999809265137,5.449999809265137,6.5,5.349999904632568,6.400000095367432,4099843.0,,,,,,,,,,,,
2020-09-28,5.25,5.25,5.699999809265137,5.199999809265137,5.599999904632568,4732428.0,,,,,,,,,,,,
2020-10-05,4.900000095367432,4.900000095367432,5.349999904632568,4.849999904632568,5.25,4766470.0,,,,,,,,,,,,
2020-10-12,4.449999809265137,4.449999809265137,5.099999904632568,4.349999904632568,5.099999904632568,4418802.0,,,,,,,,,,,,
2020-10-19,4.849999904632568,4.849999904632568,4.849999904632568,4.25,4.25,3112073.0,,,,,,,,,,,,
2020-10-26,4.800000190734863,4.800000190734863,5.150000095367432,4.650000095367432,5.0,2794689.0,,,,,,,,,,,,
2020-11-02,4.800000190734863,4.800000190734863,4.900000095367432,4.550000190734863,4.900000095367432,1498192.0,,,,,,,,,,,,
2020-11-09,4.949999809265137,4.949999809265137,5.199999809265137,4.75,5.0,3939591.0,,,,,,,,,,,,
2020-11-16,4.849999904632568,4.849999904632568,5.0,4.650000095367432,4.949999809265137,4539920.0,,,,,,,,,,,,
2020-11-23,4.900000095367432,4.900000095367432,4.900000095367432,4.75,4.849999904632568,3117662.0,,,,,,,,,,,,
2020-11-30,5.050000190734863,5.050000190734863,5.050000190734863,4.800000190734863,4.900000095367432,6587504.0,,,,,,,,,,,,
2020-12-07,6.050000190734863,6.050000190734863,6.300000190734863,5.300000190734863,5.400000095367432,24430919.0,,,,,,,,,,,,
2020-12-14,6.449999809265137,6.449999809265137,7.449999809265137,6.050000190734863,6.650000095367432,61257081.0,,,,,,,,,,,,
2020-12-21,6.300000190734863,6.300000190734863,6.650000095367432,5.699999809265137,6.449999809265137,14201697.0,,,,,,,,,,,,
2020-12-28,6.050000190734863,6.050000190734863,6.449999809265137,5.75,6.400000095367432,10388044.0,,,,,,,,,,,,
2021-01-04,5.75,5.75,6.150000095367432,5.650000095367432,6.150000095367432,20830904.0,,,,,,,,,,,,
2021-01-11,5.550000190734863,5.550000190734863,5.849999904632568,5.400000095367432,5.75,20966150.0,,,,,,,,,,,,
2021-01-18,5.199999809265137,5.199999809265137,5.650000095367432,5.199999809265137,5.550000190734863,11841594.0,,,,,,,,,,,,
