Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'PHOENIXLTD.NS')","('High', 'PHOENIXLTD.NS')","('Low', 'PHOENIXLTD.NS')","('Open', 'PHOENIXLTD.NS')","('Volume', 'PHOENIXLTD.NS')","('Date', '')","('Close', 'PHOENIXLTD.NS')","('High', 'PHOENIXLTD.NS')","('Low', 'PHOENIXLTD.NS')","('Open', 'PHOENIXLTD.NS')","('Volume', 'PHOENIXLTD.NS')"
2019-12-30,423.6980590820313,428.5,432.0,415.7749938964844,417.25,146620.0,,,,,,,,,,,,
2020-01-06,436.2804565429688,441.2250061035156,441.8250122070313,421.6749877929688,428.0,1973694.0,,,,,,,,,,,,
2020-01-13,432.1522216796875,437.0499877929688,449.5,417.5,442.5,518862.0,,,,,,,,,,,,
2020-01-20,421.3743896484375,426.1499938964844,450.0,420.0,435.0499877929688,362086.0,,,,,,,,,,,,
2020-01-27,420.5586242675781,425.3250122070313,443.2250061035156,402.6499938964844,428.0,1930528.0,,,,,,,,,,,,
2020-02-03,431.08929443359375,435.9750061035156,449.4249877929688,410.5249938964844,420.3999938964844,1378074.0,,,,,,,,,,,,
2020-02-10,429.2847290039063,434.1499938964844,456.9249877929688,428.3500061035156,444.0,3515392.0,,,,,,,,,,,,
2020-02-17,422.93170166015625,427.7250061035156,438.3250122070313,420.5,433.9750061035156,1167750.0,,,,,,,,,,,,
2020-02-24,423.4261169433594,428.2250061035156,489.5,423.4500122070313,434.8999938964844,1104262.0,,,,,,,,,,,,
2020-03-02,413.9584045410156,418.6499938964844,443.8999938964844,392.625,420.3999938964844,1047818.0,,,,,,,,,,,,
2020-03-09,371.4649963378906,375.6749877929688,417.0,325.0,406.0,1757550.0,,,,,,,,,,,,
2020-03-16,320.369140625,324.0,353.1499938964844,241.5,342.625,4008212.0,,,,,,,,,,,,
2020-03-23,281.7319641113281,284.92498779296875,326.20001220703125,255.1000061035156,307.5,1326208.0,,,,,,,,,,,,
2020-03-30,253.1558532714844,256.0249938964844,298.0,242.5,275.5249938964844,845974.0,,,,,,,,,,,,
2020-04-06,274.2666320800781,277.375,292.8500061035156,250.75,256.0249938964844,1847320.0,,,,,,,,,,,,
2020-04-13,263.2168273925781,266.20001220703125,277.5,241.1750030517578,277.5,4445402.0,,,,,,,,,,,,
2020-04-20,272.1901550292969,275.2749938964844,289.0,257.79998779296875,267.42498779296875,1293980.0,,,,,,,,,,,,
2020-04-27,267.96307373046875,271.0,281.9750061035156,260.67498779296875,281.0,1840708.0,,,,,,,,,,,,
2020-05-04,260.4976501464844,263.45001220703125,284.5,255.0,271.0,1036412.0,,,,,,,,,,,,
2020-05-11,259.4594116210937,262.3999938964844,272.5,256.1499938964844,267.0,490006.0,,,,,,,,,,,,
2020-05-18,241.5375518798828,244.2749938964844,262.0,232.5249938964844,262.0,2390954.0,,,,,,,,,,,,
2020-05-25,259.70660400390625,262.6499938964844,279.5,234.4750061035156,244.2749938964844,1598916.0,,,,,,,,,,,,
2020-06-01,311.29693603515625,314.82501220703125,352.5,272.0,272.0,2397262.0,,,,,,,,,,,,
2020-06-08,296.5638732910156,299.92498779296875,335.0,289.4750061035156,322.5,1226624.0,,,,,,,,,,,,
2020-06-15,298.9864501953125,302.375,307.3500061035156,280.75,295.2250061035156,911908.0,,,,,,,,,,,,
2020-06-22,296.7369384765625,300.1000061035156,310.0,290.5,305.0,531378.0,,,,,,,,,,,,
2020-06-29,278.59259033203125,281.75,305.0,272.6499938964844,303.0,1472324.0,,,,,,,,,,,,
2020-07-06,296.4402770996094,299.79998779296875,302.5,281.1499938964844,282.5,1119186.0,,,,,,,,,,,,
2020-07-13,289.27154541015625,292.54998779296875,303.4750061035156,284.7250061035156,303.4750061035156,912894.0,,,,,,,,,,,,
2020-07-20,290.77947998046875,294.07501220703125,299.29998779296875,288.5,288.5,565682.0,,,,,,,,,,,,
2020-07-27,305.0428161621094,308.5,314.82501220703125,289.95001220703125,292.5249938964844,1718758.0,,,,,,,,,,,,
2020-08-03,297.6268310546875,301.0,319.17498779296875,295.1000061035156,310.0,977030.0,,,,,,,,,,,,
2020-08-10,312.48345947265625,316.0249938964844,333.4750061035156,293.125,300.25,2109318.0,,,,,,,,,,,,
