Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'AUBANK.NS')","('High', 'AUBANK.NS')","('Low', 'AUBANK.NS')","('Open', 'AUBANK.NS')","('Volume', 'AUBANK.NS')","('Date', '')","('Close', 'AUBANK.NS')","('High', 'AUBANK.NS')","('Low', 'AUBANK.NS')","('Open', 'AUBANK.NS')","('Volume', 'AUBANK.NS')"
2019-12-30,397.479248046875,398.9750061035156,404.9249877929688,396.0,402.0,488452.0,,,,,,,,,,,,
2020-01-06,410.7792053222656,412.3250122070313,425.5,393.125,396.5,13492662.0,,,,,,,,,,,,
2020-01-13,437.2296752929688,438.875,444.25,412.6000061035156,415.0,4064210.0,,,,,,,,,,,,
2020-01-20,533.3429565429688,535.3499755859375,548.9500122070312,437.5,442.0,20253184.0,,,,,,,,,,,,
2020-01-27,513.5176391601562,515.4500122070312,552.5,499.5,540.0,10164822.0,,,,,,,,,,,,
2020-02-03,561.9354248046875,564.0499877929688,573.7999877929688,495.5,519.0,6182614.0,,,,,,,,,,,,
2020-02-10,570.8767700195312,573.0250244140625,589.0,550.5,565.0,5027560.0,,,,,,,,,,,,
2020-02-17,585.0982055664062,587.2999877929688,602.0,564.5,579.8499755859375,5717894.0,,,,,,,,,,,,
2020-02-24,579.2702026367188,581.4500122070312,600.5,509.5499877929688,585.4749755859375,8268606.0,,,,,,,,,,,,
2020-03-02,564.7498168945312,566.875,609.0,501.5,582.2750244140625,11722054.0,,,,,,,,,,,,
2020-03-09,479.76959228515625,481.5750122070313,556.5,420.5,552.0,8777028.0,,,,,,,,,,,,
2020-03-16,322.88494873046875,324.1000061035156,494.0,277.32501220703125,469.5,19249580.0,,,,,,,,,,,,
2020-03-23,259.7973327636719,260.7749938964844,291.70001220703125,236.3000030517578,291.70001220703125,7057596.0,,,,,,,,,,,,
2020-03-30,231.8525238037109,232.7250061035156,273.79998779296875,229.0,257.5,7151456.0,,,,,,,,,,,,
2020-04-06,247.26950073242188,248.1999969482422,251.6999969482422,221.8000030517578,232.7250061035156,7465492.0,,,,,,,,,,,,
2020-04-13,268.8881530761719,269.8999938964844,269.8999938964844,238.0,249.5,6815594.0,,,,,,,,,,,,
