Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'BIOCON.NS')","('High', 'BIOCON.NS')","('Low', 'BIOCON.NS')","('Open', 'BIOCON.NS')","('Volume', 'BIOCON.NS')","('Date', '')","('Close', 'BIOCON.NS')","('High', 'BIOCON.NS')","('Low', 'BIOCON.NS')","('Open', 'BIOCON.NS')","('Volume', 'BIOCON.NS')"
2019-12-30,296.5780029296875,300.95001220703125,304.29998779296875,291.54998779296875,294.0,7549506.0,,,,,,,,,,,,
2020-01-06,277.0163269042969,281.1000061035156,301.0,275.20001220703125,301.0,27031086.0,,,,,,,,,,,,
2020-01-13,286.3290405273437,290.54998779296875,291.95001220703125,279.54998779296875,283.45001220703125,13637772.0,,,,,,,,,,,,
2020-01-20,290.0738525390625,294.3500061035156,297.0,282.45001220703125,292.5,17964184.0,,,,,,,,,,,,
2020-01-27,283.0769958496094,287.25,303.8999938964844,284.3500061035156,289.0,21229141.0,,,,,,,,,,,,
2020-02-03,304.4124755859375,308.8999938964844,311.5,279.0,288.0,31615302.0,,,,,,,,,,,,
2020-02-10,303.32843017578125,307.79998779296875,316.79998779296875,301.54998779296875,311.95001220703125,17703193.0,,,,,,,,,,,,
2020-02-17,310.4731140136719,315.04998779296875,319.0,295.04998779296875,309.04998779296875,16104850.0,,,,,,,,,,,,
2020-02-24,282.7320556640625,286.8999938964844,323.5,285.0,306.0,36651883.0,,,,,,,,,,,,
2020-03-02,305.5457458496094,310.04998779296875,314.0,278.1499938964844,290.1000061035156,23202796.0,,,,,,,,,,,,
2020-03-09,283.81610107421875,288.0,312.5,238.8999938964844,305.04998779296875,25149827.0,,,,,,,,,,,,
2020-03-16,270.51220703125,274.5,287.6499938964844,235.5500030517578,270.0,25585100.0,,,,,,,,,,,,
2020-03-23,273.665771484375,277.70001220703125,291.20001220703125,250.0,254.0,18899435.0,,,,,,,,,,,,
2020-03-30,286.7232666015625,290.95001220703125,295.8500061035156,268.1000061035156,276.8999938964844,17309313.0,,,,,,,,,,,,
2020-04-06,328.9014587402344,333.75,345.0,290.95001220703125,290.95001220703125,30343303.0,,,,,,,,,,,,
2020-04-13,350.089111328125,355.25,360.8999938964844,330.1499938964844,335.95001220703125,40882779.0,,,,,,,,,,,,
2020-04-20,352.2078857421875,357.3999938964844,367.7999877929688,339.0,359.8999938964844,43542330.0,,,,,,,,,,,,
2020-04-27,348.8080139160156,353.95001220703125,367.6499938964844,347.25,361.8500061035156,28978443.0,,,,,,,,,,,,
2020-05-04,354.031005859375,359.25,366.8999938964844,345.3500061035156,352.0,35950725.0,,,,,,,,,,,,
2020-05-11,323.72772216796875,328.5,363.7999877929688,320.70001220703125,359.45001220703125,60283527.0,,,,,,,,,,,,
2020-05-18,345.21099853515625,350.29998779296875,357.70001220703125,325.0,329.0,42387774.0,,,,,,,,,,,,
2020-05-25,349.547119140625,354.70001220703125,363.2999877929688,342.54998779296875,350.29998779296875,69442529.0,,,,,,,,,,,,
2020-06-01,383.9401245117188,389.6000061035156,400.5,357.45001220703125,360.0,49419824.0,,,,,,,,,,,,
2020-06-08,379.2098388671875,384.7999877929688,396.25,378.0,393.0,27946261.0,,,,,,,,,,,,
2020-06-15,375.71142578125,381.25,404.6000061035156,378.0499877929688,390.0,30515451.0,,,,,,,,,,,,
2020-06-22,395.9628601074219,401.7999877929688,410.4500122070313,383.0,385.8500061035156,27994343.0,,,,,,,,,,,,
2020-06-29,389.8529357910156,395.6000061035156,408.3500061035156,384.5,401.6000061035156,15867092.0,,,,,,,,,,,,
2020-07-06,408.2812805175781,414.2999877929688,420.5,392.6499938964844,399.0499877929688,27001693.0,,,,,,,,,,,,
2020-07-13,425.3299560546875,431.6000061035156,446.9500122070313,412.75,446.9500122070313,61554132.0,,,,,,,,,,,,
2020-07-20,409.1189270019531,415.1499938964844,441.0,413.5499877929688,433.0,32581750.0,,,,,,,,,,,,
2020-07-27,403.6495971679688,409.6000061035156,416.5,393.0,413.5,28285797.0,,,,,,,,,,,,
2020-08-03,393.6470336914063,399.4500122070313,418.7999877929688,396.0499877929688,411.7999877929688,22949653.0,,,,,,,,,,,,
2020-08-10,389.3601989746094,395.1000061035156,417.0,391.5,402.2000122070313,27342291.0,,,,,,,,,,,,
2020-08-17,388.3254699707031,394.0499877929688,402.2000122070313,388.0,398.7999877929688,15018615.0,,,,,,,,,,,,
2020-08-24,385.8617858886719,391.5499877929688,397.0,385.5,395.9500122070313,15457424.0,,,,,,,,,,,,
2020-08-31,414.8346862792969,420.9500122070313,434.3999938964844,372.25,393.7999877929688,56291358.0,,,,,,,,,,,,
2020-09-07,426.8081665039063,433.1000061035156,439.6499938964844,409.7000122070313,420.9500122070313,26069841.0,,,,,,,,,,,,
2020-09-14,447.404541015625,454.0,463.8999938964844,426.3500061035156,435.2999877929688,34857405.0,,,,,,,,,,,,
2020-09-21,421.7822570800781,428.0,453.9500122070313,406.1000061035156,453.9500122070313,19026582.0,,,,,,,,,,,,
2020-09-28,446.07415771484375,452.6499938964844,463.5,428.1000061035156,430.0,23257992.0,,,,,,,,,,,,
2020-10-05,445.33502197265625,451.8999938964844,478.0,448.0,453.6000061035156,21788780.0,,,,,,,,,,,,
2020-10-12,441.3931579589844,447.8999938964844,464.4500122070313,431.3999938964844,452.0,20665172.0,,,,,,,,,,,,
2020-10-19,411.13916015625,417.2000122070313,448.5,415.7000122070313,448.5,18462800.0,,,,,,,,,,,,
2020-10-26,397.73675537109375,403.6000061035156,419.75,389.75,419.0,24670863.0,,,,,,,,,,,,
2020-11-02,408.7740173339844,414.7999877929688,416.8999938964844,395.6000061035156,403.6000061035156,15919605.0,,,,,,,,,,,,
2020-11-09,428.0400085449219,434.3500061035156,438.3500061035156,398.0499877929688,430.0,26994237.0,,,,,,,,,,,,
2020-11-16,413.8492126464844,419.9500122070313,436.3500061035156,415.0,433.4500122070313,12698000.0,,,,,,,,,,,,
2020-11-23,423.1126403808594,429.3500061035156,444.0,417.6000061035156,421.0,39562458.0,,,,,,,,,,,,
