Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'DRREDDY.NS')","('High', 'DRREDDY.NS')","('Low', 'DRREDDY.NS')","('Open', 'DRREDDY.NS')","('Volume', 'DRREDDY.NS')","('Date', '')","('Close', 'DRREDDY.NS')","('High', 'DRREDDY.NS')","('Low', 'DRREDDY.NS')","('Open', 'DRREDDY.NS')","('Volume', 'DRREDDY.NS')"
2019-12-30,521.8092041015625,576.780029296875,579.4000244140625,570.4099731445312,576.0,3991440.0,,,,,,,,,,,,
2020-01-06,530.6932983398438,586.5999755859375,601.5999755859375,570.8400268554688,574.2000122070312,12485190.0,,,,,,,,,,,,
2020-01-13,549.0314331054688,606.8699951171875,609.7999877929688,580.0,586.5800170898438,13422400.0,,,,,,,,,,,,
2020-01-20,548.4976196289062,606.280029296875,621.010009765625,604.7999877929688,608.5999755859375,13520970.0,,,,,,,,,,,,
2020-01-27,565.0806884765625,624.6099853515625,649.989990234375,599.5,605.7999877929688,46765100.0,,,,,,,,,,,,
2020-02-03,572.9786987304688,633.3400268554688,655.52001953125,623.4299926757812,624.7999877929688,17645965.0,,,,,,,,,,,,
2020-02-10,597.8757934570312,660.8599853515625,667.3800048828125,622.5999755859375,633.2899780273438,19499410.0,,,,,,,,,,,,
2020-02-17,589.009765625,651.0599975585938,672.989990234375,646.6500244140625,665.1599731445312,12821570.0,,,,,,,,,,,,
2020-02-24,529.6256103515625,585.4199829101562,651.4000244140625,581.0499877929688,651.4000244140625,24935925.0,,,,,,,,,,,,
2020-03-02,573.7476196289062,634.1900024414062,646.3900146484375,575.2000122070312,592.2000122070312,29746510.0,,,,,,,,,,,,
2020-03-09,522.0263061523438,577.02001953125,637.7999877929688,522.0,631.75,19658210.0,,,,,,,,,,,,
2020-03-16,524.2247314453125,579.4500122070312,596.1900024414062,499.010009765625,558.0,26376705.0,,,,,,,,,,,,
2020-03-23,527.707763671875,583.2999877929688,613.3099975585938,536.0499877929688,536.0499877929688,21456720.0,,,,,,,,,,,,
2020-03-30,569.3779296875,629.3599853515625,643.77001953125,562.2000122070312,575.9199829101562,20189655.0,,,,,,,,,,,,
