entrydate,indexcode,indexname,dayrsi14,weekrsi14,monthrsi14,dltp,daylowerband,daymiddleband,weeklowerband,weekmiddleband,monthlowerband,monthmiddleband
07/02/2025,^NSEI,"NIFTY 50
",55.61,47.7,64.0,23696.3,22810.07,23263.72,22683.78,24149.98,18469.53,22497.77
07/02/2025,^CNXAUTO,"NIFTY AUTO
",59.6,49.06,62.65,23517.1,21845.42,22720.3,21228.34,23907.49,10164.76,12139.97
07/02/2025,^NSEBANK,"NIFTY BANK
",55.98,48.96,59.76,50343.05,47797.05,48994.5,48063.48,51084.07,42324.6,48500.7
07/02/2025,^CNXFMCG,"NIFTY FMCG
",50.41,43.45,75.81,56383.75,54632.96,56082.38,52897.5,58313.56,33416.84,41603.13
07/02/2025,^CNXIT,"NIFTY IT
",49.2,53.25,66.2,42888.3,41397.92,42836.19,40564.77,42985.34,27598.13,37029.32
07/02/2025,^CNXMETAL,"NIFTY METAL
",48.62,40.73,55.11,8427.1,8035.0,8345.72,7949.42,9073.6,4764.23,5780.79
07/02/2025,^CNXPHARMA,"NIFTY PHARMA
",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/02/2025,^CNXREALTY,"NIFTY REALTY
",48.61,44.04,56.36,937.3,835.63,912.85,876.59,1005.61,377.69,441.79
07/02/2025,^CNXMEDIA,"NIFTY MEDIA
",43.53,35.65,42.41,1650.75,1524.7,1657.77,1585.22,1897.78,1636.54,2023.48
07/02/2025,^CNXCONSUM,NIFTY CONSUMER GOODS,57.25,49.23,61.7,11341.35,10619.85,11043.2,10552.74,11571.63,6483.29,7291.91
