entrydate,indexcode,indexname,dayrsi14,weekrsi14,monthrsi14
12/02/2025,^NSEI,NIFTY 50,41.42,41.58,59.57
12/02/2025,^CNXAUTO,NIFTY AUTO,44.25,43.9,62.65
12/02/2025,^NSEBANK,NIFTY BANK,46.66,45.19,57.46
12/02/2025,^CNXFMCG,NIFTY FMCG,32.94,36.02,75.81
12/02/2025,^CNXIT,NIFTY IT,42.26,49.53,63.74
12/02/2025,^CNXMETAL,NIFTY METAL,43.12,38.73,55.11
12/02/2025,^CNXPHARMA,NIFTY PHARMA,0.0,0.0,0.0
12/02/2025,^CNXREALTY,NIFTY REALTY,35.25,37.59,56.36
12/02/2025,^CNXMEDIA,NIFTY MEDIA,31.89,30.23,42.41
12/02/2025,^CNXCONSUM,NIFTY CONSUMER GOODS,40.29,41.7,61.7
