Date,Adj Close,Close,High,Low,Open,Volume
2020-04-08,10259.9853515625,10980.349609375,11198.9501953125,10428.2001953125,10498.75,18803
2020-04-09,10186.681640625,10901.900390625,11580.0,10802.0,11330.0,8383
2020-04-13,10413.3662109375,11144.5,11219.75,10550.0,10999.0,4023
2020-04-15,10401.9658203125,11132.2998046875,11400.0,11001.0498046875,11050.0,6247
2020-04-16,10311.984375,11036.0,11175.5498046875,10850.0,11132.400390625,7335
2020-04-17,10310.1142578125,11034.0,11300.0,10926.5498046875,11061.0,4394
2020-04-20,10134.40234375,10845.9501953125,11185.0498046875,10762.150390625,11174.900390625,2346
2020-04-21,10062.03125,10768.5,10999.0,10500.0,10700.0,3126
2020-04-22,10030.4501953125,10734.7001953125,10950.0,10325.0,10650.0,27163
2020-04-23,10132.8134765625,10844.25,11006.0498046875,10655.0,10801.0,2690
2020-04-24,9785.966796875,10473.0498046875,10848.0,10440.0,10780.0,3077
2020-04-27,9805.916015625,10494.400390625,10859.9501953125,10460.0498046875,10680.0,3954
2020-04-28,9845.06640625,10536.2998046875,10749.75,10400.0,10659.0,3045
2020-04-29,9835.3955078125,10525.9501953125,10700.0,10237.5,10590.0,3315
2020-04-30,9863.662109375,10556.2001953125,10640.0,10358.0,10577.0,16813
2020-05-04,9643.9365234375,10321.0498046875,10650.0,10183.400390625,10358.0,4989
2020-05-05,9410.3388671875,10071.0498046875,10499.0,10000.099609375,10499.0,4862
2020-05-06,9477.8935546875,10143.349609375,10375.0,9964.0,10052.0,5056
2020-05-07,9492.751953125,10159.25,10339.099609375,10014.349609375,10145.0,3153
2020-05-08,9370.06640625,10027.9501953125,10349.0,9999.900390625,10297.0,6290
2020-05-11,9389.501953125,10048.75,10168.9501953125,9999.0,10052.0,3680
2020-05-12,9520.876953125,10189.349609375,10225.0,9924.0,10139.9501953125,2687
2020-05-13,9451.2177734375,10114.7998046875,10350.0,10051.5,10350.0,2045
2020-05-14,9459.4423828125,10123.599609375,10215.0498046875,10040.0,10040.0,2735
2020-05-15,9414.7294921875,10075.75,10100.0,10021.0,10099.7998046875,934
2020-05-18,9416.224609375,10077.349609375,10100.0,9893.9501953125,10031.0,2141
2020-05-19,9397.0693359375,10056.849609375,10100.0,9980.650390625,10100.0,1529
2020-05-20,9363.244140625,10020.650390625,10099.9501953125,9980.099609375,9990.0498046875,1255
2020-05-21,9322.037109375,9976.5498046875,10089.900390625,9950.0,10050.0,1311
2020-05-22,9289.4736328125,9941.7001953125,10039.9501953125,9925.0498046875,9982.0,956
2020-05-26,9363.2939453125,10020.7001953125,10050.0,9851.099609375,9851.099609375,2021
2020-05-27,9260.0859375,9910.25,10149.9501953125,9900.0498046875,10100.0,5675
2020-05-28,9147.353515625,9789.599609375,9988.0,9734.0,9988.0,5821
2020-05-29,9244.25,9893.2998046875,9948.0,9750.0,9850.0,7120
2020-06-01,9362.3583984375,10019.7001953125,10078.9501953125,9935.7001953125,9993.0,3763
2020-06-02,9372.962890625,10031.0498046875,10150.0,9940.150390625,10094.7001953125,6891
2020-06-03,9410.29296875,10071.0,10150.0,10000.0,10035.0,2557
2020-06-04,9480.98046875,10146.650390625,10200.0,10058.0,10140.0,3083
2020-06-05,9407.4423828125,10067.9501953125,10180.0,10040.0,10146.650390625,2264
2020-06-08,9417.345703125,10078.5498046875,10189.849609375,10052.9501953125,10060.0,5816
2020-06-09,9282.0947265625,9933.7998046875,10136.9501953125,9900.0,10100.0,4470
2020-06-10,9300.2197265625,9953.2001953125,9995.0498046875,9900.0,9900.0,1988
2020-06-11,9314.7509765625,9968.75,9990.0,9917.0498046875,9990.0,1412
2020-06-12,9306.947265625,9960.400390625,9979.0,9800.0,9802.0498046875,2738
2020-06-15,9343.9501953125,10000.0,10049.900390625,9866.2998046875,9866.2998046875,8090
2020-06-16,9259.80859375,9909.9501953125,10100.0,9885.9501953125,10002.0,11660
2020-06-17,9332.1767578125,9987.400390625,10050.0,9840.650390625,9939.7001953125,5920
2020-06-18,9350.1630859375,10006.650390625,10040.0,9900.0,9980.0,2357
2020-06-19,9193.5126953125,9839.0,10055.4501953125,9773.9501953125,10020.0,10164
2020-06-22,9229.1123046875,9877.099609375,9949.0,9851.0,9949.0,15029
2020-06-23,9268.96484375,9919.75,9940.0,9878.0,9895.849609375,22063
2020-06-24,9300.5478515625,9953.5498046875,10050.0,9790.650390625,9971.0,9382
2020-06-25,9277.7958984375,9929.2001953125,10098.0,9850.0,9851.2998046875,15190
2020-06-26,9500.9287109375,10168.0,10239.900390625,9859.5,9930.0498046875,5492
2020-06-29,9507.5634765625,10175.099609375,10200.0,9999.0,10168.0,2474
2020-06-30,9485.65234375,10151.650390625,10199.9501953125,10100.0498046875,10177.0,1673
2020-07-01,9562.0390625,10233.400390625,10294.9501953125,10016.0,10016.0,4146
2020-07-02,9566.3359375,10238.0,10385.0,10120.0,10320.0,4465
2020-07-03,9669.3076171875,10348.2001953125,10376.7001953125,10185.599609375,10343.9501953125,2758
2020-07-06,9642.6298828125,10319.650390625,10399.900390625,10211.7998046875,10367.0,3837
2020-07-07,9673.6025390625,10352.7998046875,10391.9501953125,10225.599609375,10319.650390625,2548
