Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'DRREDDY.NS')","('High', 'DRREDDY.NS')","('Low', 'DRREDDY.NS')","('Open', 'DRREDDY.NS')","('Volume', 'DRREDDY.NS')","('Date', '')","('Close', 'DRREDDY.NS')","('High', 'DRREDDY.NS')","('Low', 'DRREDDY.NS')","('Open', 'DRREDDY.NS')","('Volume', 'DRREDDY.NS')"
2020-01-01,563.5336303710938,622.9000244140625,649.989990234375,570.4099731445312,576.0,89283875.0,,,,,,,,,,,,
2020-02-01,529.6256713867188,585.4199829101562,672.989990234375,581.0499877929688,622.9000244140625,75804095.0,,,,,,,,,,,,
2020-03-01,564.66455078125,624.1500244140625,646.3900146484375,499.010009765625,592.2000122070312,108004220.0,,,,,,,,,,,,
2020-04-01,712.2290649414062,787.260009765625,818.8599853515625,605.02001953125,623.989990234375,148447150.0,,,,,,,,,,,,
2020-05-01,736.646728515625,814.25,826.4400024414062,722.77001953125,787.260009765625,121655210.0,,,,,,,,,,,,
2020-06-01,713.794189453125,788.989990234375,838.0,777.2000122070312,815.52001953125,103635640.0,,,,,,,,,,,,
2020-07-01,818.032958984375,904.2100219726562,912.0,762.7999877929688,793.0399780273438,145345310.0,,,,,,,,,,,,
2020-08-01,797.1637573242188,852.9400024414062,951.719970703125,843.3300170898438,904.2100219726562,112874855.0,,,,,,,,,,,,
2020-09-01,969.7110595703124,1037.56005859375,1102.530029296875,846.4000244140625,854.219970703125,446929575.0,,,,,,,,,,,,
2020-10-01,913.7933349609376,977.72998046875,1064.56005859375,966.2000122070312,1045.0,226094855.0,,,,,,,,,,,,
2020-11-01,902.6342163085938,965.7899780273438,1003.4000244140624,931.260009765625,979.2000122070312,152052745.0,,,,,,,,,,,,
2020-12-01,972.9447631835938,1041.02001953125,1054.8399658203125,961.2000122070312,974.0,137473980.0,,,,,,,,,,,,
2021-01-01,860.3432006835938,920.5399780273438,1088.699951171875,910.0,1043.449951171875,85885210.0,,,,,,,,,,,,
