Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'HEROMOTOCO.NS')","('High', 'HEROMOTOCO.NS')","('Low', 'HEROMOTOCO.NS')","('Open', 'HEROMOTOCO.NS')","('Volume', 'HEROMOTOCO.NS')","('Date', '')","('Close', 'HEROMOTOCO.NS')","('High', 'HEROMOTOCO.NS')","('Low', 'HEROMOTOCO.NS')","('Open', 'HEROMOTOCO.NS')","('Volume', 'HEROMOTOCO.NS')"
2020-01-01,2156.41552734375,2501.85009765625,2522.0,2310.550048828125,2454.89990234375,13911559.0,,,,,,,,,,,,
2020-02-01,1768.4615478515625,2051.75,2531.0,2033.949951171875,2489.85009765625,22304450.0,,,,,,,,,,,,
2020-03-01,1415.057373046875,1596.449951171875,2110.0,1475.0,2100.0,26204530.0,,,,,,,,,,,,
2020-04-01,1920.51416015625,2166.699951171875,2198.10009765625,1543.1500244140625,1590.0999755859375,31556392.0,,,,,,,,,,,,
2020-05-01,2092.604248046875,2360.85009765625,2391.89990234375,1933.25,2166.699951171875,42918890.0,,,,,,,,,,,,
2020-06-01,2257.55908203125,2546.949951171875,2590.64990234375,2230.699951171875,2360.75,46048933.0,,,,,,,,,,,,
2020-07-01,2372.388916015625,2676.5,2885.699951171875,2530.0,2556.0,31714342.0,,,,,,,,,,,,
2020-08-01,2688.673583984375,3006.050048828125,3181.35009765625,2620.75,2700.0,36813299.0,,,,,,,,,,,,
2020-09-01,2815.010986328125,3147.300048828125,3222.050048828125,2830.199951171875,3030.050048828125,32869222.0,,,,,,,,,,,,
2020-10-01,2504.199462890625,2799.800048828125,3394.89990234375,2787.0,3165.0,40978931.0,,,,,,,,,,,,
2020-11-01,2780.620361328125,3108.85009765625,3156.949951171875,2812.0,2888.0,36307276.0,,,,,,,,,,,,
2020-12-01,2781.648681640625,3110.0,3239.5,2900.60009765625,3120.0,21198526.0,,,,,,,,,,,,
2021-01-01,2912.279052734375,3256.050048828125,3520.14990234375,3031.0,3115.0,28906985.0,,,,,,,,,,,,
2021-02-01,2883.613037109375,3224.0,3629.050048828125,3199.800048828125,3300.0,26412322.0,,,,,,,,,,,,
2021-03-01,2655.072265625,2913.60009765625,3510.89990234375,2902.0,3255.0,20358974.0,,,,,,,,,,,,
2021-04-01,2569.002685546875,2819.14990234375,3009.0,2741.10009765625,2949.0,16448086.0,,,,,,,,,,,,
2021-05-01,2740.64013671875,3007.5,3033.39990234375,2766.64990234375,2779.949951171875,20655384.0,,,,,,,,,,,,
2021-06-01,2645.04833984375,2902.60009765625,3090.0,2852.0,3016.5,15887268.0,,,,,,,,,,,,
2021-07-01,2518.1083984375,2763.300048828125,2968.949951171875,2740.0,2905.0,10344914.0,,,,,,,,,,,,
2021-08-01,2520.759765625,2741.85009765625,2865.89990234375,2636.0,2770.10009765625,11729264.0,,,,,,,,,,,,
2021-09-01,2604.10009765625,2832.5,2954.449951171875,2702.60009765625,2759.0,13614264.0,,,,,,,,,,,,
2021-10-01,2442.84326171875,2657.10009765625,2950.0,2639.0,2827.199951171875,9770053.0,,,,,,,,,,,,
2021-11-01,2251.799072265625,2449.300048828125,2784.800048828125,2424.050048828125,2675.0,13948058.0,,,,,,,,,,,,
2021-12-01,2263.567138671875,2462.10009765625,2552.0,2310.0,2480.0,9733164.0,,,,,,,,,,,,
2022-01-01,2504.624755859375,2724.300048828125,2789.0,2463.0,2463.0,12932662.0,,,,,,,,,,,,
2022-02-01,2331.00244140625,2535.449951171875,2872.300048828125,2440.0,2748.0,16200932.0,,,,,,,,,,,,
2022-03-01,2155.78759765625,2294.14990234375,2535.449951171875,2146.85009765625,2535.449951171875,20152597.0,,,,,,,,,,,,
2022-04-01,2355.471435546875,2506.64990234375,2552.0,2150.0,2185.0,17658313.0,,,,,,,,,,,,
2022-05-01,2606.60302734375,2773.89990234375,2809.949951171875,2371.0,2460.199951171875,18291511.0,,,,,,,,,,,,
2022-06-01,2555.672119140625,2719.699951171875,2809.0,2433.89990234375,2799.89990234375,15863831.0,,,,,,,,,,,,
2022-07-01,2648.0908203125,2818.050048828125,2891.800048828125,2683.35009765625,2715.0,9862014.0,,,,,,,,,,,,
2022-08-01,2700.30029296875,2837.699951171875,2938.60009765625,2730.0,2834.949951171875,14465729.0,,,,,,,,,,,,
2022-09-01,2425.769287109375,2549.199951171875,2903.0,2510.0,2820.0,15906392.0,,,,,,,,,,,,
2022-10-01,2547.238525390625,2676.85009765625,2734.89990234375,2502.75,2538.5,8914026.0,,,,,,,,,,,,
2022-11-01,2713.8125,2851.89990234375,2861.0,2573.449951171875,2690.25,12404777.0,,,,,,,,,,,,
2022-12-01,2606.23681640625,2738.85009765625,2884.0,2611.60009765625,2855.0,7138639.0,,,,,,,,,,,,
2023-01-01,2629.455078125,2763.25,2812.0,2663.0,2738.85009765625,5336785.0,,,,,,,,,,,,
2023-02-01,2301.96875,2419.10009765625,2822.85009765625,2410.35009765625,2775.550048828125,8809408.0,,,,,,,,,,,,
2023-03-01,2291.96240234375,2347.35009765625,2491.75,2246.0,2415.0,7116566.0,,,,,,,,,,,,
2023-04-01,2498.2275390625,2558.60009765625,2567.0,2372.050048828125,2385.0,8555327.0,,,,,,,,,,,,
2023-05-01,2694.777587890625,2759.89990234375,2795.0,2466.0,2558.60009765625,14363331.0,,,,,,,,,,,,
2023-06-01,2841.43359375,2910.10009765625,3026.0,2745.050048828125,2758.85009765625,16495680.0,,,,,,,,,,,,
