Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'COLPAL.NS')","('High', 'COLPAL.NS')","('Low', 'COLPAL.NS')","('Open', 'COLPAL.NS')","('Volume', 'COLPAL.NS')","('Date', '')","('Close', 'COLPAL.NS')","('High', 'COLPAL.NS')","('Low', 'COLPAL.NS')","('Open', 'COLPAL.NS')","('Volume', 'COLPAL.NS')"
2020-01-01,1185.495361328125,1328.550048828125,1525.0,1324.25,1455.6500244140625,13551320.0,,,,,,,,,,,,
2020-02-01,1146.99169921875,1285.4000244140625,1393.25,1280.5,1329.0,10424200.0,,,,,,,,,,,,
2020-03-01,1117.81298828125,1252.699951171875,1350.0,1065.0,1300.199951171875,16625579.0,,,,,,,,,,,,
2020-04-01,1301.988037109375,1459.0999755859375,1565.800048828125,1211.050048828125,1260.0,19734532.0,,,,,,,,,,,,
2020-05-01,1241.667236328125,1391.5,1459.0999755859375,1257.050048828125,1459.0999755859375,28247682.0,,,,,,,,,,,,
2020-06-01,1255.2303466796875,1406.699951171875,1425.0,1306.0,1384.0,19239701.0,,,,,,,,,,,,
2020-07-01,1284.81640625,1423.300048828125,1473.949951171875,1361.5,1398.0,22009986.0,,,,,,,,,,,,
2020-08-01,1230.609130859375,1363.25,1486.449951171875,1353.0,1423.300048828125,12440527.0,,,,,,,,,,,,
2020-09-01,1294.02392578125,1433.5,1460.0,1322.1500244140625,1370.0,15129127.0,,,,,,,,,,,,
2020-10-01,1369.1287841796875,1516.699951171875,1559.800048828125,1405.5999755859375,1445.0,17972717.0,,,,,,,,,,,,
2020-11-01,1382.5711669921875,1513.699951171875,1578.9000244140625,1462.050048828125,1516.699951171875,21211162.0,,,,,,,,,,,,
2020-12-01,1429.655517578125,1565.25,1630.0,1493.0,1540.25,12267550.0,,,,,,,,,,,,
2021-01-01,1464.409423828125,1603.300048828125,1676.0,1495.550048828125,1565.0,16218076.0,,,,,,,,,,,,
2021-02-01,1444.2237548828125,1581.199951171875,1650.800048828125,1533.0,1604.0,10761807.0,,,,,,,,,,,,
2021-03-01,1424.266357421875,1559.3499755859375,1659.1500244140625,1519.0999755859375,1577.0,10455203.0,,,,,,,,,,,,
2021-04-01,1371.3466796875,1481.9000244140625,1617.1500244140625,1468.0,1555.3499755859375,9635099.0,,,,,,,,,,,,
2021-05-01,1592.1002197265625,1720.449951171875,1794.8499755859375,1470.550048828125,1478.0,16743128.0,,,,,,,,,,,,
