Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'TATAMOTORS.NS')","('High', 'TATAMOTORS.NS')","('Low', 'TATAMOTORS.NS')","('Open', 'TATAMOTORS.NS')","('Volume', 'TATAMOTORS.NS')","('Date', '')","('Close', 'TATAMOTORS.NS')","('High', 'TATAMOTORS.NS')","('Low', 'TATAMOTORS.NS')","('Open', 'TATAMOTORS.NS')","('Volume', 'TATAMOTORS.NS')"
2020-01-01,175.50970458984375,176.60000610351562,201.6999969482422,174.89999389648438,185.1499938964844,886712613.0,,,,,,,,,,,,
2020-02-01,128.15386962890625,128.9499969482422,184.9499969482422,127.0500030517578,175.39999389648438,1055369812.0,,,,,,,,,,,,
2020-03-01,70.61134338378906,71.05000305175781,133.89999389648438,63.5,133.0,1625401538.0,,,,,,,,,,,,
2020-04-01,92.67428588867188,93.25,93.75,64.80000305175781,70.5,1172889811.0,,,,,,,,,,,,
2020-05-01,86.46287536621094,87.0,93.25,79.5999984741211,93.25,1137152288.0,,,,,,,,,,,,
2020-06-01,97.6434097290039,98.25,119.1500015258789,88.0,88.9000015258789,2061553847.0,,,,,,,,,,,,
2020-07-01,104.00390625,104.6500015258789,112.5999984741211,98.1999969482422,99.0,1236331449.0,,,,,,,,,,,,
2020-08-01,142.31588745117188,143.1999969482422,147.9499969482422,102.9000015258789,103.0,1866004733.0,,,,,,,,,,,,
2020-09-01,132.47702026367188,133.3000030517578,155.1999969482422,122.1500015258789,143.39999389648438,1583849546.0,,,,,,,,,,,,
2020-10-01,131.83103942871094,132.64999389648438,145.8000030517578,126.0,135.89999389648438,1287524170.0,,,,,,,,,,,,
2020-11-01,179.23654174804688,180.3500061035156,183.8500061035156,131.10000610351562,133.64999389648438,1284628508.0,,,,,,,,,,,,
2020-12-01,182.7149353027344,183.8500061035156,188.8000030517578,156.6999969482422,182.3500061035156,1191039967.0,,,,,,,,,,,,
2021-01-01,261.078125,262.70001220703125,306.8999938964844,184.5,184.9499969482422,3110819324.0,,,,,,,,,,,,
2021-02-01,320.9561462402344,322.95001220703125,341.8999938964844,255.3500061035156,269.75,2011804897.0,,,,,,,,,,,,
2021-03-01,299.93670654296875,301.79998779296875,357.0,282.25,330.0,1453844779.0,,,,,,,,,,,,
2021-04-01,292.0357971191406,293.8500061035156,325.0,280.54998779296875,306.75,1147880867.0,,,,,,,,,,,,
2021-05-01,316.7820739746094,318.75,336.6499938964844,285.0,289.29998779296875,1050745318.0,,,,,,,,,,,,
2021-06-01,337.5033569335937,339.6000061035156,360.75,315.6000061035156,319.20001220703125,709228073.0,,,,,,,,,,,,
2021-07-01,292.1351928710937,293.95001220703125,358.20001220703125,283.6000061035156,341.5,916621826.0,,,,,,,,,,,,
2021-08-01,285.5262451171875,287.29998779296875,311.5,268.45001220703125,299.1499938964844,504374201.0,,,,,,,,,,,,
2021-09-01,331.2919311523437,333.3500061035156,337.8999938964844,287.29998779296875,289.0,547130332.0,,,,,,,,,,,,
2021-10-01,480.7136840820313,483.7000122070313,530.0,325.70001220703125,332.6499938964844,1344147576.0,,,,,,,,,,,,
2021-11-01,455.7686767578125,458.6000061035156,536.7000122070312,443.1000061035156,486.4500122070313,676681297.0,,,,,,,,,,,,
2021-12-01,479.4217224121094,482.3999938964844,506.3999938964844,440.0,467.8500061035156,433230539.0,,,,,,,,,,,,
2022-01-01,514.553466796875,517.75,528.5,467.6499938964844,493.5,431279282.0,,,,,,,,,,,,
2022-02-01,451.2467346191406,454.0499877929688,514.75,405.4500122070313,508.0,492777210.0,,,,,,,,,,,,
2022-03-01,431.0720825195313,433.75,458.5,376.3500061035156,454.0499877929688,670781175.0,,,,,,,,,,,,
2022-04-01,434.8983154296875,437.6000061035156,462.7000122070313,417.0,434.0,335633541.0,,,,,,,,,,,,
2022-05-01,440.8115539550781,443.5499877929688,449.5,366.2000122070313,437.9500122070313,471123560.0,,,,,,,,,,,,
2022-06-01,409.257568359375,411.7999877929688,446.0,376.6499938964844,445.1000061035156,341676264.0,,,,,,,,,,,,
2022-07-01,446.82421875,449.6000061035156,460.75,402.2999877929688,410.6499938964844,313104937.0,,,,,,,,,,,,
2022-08-01,468.1914978027344,471.1000061035156,494.3999938964844,447.6000061035156,451.9500122070313,316991103.0,,,,,,,,,,,,
2022-09-01,402.10205078125,404.6000061035156,474.3999938964844,390.3500061035156,462.5,344727174.0,,,,,,,,,,,,
2022-10-01,410.2017517089844,412.75,417.6499938964844,391.1000061035156,405.5,255155966.0,,,,,,,,,,,,
