Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'JSL.NS')","('High', 'JSL.NS')","('Low', 'JSL.NS')","('Open', 'JSL.NS')","('Volume', 'JSL.NS')","('Date', '')","('Close', 'JSL.NS')","('High', 'JSL.NS')","('Low', 'JSL.NS')","('Open', 'JSL.NS')","('Volume', 'JSL.NS')"
2020-01-01,39.69427108764648,40.29999923706055,47.25,37.34999847412109,38.900001525878906,73001867.0,,,,,,,,,,,,
2020-02-01,38.41381454467773,39.0,43.29999923706055,37.900001525878906,39.79999923706055,28202557.0,,,,,,,,,,,,
2020-03-01,23.737768173217773,24.100000381469727,42.900001525878906,21.39999961853028,40.5,17976237.0,,,,,,,,,,,,
2020-04-01,30.73105239868164,31.200000762939453,32.349998474121094,23.049999237060547,24.64999961853028,5077654.0,,,,,,,,,,,,
2020-05-01,26.594179153442383,27.0,31.200000762939453,25.600000381469727,31.200000762939453,4170895.0,,,,,,,,,,,,
2020-06-01,39.98976516723633,40.59999847412109,41.54999923706055,25.799999237060547,27.450000762939453,20561655.0,,,,,,,,,,,,
2020-07-01,34.917171478271484,35.45000076293945,42.400001525878906,35.25,40.54999923706055,10590211.0,,,,,,,,,,,,
2020-08-01,42.40294647216797,43.04999923706055,53.0,35.29999923706055,35.45000076293945,29368915.0,,,,,,,,,,,,
2020-09-01,43.68339920043945,44.34999847412109,48.650001525878906,39.34999847412109,42.59999847412109,10144324.0,,,,,,,,,,,,
2020-10-01,61.65909576416016,62.59999847412109,63.20000076293945,42.84999847412109,45.0,39662639.0,,,,,,,,,,,,
2020-11-01,62.79181289672852,63.75,67.3499984741211,56.5,62.650001525878906,18154284.0,,,,,,,,,,,,
2020-12-01,74.56220245361328,75.69999694824219,85.3499984741211,62.5,63.75,35548486.0,,,,,,,,,,,,
2021-01-01,79.97953033447266,81.19999694824219,96.0,75.19999694824219,76.0999984741211,40384582.0,,,,,,,,,,,,
2021-02-01,70.12983703613281,71.19999694824219,82.69999694824219,68.4000015258789,80.30000305175781,25997214.0,,,,,,,,,,,,
2021-03-01,66.58394622802734,67.5999984741211,79.9000015258789,60.45000076293945,71.75,22714600.0,,,,,,,,,,,,
2021-04-01,87.90853881835938,89.25,93.0,67.80000305175781,68.1500015258789,55189254.0,,,,,,,,,,,,
2021-05-01,91.20818328857422,92.5999984741211,102.9000015258789,87.30000305175781,89.69999694824219,58690066.0,,,,,,,,,,,,
2021-06-01,108.00191497802734,109.6500015258789,113.4499969482422,90.5500030517578,93.3499984741211,75262330.0,,,,,,,,,,,,
2021-07-01,159.86058044433594,162.3000030517578,168.39999389648438,105.3000030517578,109.9499969482422,136506057.0,,,,,,,,,,,,
2021-08-01,148.2379150390625,150.5,167.89999389648438,125.6500015258789,164.0500030517578,65457563.0,,,,,,,,,,,,
2021-09-01,159.56507873535156,162.0,174.39999389648438,145.3000030517578,150.85000610351562,51374612.0,,,,,,,,,,,,
2021-10-01,188.867919921875,191.75,207.8999938964844,159.0,160.0,63804441.0,,,,,,,,,,,,
2021-11-01,162.667724609375,165.14999389648438,201.0,152.1999969482422,193.3999938964844,26567003.0,,,,,,,,,,,,
2021-12-01,195.220947265625,198.1999969482422,203.8999938964844,159.8000030517578,163.1999969482422,30098145.0,,,,,,,,,,,,
2022-01-01,199.85031127929688,202.8999938964844,219.8000030517578,188.3999938964844,199.1999969482422,38259883.0,,,,,,,,,,,,
2022-02-01,191.08409118652344,194.0,224.3999938964844,173.5,205.0,22852279.0,,,,,,,,,,,,
