Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'INFY.NS')","('High', 'INFY.NS')","('Low', 'INFY.NS')","('Open', 'INFY.NS')","('Volume', 'INFY.NS')","('Date', '')","('Close', 'INFY.NS')","('High', 'INFY.NS')","('Low', 'INFY.NS')","('Open', 'INFY.NS')","('Volume', 'INFY.NS')"
2020-01-01,690.4046630859375,775.9500122070312,792.7999877929688,708.2999877929688,735.0,189277362.0,,,,,,,,,,,,
2020-02-01,651.0331420898438,731.7000122070312,811.5999755859375,722.0499877929688,775.0999755859375,112890806.0,,,,,,,,,,,,
2020-03-01,570.77734375,641.5,773.5499877929688,509.25,737.0,305156542.0,,,,,,,,,,,,
2020-04-01,636.619140625,715.5,720.0,582.1500244140625,634.3499755859375,203538623.0,,,,,,,,,,,,
2020-05-01,614.8201293945312,691.0,715.5,646.7000122070312,715.5,180604556.0,,,,,,,,,,,,
2020-06-01,663.7282104492188,735.9500122070312,751.5999755859375,675.5,698.75,240810488.0,,,,,,,,,,,,
2020-07-01,871.2023315429688,966.0,986.4500122070312,729.75,737.25,397100277.0,,,,,,,,,,,,
2020-08-01,837.4725341796875,928.5999755859376,974.4000244140624,914.5999755859376,960.0,155088967.0,,,,,,,,,,,,
2020-09-01,909.3060913085938,1008.25,1037.0,912.0999755859376,926.25,232397098.0,,,,,,,,,,,,
2020-10-01,956.518798828125,1060.5999755859375,1186.0,1011.75,1020.5999755859376,284991815.0,,,,,,,,,,,,
2020-11-01,1002.7096557617188,1100.0,1154.9000244140625,1051.0999755859375,1065.0,208543153.0,,,,,,,,,,,,
2020-12-01,1144.729736328125,1255.800048828125,1258.8499755859375,1105.050048828125,1105.050048828125,205793830.0,,,,,,,,,,,,
2021-01-01,1129.461181640625,1239.050048828125,1392.800048828125,1231.0,1257.9000244140625,206714641.0,,,,,,,,,,,,
2021-02-01,1142.4508056640625,1253.300048828125,1332.0,1241.0,1250.550048828125,135880762.0,,,,,,,,,,,,
2021-03-01,1247.0516357421875,1368.050048828125,1406.0,1259.0,1263.300048828125,170796692.0,,,,,,,,,,,,
2021-04-01,1234.563232421875,1354.3499755859375,1477.550048828125,1320.0,1380.0,174375276.0,,,,,,,,,,,,
2021-05-01,1270.4786376953125,1393.75,1416.25,1311.300048828125,1340.800048828125,110635877.0,,,,,,,,,,,,
2021-06-01,1456.5343017578125,1580.800048828125,1591.0,1365.0,1400.0,147298100.0,,,,,,,,,,,,
2021-07-01,1483.899658203125,1610.5,1623.4000244140625,1533.75,1576.8499755859375,109513508.0,,,,,,,,,,,,
