Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'MPHASIS.NS')","('High', 'MPHASIS.NS')","('Low', 'MPHASIS.NS')","('Open', 'MPHASIS.NS')","('Volume', 'MPHASIS.NS')","('Date', '')","('Close', 'MPHASIS.NS')","('High', 'MPHASIS.NS')","('Low', 'MPHASIS.NS')","('Open', 'MPHASIS.NS')","('Volume', 'MPHASIS.NS')"
2020-01-01,826.1618041992188,929.8499755859376,949.7000122070312,868.0499877929688,927.0,5804272.0,,,,,,,,,,,,
2020-02-01,774.3629150390625,871.5499877929688,956.9500122070312,840.0,915.5499877929688,4770460.0,,,,,,,,,,,,
2020-03-01,590.3568115234375,664.4500122070312,893.5499877929688,630.0,876.0999755859375,12728540.0,,,,,,,,,,,,
2020-04-01,647.3978271484375,728.6500244140625,758.6500244140625,646.0499877929688,660.0,5196099.0,,,,,,,,,,,,
2020-05-01,764.9450073242188,860.9500122070312,888.75,692.5499877929688,728.6500244140625,6373394.0,,,,,,,,,,,,
2020-06-01,780.7601318359375,878.75,920.0,822.0499877929688,877.6500244140625,4263956.0,,,,,,,,,,,,
2020-07-01,1028.826416015625,1157.949951171875,1208.800048828125,855.0,877.0,15988210.0,,,,,,,,,,,,
2020-08-01,1021.0550537109376,1103.5999755859375,1230.0,1081.8499755859375,1157.949951171875,5997542.0,,,,,,,,,,,,
2020-09-01,1279.973388671875,1383.449951171875,1419.8499755859375,1091.050048828125,1091.050048828125,11943247.0,,,,,,,,,,,,
2020-10-01,1275.57861328125,1378.699951171875,1464.800048828125,1285.949951171875,1391.0,10629692.0,,,,,,,,,,,,
2020-11-01,1217.2908935546875,1315.699951171875,1404.800048828125,1281.0999755859375,1390.0,5645519.0,,,,,,,,,,,,
2020-12-01,1424.7677001953125,1539.949951171875,1647.0,1300.050048828125,1322.300048828125,10373748.0,,,,,,,,,,,,
2021-01-01,1416.81103515625,1531.3499755859375,1735.0,1505.0,1549.0,10042582.0,,,,,,,,,,,,
2021-02-01,1523.7183837890625,1646.9000244140625,1787.800048828125,1511.0,1535.0,7086672.0,,,,,,,,,,,,
2021-03-01,1643.6248779296875,1776.5,1811.25,1575.25,1659.9000244140625,10113365.0,,,,,,,,,,,,
2021-04-01,1632.7999267578125,1764.800048828125,1837.449951171875,1603.0,1785.0,11384451.0,,,,,,,,,,,,
2021-05-01,1798.920166015625,1944.3499755859373,2009.949951171875,1728.0,1764.0,12339777.0,,,,,,,,,,,,
2021-06-01,1974.570068359375,2134.199951171875,2144.300048828125,1875.0,1950.0,13626272.0,,,,,,,,,,,,
2021-07-01,2405.298828125,2599.75,2677.5,2104.0,2136.949951171875,21418268.0,,,,,,,,,,,,
2021-08-01,2681.33349609375,2898.10009765625,3001.0,2602.0,2619.5,16287650.0,,,,,,,,,,,,
2021-09-01,2872.202880859375,3104.39990234375,3534.60009765625,2811.39990234375,2920.199951171875,18940169.0,,,,,,,,,,,,
2021-10-01,3021.0224609375,3235.800048828125,3659.75,2945.550048828125,3109.0,20409797.0,,,,,,,,,,,,
