Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'M&M.NS')","('High', 'M&M.NS')","('Low', 'M&M.NS')","('Open', 'M&M.NS')","('Volume', 'M&M.NS')","('Date', '')","('Close', 'M&M.NS')","('High', 'M&M.NS')","('Low', 'M&M.NS')","('Open', 'M&M.NS')","('Volume', 'M&M.NS')"
2020-01-01,537.4584350585938,567.1500244140625,589.75,519.0,532.9000244140625,57788406.0,,,,,,,,,,,,
2020-02-01,433.1224060058594,457.0499877929688,589.8499755859375,453.6000061035156,566.0,76917304.0,,,,,,,,,,,,
2020-03-01,270.0322265625,284.95001220703125,482.5,245.3999938964844,453.5499877929688,141501943.0,,,,,,,,,,,,
2020-04-01,347.4550170898437,366.6499938964844,391.6499938964844,265.5,281.0,134157145.0,,,,,,,,,,,,
2020-05-01,413.5061340332031,436.3500061035156,450.0,341.1000061035156,366.6499938964844,159674176.0,,,,,,,,,,,,
2020-06-01,483.9636840820313,510.7000122070313,527.6500244140625,441.5,441.8500061035156,172962600.0,,,,,,,,,,,,
2020-07-01,574.7009887695312,606.4500122070312,625.7999877929688,494.25,513.75,167338794.0,,,,,,,,,,,,
2020-08-01,577.5946655273438,606.9000244140625,648.5999755859375,594.2000122070312,610.0,115050794.0,,,,,,,,,,,,
2020-09-01,578.5464477539062,607.9000244140625,666.5999755859375,567.5,610.0,155911588.0,,,,,,,,,,,,
2020-10-01,565.3175659179688,594.0,647.4500122070312,586.7999877929688,614.7000122070312,99660885.0,,,,,,,,,,,,
2020-11-01,687.1368408203125,722.0,745.5,589.0,592.0,155866130.0,,,,,,,,,,,,
2020-12-01,685.804443359375,720.5999755859375,764.4500122070312,660.25,736.4000244140625,107120574.0,,,,,,,,,,,,
2021-01-01,713.4041137695312,749.5999755859375,843.8499755859375,723.0,725.0,122479106.0,,,,,,,,,,,,
2021-02-01,767.46142578125,806.4000244140625,952.0499877929688,741.5499877929688,753.0,150880430.0,,,,,,,,,,,,
2021-03-01,756.8497924804688,795.25,876.2000122070312,783.0,821.0,98592158.0,,,,,,,,,,,,
2021-04-01,716.211669921875,752.5499877929688,837.8499755859375,738.5499877929688,801.5,88799436.0,,,,,,,,,,,,
2021-05-01,768.9365234375,807.9500122070312,853.0,731.0999755859375,744.9000244140625,112718079.0,,,,,,,,,,,,
2021-06-01,740.147216796875,777.7000122070312,821.8499755859375,762.3499755859375,813.0,71260286.0,,,,,,,,,,,,
2021-07-01,707.2179565429688,743.0999755859375,798.75,724.6500244140625,778.0,47843894.0,,,,,,,,,,,,
2021-08-01,763.4917602539062,793.2999877929688,803.9500122070312,744.5999755859375,750.0,69770316.0,,,,,,,,,,,,
2021-09-01,772.8753662109375,803.0499877929688,822.0,729.5499877929688,793.2999877929688,77656007.0,,,,,,,,,,,,
2021-10-01,851.0243530273438,884.25,971.1500244140624,787.0,800.0,92227383.0,,,,,,,,,,,,
2021-11-01,804.106201171875,835.5,979.0,828.3499755859375,884.25,106098285.0,,,,,,,,,,,,
2021-12-01,805.6941528320312,837.1500244140625,868.9500122070312,797.0,836.0,58208957.0,,,,,,,,,,,,
2022-01-01,852.5160522460938,885.7999877929688,910.0999755859376,822.5,835.0,67041611.0,,,,,,,,,,,,
2022-02-01,761.1338500976562,790.8499755859375,894.7000122070312,780.7000122070312,892.0,64221522.0,,,,,,,,,,,,
2022-03-01,776.2438354492188,806.5499877929688,813.0,671.1500244140625,790.8499755859375,87567019.0,,,,,,,,,,,,
2022-04-01,887.4521484375,922.0999755859376,945.0,807.7000122070312,811.0,66998549.0,,,,,,,,,,,,
2022-05-01,995.4843139648438,1034.3499755859375,1043.0,853.7000122070312,915.0,88011663.0,,,,,,,,,,,,
2022-06-01,1052.074951171875,1093.1500244140625,1121.449951171875,972.6500244140624,1035.0,103029332.0,,,,,,,,,,,,
2022-07-01,1120.69580078125,1164.449951171875,1195.0,1064.0,1092.4000244140625,73710848.0,,,,,,,,,,,,
2022-08-01,1272.4132080078125,1308.699951171875,1315.0,1184.25,1189.4000244140625,79985077.0,,,,,,,,,,,,
2022-09-01,1233.0361328125,1268.199951171875,1338.0,1211.25,1280.0,77017052.0,,,,,,,,,,,,
2022-10-01,1311.20703125,1348.5999755859375,1358.5,1196.5,1269.949951171875,46454491.0,,,,,,,,,,,,
2022-11-01,1269.399169921875,1305.5999755859375,1366.550048828125,1202.0,1361.0,63901251.0,,,,,,,,,,,,
