Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'KALYANKJIL.NS')","('High', 'KALYANKJIL.NS')","('Low', 'KALYANKJIL.NS')","('Open', 'KALYANKJIL.NS')","('Volume', 'KALYANKJIL.NS')","('Date', '')","('Close', 'KALYANKJIL.NS')","('High', 'KALYANKJIL.NS')","('Low', 'KALYANKJIL.NS')","('Open', 'KALYANKJIL.NS')","('Volume', 'KALYANKJIL.NS')"
2021-04-01,59.59072113037109,59.900001525878906,75.0,59.75,68.5999984741211,45047851.0,,,,,,,,,,,,
2021-05-01,66.45509338378906,66.80000305175781,72.69999694824219,56.29999923706055,59.70000076293945,76656407.0,,,,,,,,,,,,
2021-06-01,77.8459701538086,78.25,89.75,67.0,67.0,98689455.0,,,,,,,,,,,,
2021-07-01,70.58366394042969,70.94999694824219,79.5999984741211,70.30000305175781,78.19999694824219,30656520.0,,,,,,,,,,,,
2021-08-01,66.7535400390625,67.0999984741211,75.69999694824219,61.0,72.1500015258789,41723147.0,,,,,,,,,,,,
2021-09-01,72.52359771728516,72.9000015258789,74.4000015258789,64.5,67.4000015258789,30040674.0,,,,,,,,,,,,
2021-10-01,75.8563003540039,76.25,81.8499984741211,70.19999694824219,72.80000305175781,57036640.0,,,,,,,,,,,,
2021-11-01,66.70380401611328,67.05000305175781,83.5999984741211,64.44999694824219,76.30000305175781,35450036.0,,,,,,,,,,,,
2021-12-01,68.09657287597656,68.44999694824219,72.55000305175781,64.69999694824219,67.69999694824219,16180915.0,,,,,,,,,,,,
2022-01-01,66.20638275146484,66.55000305175781,75.9000015258789,63.400001525878906,68.75,23709423.0,,,,,,,,,,,,
2022-02-01,58.645626068115234,58.95000076293945,71.5,55.650001525878906,67.25,23496188.0,,,,,,,,,,,,
2022-03-01,58.4466552734375,58.75,64.0,57.70000076293945,58.95000076293945,19694507.0,,,,,,,,,,,,
2022-04-01,60.58555603027344,60.900001525878906,67.05000305175781,59.150001525878906,59.70000076293945,15649615.0,,,,,,,,,,,,
2022-05-01,59.83942794799805,60.150001525878906,67.69999694824219,55.150001525878906,60.34999847412109,23170033.0,,,,,,,,,,,,
2022-06-01,59.59072113037109,59.900001525878906,61.95000076293945,55.04999923706055,60.20000076293945,6626649.0,,,,,,,,,,,,
2022-07-01,64.71412658691406,65.05000305175781,67.0999984741211,58.04999923706055,58.5,19274428.0,,,,,,,,,,,,
2022-08-01,81.2284164428711,81.6500015258789,84.19999694824219,65.0,65.05000305175781,84781775.0,,,,,,,,,,,,
2022-09-01,95.8027801513672,96.3000030517578,101.4000015258789,80.0,81.5999984741211,133479801.0,,,,,,,,,,,,
2022-10-01,101.97075653076172,102.5,108.6999969482422,93.5999984741211,96.9000015258789,153309415.0,,,,,,,,,,,,
2022-11-01,105.35320281982422,105.9000015258789,109.5500030517578,90.3000030517578,103.3000030517578,85011172.0,,,,,,,,,,,,
2022-12-01,125.8965835571289,126.5500030517578,134.1999969482422,104.3499984741211,106.9499969482422,164888427.0,,,,,,,,,,,,
2023-01-01,117.34098052978516,117.9499969482422,127.6999969482422,103.0500030517578,126.5999984741211,70104600.0,,,,,,,,,,,,
2023-02-01,113.06319427490234,113.6500015258789,122.0,103.5,119.3000030517578,61825439.0,,,,,,,,,,,,
2023-03-01,104.80604553222656,105.3499984741211,124.5999984741211,105.0,114.3000030517578,136740839.0,,,,,,,,,,,,
2023-04-01,102.1697235107422,102.6999969482422,107.5999984741211,100.9499969482422,106.5,39687309.0,,,,,,,,,,,,
2023-05-01,105.10449981689452,105.6500015258789,111.4000015258789,102.6999969482422,102.6999969482422,53949682.0,,,,,,,,,,,,
2023-06-01,146.29074096679688,147.0500030517578,148.60000610351562,104.9000015258789,105.6500015258789,194049561.0,,,,,,,,,,,,
2023-07-01,173.79795837402344,174.6999969482422,187.5,140.5,147.0500030517578,211377928.0,,,,,,,,,,,,
2023-08-01,250.49989318847656,251.8000030517578,261.0,162.64999389648438,175.6999969482422,130718403.0,,,,,,,,,,,,
2023-09-01,227.0410919189453,227.5500030517578,261.8999938964844,202.8000030517578,255.9499969482422,70726998.0,,,,,,,,,,,,
2023-10-01,288.0543518066406,288.70001220703125,309.75,221.6499938964844,227.5500030517578,94530068.0,,,,,,,,,,,,
2023-11-01,324.3729248046875,325.1000061035156,359.1499938964844,286.1499938964844,289.0,72822921.0,,,,,,,,,,,,
2023-12-01,353.3080749511719,354.1000061035156,362.0,311.04998779296875,324.8999938964844,46224136.0,,,,,,,,,,,,
2024-01-01,349.41680908203125,350.20001220703125,395.0,343.0,355.1499938964844,54512905.0,,,,,,,,,,,,
2024-02-01,395.9624633789063,396.8500061035156,409.7000122070313,321.95001220703125,358.5,86681716.0,,,,,,,,,,,,
2024-03-01,426.8432312011719,427.7999877929688,439.0,352.1499938964844,398.6000061035156,42353072.0,,,,,,,,,,,,
2024-04-01,413.17388916015625,414.1000061035156,449.7000122070313,396.7999877929688,437.9500122070313,37565763.0,,,,,,,,,,,,
2024-05-01,387.5812377929688,388.4500122070313,420.0,377.0499877929688,414.1000061035156,26770221.0,,,,,,,,,,,,
2024-06-01,500.0291748046875,501.1499938964844,546.0,336.04998779296875,394.0,68179717.0,,,,,,,,,,,,
2024-07-01,578.1041870117188,579.4000244140625,633.5999755859375,483.0,504.25,60378157.0,,,,,,,,,,,,
2024-08-01,613.8240966796875,615.2000122070312,624.9500122070312,515.9500122070312,584.7000122070312,129110442.0,,,,,,,,,,,,
2024-09-01,730.25,730.25,786.25,616.0,617.4500122070312,213141603.0,,,,,,,,,,,,
2024-10-01,657.1500244140625,657.1500244140625,773.0,650.5999755859375,731.0999755859375,144201118.0,,,,,,,,,,,,
2024-11-01,724.4500122070312,724.4500122070312,736.7999877929688,632.4000244140625,670.0,159139010.0,,,,,,,,,,,,
2024-12-01,766.25,766.25,784.4500122070312,701.0,722.5,94158994.0,,,,,,,,,,,,
2025-01-01,485.6499938964844,485.6499938964844,795.4000244140625,459.0,760.0,336075780.0,,,,,,,,,,,,
