Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'LAURUSLABS.NS')","('High', 'LAURUSLABS.NS')","('Low', 'LAURUSLABS.NS')","('Open', 'LAURUSLABS.NS')","('Volume', 'LAURUSLABS.NS')","('Date', '')","('Close', 'LAURUSLABS.NS')","('High', 'LAURUSLABS.NS')","('Low', 'LAURUSLABS.NS')","('Open', 'LAURUSLABS.NS')","('Volume', 'LAURUSLABS.NS')"
2020-01-01,83.24150085449219,86.06999969482422,91.98999786376952,71.5999984741211,71.5999984741211,24369935.0,,,,,,,,,,,,
2020-02-01,79.99191284179688,82.70999908447266,90.66000366210938,72.0,85.16000366210938,21058360.0,,,,,,,,,,,,
2020-03-01,62.82523727416992,64.95999908447266,87.55999755859375,59.0,83.2300033569336,9685820.0,,,,,,,,,,,,
2020-04-01,99.54286193847656,102.5,107.1999969482422,63.209999084472656,65.5999984741211,60709270.0,,,,,,,,,,,,
2020-05-01,90.9870147705078,93.69000244140624,105.0,84.33000183105469,102.5,223422915.0,,,,,,,,,,,,
2020-06-01,100.89274597167967,103.88999938964844,117.55999755859376,92.22000122070312,94.19000244140624,160660575.0,,,,,,,,,,,,
2020-07-01,181.2650909423828,186.6499938964844,189.0,103.2699966430664,104.87999725341795,218673590.0,,,,,,,,,,,,
2020-08-01,222.65708923339844,226.66000366210932,249.1999969482422,190.3999938964844,191.0500030517578,262030475.0,,,,,,,,,,,,
2020-09-01,282.07879638671875,287.1499938964844,310.0,210.66000366210932,225.0,205375372.0,,,,,,,,,,,,
2020-10-01,313.7592468261719,319.3999938964844,344.8999938964844,268.3999938964844,292.0,114999681.0,,,,,,,,,,,,
2020-11-01,311.2542419433594,316.8500061035156,321.0,252.0,319.5,115335746.0,,,,,,,,,,,,
2020-12-01,347.96685791015625,353.1499938964844,365.75,311.0,320.04998779296875,73435270.0,,,,,,,,,,,,
2021-01-01,340.2813720703125,345.3500061035156,385.8500061035156,340.0,354.79998779296875,59264412.0,,,,,,,,,,,,
2021-02-01,345.0108642578125,350.1499938964844,380.0,333.04998779296875,345.25,53140111.0,,,,,,,,,,,,
2021-03-01,357.1048889160156,362.0,382.6499938964844,334.0,352.3500061035156,70094483.0,,,,,,,,,,,,
2021-04-01,446.6277770996094,452.75,483.0,361.5,362.0,104046058.0,,,,,,,,,,,,
2021-05-01,516.6677856445312,523.75,527.9500122070312,456.1000061035156,457.7999877929688,65009147.0,,,,,,,,,,,,
2021-06-01,680.4473876953125,688.6500244140625,697.7999877929688,517.0999755859375,525.7999877929688,95108995.0,,,,,,,,,,,,
2021-07-01,633.8590087890625,641.5,693.25,588.0,691.0,62688987.0,,,,,,,,,,,,
2021-08-01,658.6599731445312,666.5999755859375,723.75,628.0999755859375,649.0,68870261.0,,,,,,,,,,,,
2021-09-01,609.1072998046875,616.4500122070312,671.0,587.25,669.5999755859375,49125198.0,,,,,,,,,,,,
2021-10-01,509.65618896484375,515.7999877929688,663.0,488.1000061035156,618.7999877929688,63782397.0,,,,,,,,,,,,
2021-11-01,502.5913696289063,508.6499938964844,555.2000122070312,451.0,520.0,76071000.0,,,,,,,,,,,,
2021-12-01,533.3491821289062,538.9000244140625,555.0,468.0,510.7999877929688,42859575.0,,,,,,,,,,,,
2022-01-01,497.5220336914063,502.7000122070313,546.6500244140625,440.0,543.5,63512015.0,,,,,,,,,,,,
2022-02-01,535.9718627929688,541.5499877929688,568.0,496.0,506.0,54826639.0,,,,,,,,,,,,
2022-03-01,584.021728515625,590.0999755859375,613.9000244140625,521.4000244140625,541.5499877929688,40852379.0,,,,,,,,,,,,
