Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'BHARTIARTL.NS')","('High', 'BHARTIARTL.NS')","('Low', 'BHARTIARTL.NS')","('Open', 'BHARTIARTL.NS')","('Volume', 'BHARTIARTL.NS')","('Date', '')","('Close', 'BHARTIARTL.NS')","('High', 'BHARTIARTL.NS')","('Low', 'BHARTIARTL.NS')","('Open', 'BHARTIARTL.NS')","('Volume', 'BHARTIARTL.NS')"
2020-01-01,478.5315551757813,487.3009338378906,517.6314697265625,432.23480224609375,447.64544677734375,477334386.0,,,,,,,,,,,,
2020-02-01,504.605224609375,513.8524169921875,558.3666381835938,474.3932800292969,484.30712890625,306355132.0,,,,,,,,,,,,
2020-03-01,424.9864807128906,432.774658203125,526.1220703125,355.08331298828125,524.158935546875,346951065.0,,,,,,,,,,,,
2020-04-01,495.7373046875,504.8219604492188,526.072998046875,404.7998962402344,431.8912353515625,270940205.0,,,,,,,,,,,,
2020-05-01,532.6549072265625,542.4161376953125,600.721435546875,490.6873474121094,504.8219604492188,544761354.0,,,,,,,,,,,,
2020-06-01,539.6431884765625,549.5325317382812,582.7587280273438,527.1036376953125,548.6981811523438,488577135.0,,,,,,,,,,,,
2020-07-01,534.82373046875,544.6246948242188,585.8015747070312,533.0421142578125,564.4033203125,349511506.0,,,,,,,,,,,,
2020-08-01,494.58056640625,503.6440734863281,554.587646484375,498.6380615234375,544.2811279296875,536099801.0,,,,,,,,,,,,
2020-09-01,407.213623046875,413.19232177734375,548.6981811523438,408.4807739257813,507.9629821777344,719023500.0,,,,,,,,,,,,
2020-10-01,419.5959167480469,425.7564086914063,479.0066528320313,386.7389831542969,418.1492614746094,510477952.0,,,,,,,,,,,,
2020-11-01,448.13330078125,454.7127685546875,485.8285827636719,426.9833984375,426.9833984375,272102398.0,,,,,,,,,,,,
2020-12-01,493.0675048828125,500.3067321777344,517.2879028320312,452.0134582519531,459.12982177734375,371719828.0,,,,,,,,,,,,
2021-01-01,535.5350341796875,543.397705078125,599.3963623046875,498.8343811035156,502.8097534179688,469356094.0,,,,,,,,,,,,
2021-02-01,538.1469116210938,546.0479736328125,611.5187377929688,539.0787963867188,548.6981811523438,622174122.0,,,,,,,,,,,,
2021-03-01,500.4195861816406,507.7666931152344,548.7963256835938,490.3437805175781,547.7166137695312,392253866.0,,,,,,,,,,,,
2021-04-01,519.23486328125,526.8582153320312,539.8640747070312,505.0673522949219,510.3678283691406,180509334.0,,,,,,,,,,,,
2021-05-01,517.4452514648438,525.0423583984375,566.366455078125,509.140869140625,520.2326049804688,255127039.0,,,,,,,,,,,,
2021-06-01,508.4970397949219,515.9627685546875,541.33642578125,509.4353637695313,527.5453491210938,179668817.0,,,,,,,,,,,,
2021-07-01,543.3223876953125,551.2993774414062,566.072021484375,510.41693115234375,519.2510375976562,237751448.0,,,,,,,,,,,,
2021-08-01,642.3807983398438,651.8121948242188,655.78759765625,549.6797485351562,555.5692138671875,456759310.0,,,,,,,,,,,,
2021-09-01,678.3406372070312,688.2999877929688,739.1229858398438,636.0579833984375,655.689453125,504021888.0,,,,,,,,,,,,
2021-10-01,675.433349609375,685.3499755859375,714.6500244140625,667.6500244140625,687.3499755859375,211025300.0,,,,,,,,,,,,
2021-11-01,717.7125854492188,728.25,781.7999877929688,689.5999755859375,689.9500122070312,242955974.0,,,,,,,,,,,,
2021-12-01,673.90576171875,683.7999877929688,737.4000244140625,645.0999755859375,733.0,183487949.0,,,,,,,,,,,,
2022-01-01,718.747314453125,729.2999877929688,754.0,677.3499755859375,687.7999877929688,170109319.0,,,,,,,,,,,,
2022-02-01,676.5667114257812,686.5,735.0,645.4500122070312,733.0,124151162.0,,,,,,,,,,,,
2022-03-01,744.0262451171875,754.9500122070312,769.9000244140625,639.0,686.5,151109715.0,,,,,,,,,,,,
2022-04-01,728.3070678710938,739.0,780.7000122070312,716.8499755859375,759.7999877929688,113046212.0,,,,,,,,,,,,
2022-05-01,690.0684814453125,700.2000122070312,742.9500122070312,667.8499755859375,734.0,175015440.0,,,,,,,,,,,,
2022-06-01,675.0390625,684.9500122070312,706.2000122070312,634.2000122070312,701.5499877929688,135749771.0,,,,,,,,,,,,
2022-07-01,668.1404418945312,677.9500122070312,696.5999755859375,628.75,684.8499755859375,134664198.0,,,,,,,,,,,,
2022-08-01,716.08642578125,726.5999755859375,754.2000122070312,677.0499877929688,677.9500122070312,163666823.0,,,,,,,,,,,,
2022-09-01,791.829833984375,799.9000244140625,809.0,686.2000122070312,726.5,294986256.0,,,,,,,,,,,,
2022-10-01,823.6058959960938,832.0,833.7999877929688,759.8499755859375,803.4000244140625,95573650.0,,,,,,,,,,,,
2022-11-01,840.1868896484375,848.75,860.5499877929688,804.2000122070312,828.0,121204841.0,,,,,,,,,,,,
2022-12-01,797.9672241210938,806.0999755859375,853.2000122070312,760.0999755859375,853.0,92554041.0,,,,,,,,,,,,
2023-01-01,762.5284423828125,770.2999877929688,826.0999755859375,751.6500244140625,806.25,144541778.0,,,,,,,,,,,,
2023-02-01,734.7614135742188,742.25,795.8499755859375,738.4500122070312,775.9500122070312,90581909.0,,,,,,,,,,,,
2023-03-01,741.443359375,749.0,795.0,735.7999877929688,742.4000244140625,97472910.0,,,,,,,,,,,,
2023-04-01,791.2357788085938,799.2999877929688,802.0499877929688,752.0499877929688,755.0,70618011.0,,,,,,,,,,,,
2023-05-01,841.3253784179688,849.9000244140625,888.75,773.6500244140625,799.2999877929688,160476176.0,,,,,,,,,,,,
2023-06-01,869.88427734375,878.75,883.0,819.0,837.9500122070312,96971919.0,,,,,,,,,,,,
2023-07-01,880.9218139648438,889.9000244140625,901.4000244140624,853.2999877929688,880.0,107508890.0,,,,,,,,,,,,
2023-08-01,847.759765625,856.4000244140625,900.5499877929688,847.0499877929688,894.5,95832731.0,,,,,,,,,,,,
2023-09-01,921.2659912109376,926.4000244140624,948.7000122070312,852.75,853.1500244140625,101405841.0,,,,,,,,,,,,
2023-10-01,909.33251953125,914.4000244140624,960.25,900.0499877929688,926.4000244140624,88728562.0,,,,,,,,,,,,
2023-11-01,1009.0765991210938,1014.7000122070312,1018.2000122070312,895.4500122070312,903.0,83219354.0,,,,,,,,,,,,
2023-12-01,1026.4796142578125,1032.199951171875,1045.949951171875,960.0,1015.0,113387516.0,,,,,,,,,,,,
2024-01-01,1164.2120361328125,1170.699951171875,1200.6500244140625,1007.0,1031.949951171875,122051057.0,,,,,,,,,,,,
2024-02-01,1117.12451171875,1123.3499755859375,1175.199951171875,1097.6500244140625,1165.050048828125,119130622.0,,,,,,,,,,,,
2024-03-01,1221.7911376953125,1228.5999755859375,1245.0,1117.4000244140625,1128.0,132096528.0,,,,,,,,,,,,
2024-04-01,1314.971923828125,1322.300048828125,1354.0,1183.0999755859375,1228.0,143773071.0,,,,,,,,,,,,
2024-05-01,1365.142333984375,1372.75,1407.0,1258.1500244140625,1322.300048828125,142399354.0,,,,,,,,,,,,
2024-06-01,1436.0472412109375,1444.050048828125,1536.25,1219.050048828125,1415.300048828125,228193072.0,,,,,,,,,,,,
2024-07-01,1483.2840576171875,1491.550048828125,1525.0,1408.449951171875,1450.0,116592205.0,,,,,,,,,,,,
2024-08-01,1580.24365234375,1589.050048828125,1608.4000244140625,1422.5999755859375,1485.0,152124327.0,,,,,,,,,,,,
2024-09-01,1709.550048828125,1709.550048828125,1779.0,1523.25,1605.0,139026582.0,,,,,,,,,,,,
2024-10-01,1612.5999755859375,1612.5999755859375,1742.25,1602.1500244140625,1705.0,96778877.0,,,,,,,,,,,,
2024-11-01,1627.1500244140625,1627.1500244140625,1648.9000244140625,1511.0,1620.0,111546809.0,,,,,,,,,,,,
2024-12-01,1587.75,1587.75,1687.0,1563.3499755859375,1627.1500244140625,135788049.0,,,,,,,,,,,,
2025-01-01,1631.75,1631.75,1656.699951171875,1567.0999755859375,1593.0,65806395.0,,,,,,,,,,,,
