Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'DIXON.NS')","('High', 'DIXON.NS')","('Low', 'DIXON.NS')","('Open', 'DIXON.NS')","('Volume', 'DIXON.NS')","('Date', '')","('Close', 'DIXON.NS')","('High', 'DIXON.NS')","('Low', 'DIXON.NS')","('Open', 'DIXON.NS')","('Volume', 'DIXON.NS')"
2020-01-01,928.0835571289062,930.8499755859376,943.989990234375,754.0,754.0,8362845.0,,,,,,,,,,,,
2020-02-01,763.334716796875,765.6099853515625,979.0,752.4000244140625,919.0,8699435.0,,,,,,,,,,,,
2020-03-01,713.8422241210938,715.969970703125,909.0,598.1199951171875,783.0,7793395.0,,,,,,,,,,,,
2020-04-01,912.69775390625,914.280029296875,939.2000122070312,675.030029296875,720.4299926757812,4791025.0,,,,,,,,,,,,
2020-05-01,973.4723510742188,975.1599731445312,991.0,837.0,914.280029296875,4347450.0,,,,,,,,,,,,
2020-06-01,1149.7867431640625,1151.780029296875,1216.0,967.0399780273438,996.6400146484376,7625320.0,,,,,,,,,,,,
2020-07-01,1524.097900390625,1526.739990234375,1560.0,1134.0,1154.9599609375,8354220.0,,,,,,,,,,,,
2020-08-01,1616.188232421875,1618.989990234375,1764.800048828125,1505.0,1559.0,9349500.0,,,,,,,,,,,,
2020-09-01,1749.37744140625,1752.4100341796875,2057.89990234375,1583.0,1596.800048828125,9773010.0,,,,,,,,,,,,
2020-10-01,1856.641357421875,1859.8599853515625,2000.0,1675.0,1805.199951171875,5284635.0,,,,,,,,,,,,
2020-11-01,2371.8583984375,2375.969970703125,2397.60009765625,1880.0,1880.0,5845250.0,,,,,,,,,,,,
2020-12-01,2685.055419921875,2689.7099609375,2781.969970703125,2254.989990234375,2398.0,5722105.0,,,,,,,,,,,,
2021-01-01,2820.6103515625,2825.5,3357.199951171875,2680.64990234375,2702.81005859375,7729830.0,,,,,,,,,,,,
2021-02-01,3962.91015625,3969.780029296875,4089.60009765625,2840.0,2859.800048828125,9225220.0,,,,,,,,,,,,
2021-03-01,3665.794921875,3672.14990234375,4457.7001953125,3345.14990234375,4019.39990234375,8439695.0,,,,,,,,,,,,
2021-04-01,4194.52783203125,4201.7998046875,4265.64990234375,3421.39990234375,3702.449951171875,7016470.0,,,,,,,,,,,,
2021-05-01,4021.828125,4028.800048828125,4320.0,3816.0,4150.0,3728752.0,,,,,,,,,,,,
