Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'ONGC.NS')","('High', 'ONGC.NS')","('Low', 'ONGC.NS')","('Open', 'ONGC.NS')","('Volume', 'ONGC.NS')","('Date', '')","('Close', 'ONGC.NS')","('High', 'ONGC.NS')","('Low', 'ONGC.NS')","('Open', 'ONGC.NS')","('Volume', 'ONGC.NS')"
2020-01-01,78.46082305908203,108.9499969482422,133.39999389648438,106.75,128.75,345488466.0,,,,,,,,,,,,
2020-02-01,66.21820068359375,91.9499969482422,109.75,89.5,109.0,457641519.0,,,,,,,,,,,,
2020-03-01,49.18655014038086,68.30000305175781,95.0,50.0,94.0,1131915544.0,,,,,,,,,,,,
2020-04-01,61.81208419799805,79.9000015258789,81.05000305175781,60.79999923706055,67.0,522448792.0,,,,,,,,,,,,
2020-05-01,64.3650131225586,83.19999694824219,83.75,72.4000015258789,79.9000015258789,430777781.0,,,,,,,,,,,,
2020-06-01,62.93383026123047,81.3499984741211,93.0999984741211,80.0,85.0,546484501.0,,,,,,,,,,,,
2020-07-01,60.57429122924805,78.30000305175781,84.9000015258789,75.0,79.0,376013444.0,,,,,,,,,,,,
2020-08-01,63.397987365722656,81.94999694824219,85.5,75.55000305175781,78.3499984741211,400738869.0,,,,,,,,,,,,
2020-09-01,53.57304763793945,69.25,82.80000305175781,65.5,82.75,438840247.0,,,,,,,,,,,,
2020-10-01,50.20781326293945,64.9000015258789,73.3499984741211,64.0999984741211,67.5,426788879.0,,,,,,,,,,,,
2020-11-01,60.72901153564453,78.5,81.80000305175781,64.19999694824219,65.4000015258789,481306375.0,,,,,,,,,,,,
2020-12-01,71.98516845703125,93.0500030517578,105.5999984741211,77.05000305175781,78.5,981751160.0,,,,,,,,,,,,
2021-01-01,68.31047821044922,88.30000305175781,107.9000015258789,87.75,93.75,608644609.0,,,,,,,,,,,,
2021-02-01,85.87161254882812,111.0,120.5,88.44999694824219,89.0,824458933.0,,,,,,,,,,,,
2021-03-01,80.38089752197266,102.1500015258789,122.3499984741211,100.25,114.3000030517578,655220562.0,,,,,,,,,,,,
2021-04-01,85.10224914550781,108.1500015258789,112.6999969482422,97.4499969482422,103.0,413019584.0,,,,,,,,,,,,
2021-05-01,89.4301528930664,113.6500015258789,121.1500015258789,106.0,108.1500015258789,559235443.0,,,,,,,,,,,,
2021-06-01,92.61705017089844,117.6999969482422,128.5,114.1999969482422,114.3499984741211,693566720.0,,,,,,,,,,,,
2021-07-01,90.72853088378906,115.3000030517578,125.0,111.5999984741211,117.75,310970049.0,,,,,,,,,,,,
2021-08-01,94.85969543457033,120.5500030517578,121.0,108.5,114.9499969482422,281206090.0,,,,,,,,,,,,
2021-09-01,113.70574188232422,144.5,148.8000030517578,117.5,121.8000030517578,543955279.0,,,,,,,,,,,,
2021-10-01,119.12335968017578,149.0500030517578,172.75,144.10000610351562,145.1999969482422,685077443.0,,,,,,,,,,,,
2021-11-01,113.56879425048828,142.10000610351562,162.25,141.10000610351562,150.0,357497393.0,,,,,,,,,,,,
2021-12-01,118.0151824951172,142.39999389648438,150.5,131.64999389648438,142.39999389648438,228695102.0,,,,,,,,,,,,
2022-01-01,143.04368591308594,172.60000610351562,174.85000610351562,141.1999969482422,142.35000610351562,373479705.0,,,,,,,,,,,,
2022-02-01,133.1400146484375,160.64999389648438,176.35000610351562,155.8000030517578,174.0,401511266.0,,,,,,,,,,,,
2022-03-01,137.26414489746094,163.89999389648438,194.9499969482422,160.64999389648438,160.64999389648438,879978942.0,,,,,,,,,,,,
2022-04-01,134.3748321533203,160.4499969482422,179.8000030517578,159.5,163.89999389648438,309588369.0,,,,,,,,,,,,
2022-05-01,126.66995239257812,151.25,168.39999389648438,141.10000610351562,158.14999389648438,452349376.0,,,,,,,,,,,,
2022-06-01,126.92121124267578,151.5500030517578,167.35000610351562,130.0,151.1999969482422,757499735.0,,,,,,,,,,,,
2022-07-01,112.34890747070312,134.14999389648438,151.14999389648438,119.8499984741211,148.9499969482422,792068412.0,,,,,,,,,,,,
2022-08-01,116.07574462890624,138.60000610351562,141.89999389648438,129.8000030517578,134.10000610351562,481693809.0,,,,,,,,,,,,
2022-09-01,108.7236557006836,126.8000030517578,136.25,121.5,135.0,329377941.0,,,,,,,,,,,,
2022-10-01,114.94011688232422,134.0500030517578,136.5500030517578,125.8000030517578,131.6999969482422,264304757.0,,,,,,,,,,,,
2022-11-01,120.98505401611328,141.10000610351562,143.8000030517578,132.89999389648438,134.10000610351562,284754193.0,,,,,,,,,,,,
2022-12-01,132.12109375,146.75,150.5,139.1999969482422,141.4499969482422,298523594.0,,,,,,,,,,,,
2023-01-01,130.45553588867188,144.89999389648438,154.14999389648438,143.25,147.3000030517578,299006065.0,,,,,,,,,,,,
2023-02-01,136.8927764892578,152.0500030517578,158.8000030517578,140.10000610351562,145.8000030517578,237976221.0,,,,,,,,,,,,
2023-03-01,139.603271484375,151.0500030517578,159.6999969482422,146.5,152.0,197390021.0,,,,,,,,,,,,
2023-04-01,146.90460205078125,158.9499969482422,161.8000030517578,150.0,154.5,179726512.0,,,,,,,,,,,,
2023-05-01,143.16151428222656,154.89999389648438,169.0,150.0500030517578,158.9499969482422,323707482.0,,,,,,,,,,,,
2023-06-01,148.15231323242188,160.3000030517578,161.0,152.5500030517578,154.6999969482422,231779488.0,,,,,,,,,,,,
2023-07-01,163.63296508789062,177.0500030517578,177.5,160.0,160.3000030517578,171742860.0,,,,,,,,,,,,
2023-08-01,160.9527130126953,174.14999389648438,180.4499969482422,171.5,175.3000030517578,142540893.0,,,,,,,,,,,,
2023-09-01,177.81158447265625,191.8500061035156,192.25,174.39999389648438,174.39999389648438,236348457.0,,,,,,,,,,,,
2023-10-01,172.52867126464844,186.1499938964844,191.8500061035156,179.89999389648438,191.8500061035156,186611068.0,,,,,,,,,,,,
2023-11-01,180.68472290039065,194.9499969482422,203.3999938964844,185.0500030517578,186.1499938964844,205294168.0,,,,,,,,,,,,
2023-12-01,195.7341766357422,205.0500030517578,212.0,192.0500030517578,195.25,349347596.0,,,,,,,,,,,,
2024-01-01,240.789779663086,252.25,263.29998779296875,203.6499938964844,206.0,544958210.0,,,,,,,,,,,,
2024-02-01,252.57872009277344,264.6000061035156,281.1499938964844,245.4499969482422,254.6499938964844,485799920.0,,,,,,,,,,,,
2024-03-01,259.61688232421875,268.04998779296875,284.95001220703125,248.8999938964844,266.5,294818868.0,,,,,,,,,,,,
2024-04-01,273.9512939453125,282.8500061035156,292.54998779296875,265.0,268.04998779296875,441262651.0,,,,,,,,,,,,
2024-05-01,256.0332946777344,264.3500061035156,292.95001220703125,262.04998779296875,282.8500061035156,303201365.0,,,,,,,,,,,,
2024-06-01,265.57342529296875,274.20001220703125,286.54998779296875,223.0,277.95001220703125,436933029.0,,,,,,,,,,,,
2024-07-01,323.6857604980469,334.20001220703125,339.54998779296875,271.5,275.0,645187592.0,,,,,,,,,,,,
2024-08-01,320.3442687988281,330.75,345.0,305.1499938964844,337.79998779296875,503342706.0,,,,,,,,,,,,
2024-09-01,290.47613525390625,297.6000061035156,331.95001220703125,282.5,330.0,406612829.0,,,,,,,,,,,,
2024-10-01,259.7789611816406,266.1499938964844,299.70001220703125,255.3000030517578,297.0,304273551.0,,,,,,,,,,,,
2024-11-01,250.55519104003903,256.70001220703125,274.3500061035156,240.8000030517578,269.79998779296875,260115386.0,,,,,,,,,,,,
2024-12-01,239.25,239.25,264.70001220703125,231.1499938964844,255.5,209537835.0,,,,,,,,,,,,
2025-01-01,264.04998779296875,264.04998779296875,273.5,236.3500061035156,237.8099975585937,312305149.0,,,,,,,,,,,,
