Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'ADANIPORTS.NS')","('High', 'ADANIPORTS.NS')","('Low', 'ADANIPORTS.NS')","('Open', 'ADANIPORTS.NS')","('Volume', 'ADANIPORTS.NS')","('Date', '')","('Close', 'ADANIPORTS.NS')","('High', 'ADANIPORTS.NS')","('Low', 'ADANIPORTS.NS')","('Open', 'ADANIPORTS.NS')","('Volume', 'ADANIPORTS.NS')"
2020-01-01,356.3888854980469,369.3999938964844,394.6000061035156,366.0,368.0,80452317.0,,,,,,,,,,,,
2020-02-01,330.1469421386719,342.20001220703125,378.8999938964844,339.20001220703125,369.7999877929688,49007422.0,,,,,,,,,,,,
2020-03-01,242.4486389160156,251.3000030517578,351.8999938964844,203.0,346.1000061035156,151020987.0,,,,,,,,,,,,
2020-04-01,282.97515869140625,290.1000061035156,296.0,235.0500030517578,246.0500030517578,78640218.0,,,,,,,,,,,,
2020-05-01,315.8475036621094,323.79998779296875,334.1499938964844,261.1000061035156,290.1000061035156,115156670.0,,,,,,,,,,,,
2020-06-01,335.453857421875,343.8999938964844,360.0,325.79998779296875,326.0,75692680.0,,,,,,,,,,,,
2020-07-01,307.458740234375,315.20001220703125,366.7999877929688,298.0,345.8999938964844,81868680.0,,,,,,,,,,,,
2020-08-01,347.0128173828125,355.75,378.3500061035156,308.6499938964844,311.0,104521798.0,,,,,,,,,,,,
2020-09-01,333.35662841796875,341.75,368.0,312.1000061035156,357.0,93304654.0,,,,,,,,,,,,
2020-10-01,351.0121459960937,359.8500061035156,373.8999938964844,341.1499938964844,345.5,97436327.0,,,,,,,,,,,,
2020-11-01,401.4423828125,411.5499877929688,416.0,347.20001220703125,360.0,191509173.0,,,,,,,,,,,,
2020-12-01,471.8691711425781,483.75,492.9500122070313,412.0,415.0,174958506.0,,,,,,,,,,,,
2021-01-01,497.1818542480469,509.7000122070313,562.5,482.5499877929688,485.0,152501957.0,,,,,,,,,,,,
2021-02-01,659.2999877929688,675.9000244140625,711.3499755859375,500.1000061035156,514.2999877929688,278950983.0,,,,,,,,,,,,
2021-03-01,685.149169921875,702.4000244140625,767.7999877929688,657.0999755859375,684.5999755859375,309948565.0,,,,,,,,,,,,
2021-04-01,712.1199951171875,730.0499877929688,885.0,689.5,713.5,554668446.0,,,,,,,,,,,,
2021-05-01,750.6499633789062,769.5499877929688,791.9000244140625,713.75,727.6500244140625,263029100.0,,,,,,,,,,,,
2021-06-01,686.4171752929688,703.7000122070312,901.0,638.0999755859375,773.0999755859375,691052260.0,,,,,,,,,,,,
2021-07-01,662.5436401367188,674.5,737.0,654.2000122070312,706.0,217234081.0,,,,,,,,,,,,
2021-08-01,735.035400390625,748.2999877929688,754.0,665.0,682.0,197702290.0,,,,,,,,,,,,
2021-09-01,724.8197631835938,737.9000244140625,786.0,733.0,750.0499877929688,101033201.0,,,,,,,,,,,,
2021-10-01,680.7157592773438,693.0,829.9000244140625,681.1500244140625,735.8499755859375,116983309.0,,,,,,,,,,,,
2021-11-01,671.7279052734375,683.8499755859375,774.2999877929688,679.7000122070312,705.0,80732848.0,,,,,,,,,,,,
2021-12-01,717.3544921875,730.2999877929688,794.9500122070312,682.75,695.0,107958087.0,,,,,,,,,,,,
2022-01-01,703.6026611328125,716.2999877929688,795.0,689.0,732.0,98067038.0,,,,,,,,,,,,
2022-02-01,694.958740234375,707.5,750.8499755859375,651.9500122070312,721.0,90693007.0,,,,,,,,,,,,
2022-03-01,760.4763793945312,774.2000122070312,781.0,663.5499877929688,707.5,109284362.0,,,,,,,,,,,,
2022-04-01,841.2192993164062,856.4000244140625,924.6500244140624,774.5,774.5,189647877.0,,,,,,,,,,,,
2022-05-01,726.7352905273438,739.8499755859375,864.2000122070312,668.1500244140625,850.0,140748278.0,,,,,,,,,,,,
2022-06-01,660.1370239257812,672.0499877929688,758.5,653.0999755859375,739.7999877929688,76722247.0,,,,,,,,,,,,
2022-07-01,750.1624755859375,763.7000122070312,775.6500244140625,656.0,670.0,60685265.0,,,,,,,,,,,,
2022-08-01,832.9525146484375,842.1500244140625,891.9000244140625,765.0499877929688,770.0,143682882.0,,,,,,,,,,,,
2022-09-01,811.6873168945312,820.6500244140625,987.8499755859376,801.0,841.7999877929688,197471660.0,,,,,,,,,,,,
2022-10-01,814.5556030273438,823.5499877929688,835.0,771.6500244140625,821.0,114721617.0,,,,,,,,,,,,
2022-11-01,871.3782348632812,881.0,916.0,823.5,827.7000122070312,163279545.0,,,,,,,,,,,,
2022-12-01,809.1651000976562,818.0999755859375,912.0,785.2999877929688,884.75,108663134.0,,,,,,,,,,,,
2023-01-01,605.958984375,612.6500244140625,826.75,537.0,823.0,231070475.0,,,,,,,,,,,,
2023-02-01,585.9796142578125,592.4500122070312,629.0,395.1000061035156,627.0,549832517.0,,,,,,,,,,,,
2023-03-01,624.9987182617188,631.9000244140625,722.75,571.5499877929688,598.0,310686036.0,,,,,,,,,,,,
2023-04-01,673.8592529296875,681.2999877929688,683.0,622.1500244140625,638.5499877929688,71696086.0,,,,,,,,,,,,
2023-05-01,730.7806396484375,738.8499755859375,785.6500244140625,656.75,681.2999877929688,175302405.0,,,,,,,,,,,,
2023-06-01,731.1763305664062,739.25,759.9000244140625,703.0,730.5,134902058.0,,,,,,,,,,,,
2023-07-01,769.354736328125,777.8499755859375,780.0,708.0,744.5,60561333.0,,,,,,,,,,,,
2023-08-01,788.8156127929688,792.2000122070312,869.0,751.5499877929688,778.9500122070312,187567549.0,,,,,,,,,,,,
2023-09-01,821.6248779296875,825.1500244140625,889.5,779.6500244140625,780.0,137577432.0,,,,,,,,,,,,
2023-10-01,781.3973999023438,784.75,845.4500122070312,754.5,825.1500244140625,63920642.0,,,,,,,,,,,,
2023-11-01,821.9733276367188,825.5,854.4000244140625,767.2000122070312,784.75,83341589.0,,,,,,,,,,,,
2023-12-01,1019.9738159179688,1024.3499755859375,1102.4000244140625,825.5,839.2000122070312,212022930.0,,,,,,,,,,,,
2024-01-01,1202.49072265625,1207.6500244140625,1229.9000244140625,1023.0,1026.550048828125,168682761.0,,,,,,,,,,,,
2024-02-01,1314.858642578125,1320.5,1343.0,1200.300048828125,1213.5999755859375,77449571.0,,,,,,,,,,,,
2024-03-01,1336.117431640625,1341.8499755859375,1358.699951171875,1188.0999755859375,1335.0,65846077.0,,,,,,,,,,,,
2024-04-01,1319.2398681640625,1324.9000244140625,1424.949951171875,1270.0,1356.800048828125,84607519.0,,,,,,,,,,,,
2024-05-01,1431.25927734375,1437.4000244140625,1457.050048828125,1240.0,1324.9000244140625,97391701.0,,,,,,,,,,,,
2024-06-01,1471.7852783203125,1478.0999755859375,1621.4000244140625,1160.5999755859375,1549.0,204984154.0,,,,,,,,,,,,
2024-07-01,1569.9000244140625,1569.9000244140625,1577.9000244140625,1419.0,1483.0,62459357.0,,,,,,,,,,,,
2024-08-01,1481.9000244140625,1481.9000244140625,1604.949951171875,1452.0,1580.949951171875,59447282.0,,,,,,,,,,,,
2024-09-01,1448.199951171875,1448.199951171875,1499.5,1394.449951171875,1490.0,40453579.0,,,,,,,,,,,,
2024-10-01,1375.949951171875,1375.949951171875,1472.8499755859375,1303.1500244140625,1448.199951171875,45622925.0,,,,,,,,,,,,
2024-11-01,1190.050048828125,1190.050048828125,1397.949951171875,995.6500244140624,1386.5,163718615.0,,,,,,,,,,,,
2024-12-01,1231.0999755859375,1231.0999755859375,1309.5,1174.25,1201.9000244140625,81213327.0,,,,,,,,,,,,
2025-01-01,1102.25,1102.25,1237.5999755859375,1058.949951171875,1223.0,44249249.0,,,,,,,,,,,,
