Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'APOLLOTYRE.NS')","('High', 'APOLLOTYRE.NS')","('Low', 'APOLLOTYRE.NS')","('Open', 'APOLLOTYRE.NS')","('Volume', 'APOLLOTYRE.NS')","('Date', '')","('Close', 'APOLLOTYRE.NS')","('High', 'APOLLOTYRE.NS')","('Low', 'APOLLOTYRE.NS')","('Open', 'APOLLOTYRE.NS')","('Volume', 'APOLLOTYRE.NS')"
2020-01-01,154.53781127929688,166.5,182.3500061035156,158.4499969482422,164.5,50442904.0,,,,,,,,,,,,
2020-02-01,132.54052734375,142.8000030517578,170.8000030517578,141.0,167.0,80463539.0,,,,,,,,,,,,
2020-03-01,73.69551086425781,79.4000015258789,145.8000030517578,73.4000015258789,145.0,101610244.0,,,,,,,,,,,,
2020-04-01,91.31390380859376,96.3000030517578,103.3000030517578,76.44999694824219,79.4000015258789,120386099.0,,,,,,,,,,,,
2020-05-01,92.07247161865234,97.0999984741211,100.8000030517578,81.05000305175781,96.3000030517578,187842709.0,,,,,,,,,,,,
2020-06-01,102.40811157226562,108.0,114.9499969482422,97.5,99.1999969482422,236022326.0,,,,,,,,,,,,
2020-07-01,102.6451644897461,108.25,119.5999984741211,105.9000015258789,108.8000030517578,136696163.0,,,,,,,,,,,,
2020-08-01,117.15298461914062,123.5500030517578,139.0,107.5500030517578,108.9000015258789,238078918.0,,,,,,,,,,,,
2020-09-01,124.07501983642578,130.85000610351562,135.5500030517578,109.5500030517578,124.0,172052073.0,,,,,,,,,,,,
2020-10-01,132.65643310546875,139.89999389648438,152.64999389648438,124.0999984741211,131.9499969482422,144727036.0,,,,,,,,,,,,
2020-11-01,174.8997802734375,184.4499969482422,185.5,138.75,140.89999389648438,164371664.0,,,,,,,,,,,,
2020-12-01,168.7837371826172,178.0,200.0,170.35000610351562,184.5,202781274.0,,,,,,,,,,,,
2021-01-01,186.46807861328125,196.6499938964844,239.6999969482422,174.5,178.4499969482422,368472395.0,,,,,,,,,,,,
2021-02-01,220.08262634277344,232.1000061035156,256.5,192.3999938964844,198.25,325906825.0,,,,,,,,,,,,
2021-03-01,212.11753845214844,223.6999969482422,261.25,208.0,235.0,168064635.0,,,,,,,,,,,,
2021-04-01,205.1481170654297,216.3500061035156,236.8999938964844,198.5500030517578,226.25,139244128.0,,,,,,,,,,,,
2021-05-01,210.552978515625,222.0500030517578,228.6999969482422,204.5500030517578,213.0,160122641.0,,,,,,,,,,,,
2021-06-01,213.3502349853516,225.0,243.0,218.5,222.8500061035156,113564820.0,,,,,,,,,,,,
2021-07-01,211.88047790527344,223.4499969482422,241.0,215.6000061035156,226.1000061035156,88927820.0,,,,,,,,,,,,
2021-08-01,204.90676879882807,212.9499969482422,231.9499969482422,203.3500061035156,224.8500061035156,82795687.0,,,,,,,,,,,,
2021-09-01,217.17518615722656,225.6999969482422,239.8500061035156,213.0500030517578,213.6999969482422,85480518.0,,,,,,,,,,,,
2021-10-01,204.858642578125,212.8999938964844,250.0,208.1000061035156,224.5,87503432.0,,,,,,,,,,,,
2021-11-01,196.82403564453125,204.5500030517578,237.0,200.8000030517578,215.1000061035156,57815583.0,,,,,,,,,,,,
2021-12-01,210.87258911132807,219.1499938964844,222.1000061035156,197.8000030517578,205.25,44726824.0,,,,,,,,,,,,
2022-01-01,208.46701049804688,216.6499938964844,245.0,205.5,220.1999969482422,60116212.0,,,,,,,,,,,,
2022-02-01,177.72378540039062,184.6999969482422,230.5,176.4499969482422,218.75,85731293.0,,,,,,,,,,,,
2022-03-01,183.7858428955078,191.0,194.8999938964844,165.25,184.6999969482422,79291166.0,,,,,,,,,,,,
2022-04-01,197.25704956054688,205.0,214.0,187.0,191.1000061035156,74037100.0,,,,,,,,,,,,
2022-05-01,210.1027984619141,218.3500061035156,224.5,189.0500030517578,202.1999969482422,83247492.0,,,,,,,,,,,,
2022-06-01,178.1086883544922,185.1000061035156,223.6999969482422,167.10000610351562,218.5,70117334.0,,,,,,,,,,,,
2022-07-01,215.35516357421875,219.8999938964844,222.0,184.3000030517578,185.6999969482422,37869319.0,,,,,,,,,,,,
2022-08-01,246.49794006347656,251.6999969482422,268.29998779296875,218.5500030517578,220.3500061035156,78264779.0,,,,,,,,,,,,
2022-09-01,272.9399108886719,278.70001220703125,303.45001220703125,249.1999969482422,251.25,111775469.0,,,,,,,,,,,,
2022-10-01,284.69189453125,290.70001220703125,293.3999938964844,262.0,279.79998779296875,52471863.0,,,,,,,,,,,,
2022-11-01,309.90972900390625,316.45001220703125,318.0,270.0,292.20001220703125,119176197.0,,,,,,,,,,,,
2022-12-01,317.59747314453125,324.29998779296875,330.5,305.1000061035156,317.6499938964844,60005437.0,,,,,,,,,,,,
2023-01-01,314.5615539550781,321.20001220703125,339.95001220703125,304.8999938964844,324.29998779296875,66980597.0,,,,,,,,,,,,
2023-02-01,306.873779296875,313.3500061035156,343.04998779296875,309.45001220703125,322.29998779296875,56499381.0,,,,,,,,,,,,
