Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'ASHOKLEY.NS')","('High', 'ASHOKLEY.NS')","('Low', 'ASHOKLEY.NS')","('Open', 'ASHOKLEY.NS')","('Volume', 'ASHOKLEY.NS')","('Date', '')","('Close', 'ASHOKLEY.NS')","('High', 'ASHOKLEY.NS')","('Low', 'ASHOKLEY.NS')","('Open', 'ASHOKLEY.NS')","('Volume', 'ASHOKLEY.NS')"
2020-01-01,74.96687316894531,81.94999694824219,87.5,79.55000305175781,81.94999694824219,337246647.0,,,,,,,,,,,,
2020-02-01,63.94368743896485,69.9000015258789,86.3499984741211,69.5,81.9000015258789,513212620.0,,,,,,,,,,,,
2020-03-01,39.38161849975586,43.04999923706055,77.0,33.70000076293945,71.5,906199167.0,,,,,,,,,,,,
2020-04-01,48.26475143432617,52.34999847412109,53.20000076293945,37.29999923706055,43.04999923706055,657374057.0,,,,,,,,,,,,
2020-05-01,39.137325286865234,42.45000076293945,52.34999847412109,42.0,52.34999847412109,760915979.0,,,,,,,,,,,,
2020-06-01,43.28615188598633,46.95000076293945,58.5,43.5,43.84999847412109,1241905926.0,,,,,,,,,,,,
2020-07-01,44.853492736816406,48.650001525878906,53.400001525878906,46.84999847412109,47.54999923706055,761078249.0,,,,,,,,,,,,
2020-08-01,62.37078475952149,67.6500015258789,73.5999984741211,48.650001525878906,49.0,1344511926.0,,,,,,,,,,,,
2020-09-01,68.59403228759766,74.4000015258789,83.4000015258789,64.1500015258789,67.9000015258789,1205345767.0,,,,,,,,,,,,
2020-10-01,72.7889633178711,78.94999694824219,83.5,72.0,75.4000015258789,831188543.0,,,,,,,,,,,,
2020-11-01,84.9588623046875,92.1500015258789,97.8000030517578,78.5999984741211,79.80000305175781,728252931.0,,,,,,,,,,,,
2020-12-01,88.0013427734375,95.4499969482422,102.0999984741211,87.25,93.1500015258789,563029676.0,,,,,,,,,,,,
2021-01-01,102.15348052978516,110.8000030517578,127.25,95.6999969482422,95.6999969482422,812778292.0,,,,,,,,,,,,
2021-02-01,118.79491424560548,128.85000610351562,138.89999389648438,108.5,111.9000015258789,666972431.0,,,,,,,,,,,,
2021-03-01,104.6427764892578,113.5,134.35000610351562,107.25,130.6999969482422,492903291.0,,,,,,,,,,,,
2021-04-01,103.90519714355467,112.6999969482422,125.5999984741211,106.1999969482422,115.25,488235430.0,,,,,,,,,,,,
2021-05-01,113.81631469726562,123.4499969482422,128.85000610351562,108.3000030517578,109.6999969482422,332986478.0,,,,,,,,,,,,
2021-06-01,113.03263092041016,122.5999984741211,132.3000030517578,112.4000015258789,123.9000015258789,455452335.0,,,,,,,,,,,,
2021-07-01,122.43666076660156,132.8000030517578,137.5,120.8000030517578,123.8000030517578,306082947.0,,,,,,,,,,,,
2021-08-01,113.17092895507812,122.75,143.3000030517578,114.8499984741211,134.9499969482422,394258291.0,,,,,,,,,,,,
2021-09-01,123.9698257446289,133.8000030517578,134.5,119.5500030517578,122.5,376741204.0,,,,,,,,,,,,
2021-10-01,131.93797302246094,142.39999389648438,149.6999969482422,129.0,133.9499969482422,406555121.0,,,,,,,,,,,,
2021-11-01,110.9057159423828,119.6999969482422,153.5,118.75,142.39999389648438,359697309.0,,,,,,,,,,,,
2021-12-01,113.45368957519533,122.4499969482422,130.35000610351562,117.0,120.0,243117270.0,,,,,,,,,,,,
2022-01-01,122.8116455078125,132.5500030517578,141.89999389648438,124.1500015258789,125.0,254933735.0,,,,,,,,,,,,
2022-02-01,109.93286895751952,118.6500015258789,138.89999389648438,112.8000030517578,133.5500030517578,305436813.0,,,,,,,,,,,,
2022-03-01,108.63572692871094,117.25,119.3000030517578,93.1999969482422,118.6500015258789,500451428.0,,,,,,,,,,,,
2022-04-01,117.76203918457033,127.0999984741211,132.0,116.3000030517578,117.4000015258789,209026791.0,,,,,,,,,,,,
2022-05-01,127.3979721069336,137.5,143.0,113.0,127.0999984741211,395267295.0,,,,,,,,,,,,
2022-06-01,136.9412384033203,147.8000030517578,149.4499969482422,128.1999969482422,138.89999389648438,333548111.0,,,,,,,,,,,,
2022-07-01,138.05307006835938,149.0,154.5,140.5500030517578,148.0,243826755.0,,,,,,,,,,,,
2022-08-01,143.68984985351562,154.0,158.25,139.60000610351562,150.39999389648438,283512840.0,,,,,,,,,,,,
2022-09-01,142.4302215576172,152.64999389648438,169.4499969482422,146.3000030517578,155.14999389648438,315735301.0,,,,,,,,,,,,
2022-10-01,143.03671264648438,153.3000030517578,160.5,141.6999969482422,155.1999969482422,211515991.0,,,,,,,,,,,,
2022-11-01,138.83799743652344,148.8000030517578,154.39999389648438,141.64999389648438,154.25,261718845.0,,,,,,,,,,,,
2022-12-01,133.79949951171875,143.39999389648438,150.60000610351562,135.1999969482422,150.3000030517578,183359179.0,,,,,,,,,,,,
2023-01-01,139.49111938476562,149.5,152.8000030517578,143.3000030517578,146.5500030517578,209083950.0,,,,,,,,,,,,
2023-02-01,135.7589111328125,145.5,156.3000030517578,137.60000610351562,149.9499969482422,214490719.0,,,,,,,,,,,,
2023-03-01,129.8806915283203,139.1999969482422,146.5,133.10000610351562,145.35000610351562,146744485.0,,,,,,,,,,,,
2023-04-01,136.17877197265625,145.9499969482422,146.3000030517578,134.39999389648438,141.0,164780506.0,,,,,,,,,,,,
2023-05-01,136.50535583496094,146.3000030517578,154.9499969482422,143.1999969482422,145.9499969482422,179118843.0,,,,,,,,,,,,
2023-06-01,156.1927490234375,167.39999389648438,170.5500030517578,144.4499969482422,146.75,245912782.0,,,,,,,,,,,,
2023-07-01,171.68136596679688,184.0,186.5,161.6999969482422,169.0,347476848.0,,,,,,,,,,,,
