Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'BHARATFORG.NS')","('High', 'BHARATFORG.NS')","('Low', 'BHARATFORG.NS')","('Open', 'BHARATFORG.NS')","('Volume', 'BHARATFORG.NS')","('Date', '')","('Close', 'BHARATFORG.NS')","('High', 'BHARATFORG.NS')","('Low', 'BHARATFORG.NS')","('Open', 'BHARATFORG.NS')","('Volume', 'BHARATFORG.NS')"
2020-01-01,475.23193359375,490.6499938964844,533.9000244140625,470.7000122070313,486.1000061035156,29108269.0,,,,,,,,,,,,
2020-02-01,421.7181396484375,435.3999938964844,527.9500122070312,422.7000122070313,487.8999938964844,31275505.0,,,,,,,,,,,,
2020-03-01,227.5669860839844,234.9499969482422,466.3999938964844,231.0500030517578,440.5,47602598.0,,,,,,,,,,,,
2020-04-01,300.81793212890625,309.20001220703125,324.3500061035156,207.5,234.3999938964844,68015326.0,,,,,,,,,,,,
2020-05-01,317.21112060546875,326.04998779296875,336.6000061035156,263.1000061035156,309.20001220703125,72884329.0,,,,,,,,,,,,
2020-06-01,310.6927490234375,319.3500061035156,385.7000122070313,306.6000061035156,332.8999938964844,76190525.0,,,,,,,,,,,,
2020-07-01,371.59576416015625,381.9500122070313,398.0,321.0,322.0,82811149.0,,,,,,,,,,,,
2020-08-01,477.8840942382813,491.2000122070313,522.0999755859375,376.0,380.2000122070313,107168195.0,,,,,,,,,,,,
2020-09-01,435.41741943359375,447.5499877929688,512.7000122070312,427.5,492.0,48412238.0,,,,,,,,,,,,
2020-10-01,439.0657348632813,451.2999877929688,498.75,439.5,448.0,48994881.0,,,,,,,,,,,,
2020-11-01,494.5691833496094,508.3500061035156,539.6500244140625,445.0,454.0,61588520.0,,,,,,,,,,,,
2020-12-01,511.0596618652344,525.2999877929688,567.25,492.1000061035156,513.5,67701569.0,,,,,,,,,,,,
2021-01-01,567.9738159179688,583.7999877929688,676.9000244140625,524.25,527.6500244140625,77652827.0,,,,,,,,,,,,
2021-02-01,593.5121459960938,610.0499877929688,668.0,576.5,587.0,62170625.0,,,,,,,,,,,,
2021-03-01,579.7944946289062,595.9500122070312,650.0,568.2999877929688,619.5999755859375,41806276.0,,,,,,,,,,,,
2021-04-01,593.852783203125,610.4000244140625,626.9000244140625,555.75,603.7999877929688,37182600.0,,,,,,,,,,,,
2021-05-01,659.4741821289062,677.8499755859375,694.8499755859375,598.5999755859375,602.5499877929688,50158016.0,,,,,,,,,,,,
2021-06-01,741.2456665039062,761.9000244140625,790.9000244140625,660.0999755859375,682.0,81007779.0,,,,,,,,,,,,
2021-07-01,750.7315063476562,771.6500244140625,832.0,759.5,762.0,33866855.0,,,,,,,,,,,,
2021-08-01,748.2448120117188,767.2000122070312,844.7999877929688,717.0,777.25,59764863.0,,,,,,,,,,,,
2021-09-01,719.2297973632812,737.4500122070312,811.4500122070312,727.2000122070312,770.7000122070312,43577715.0,,,,,,,,,,,,
2021-10-01,748.196044921875,767.1500244140625,818.0,717.2999877929688,737.0,43056692.0,,,,,,,,,,,,
2021-11-01,676.5120239257812,693.6500244140625,847.9500122070312,678.8499755859375,767.0499877929688,53731566.0,,,,,,,,,,,,
2021-12-01,681.9894409179688,697.8499755859375,745.7999877929688,652.5,697.2999877929688,26699251.0,,,,,,,,,,,,
2022-01-01,718.2951049804688,735.0,787.5,697.5,697.5,25075303.0,,,,,,,,,,,,
2022-02-01,663.2258911132812,678.6500244140625,767.1500244140625,650.5,744.0,34301890.0,,,,,,,,,,,,
2022-03-01,684.6769409179688,700.5999755859375,725.2999877929688,595.0,678.6500244140625,37441181.0,,,,,,,,,,,,
2022-04-01,685.8008422851562,701.75,753.8499755859375,694.2000122070312,700.0,21480325.0,,,,,,,,,,,,
2022-05-01,688.8792114257812,704.9000244140625,723.7000122070312,597.0,687.5999755859375,34013058.0,,,,,,,,,,,,
