Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'HINDALCO.NS')","('High', 'HINDALCO.NS')","('Low', 'HINDALCO.NS')","('Open', 'HINDALCO.NS')","('Volume', 'HINDALCO.NS')","('Date', '')","('Close', 'HINDALCO.NS')","('High', 'HINDALCO.NS')","('Low', 'HINDALCO.NS')","('Open', 'HINDALCO.NS')","('Volume', 'HINDALCO.NS')"
2020-01-01,183.1376800537109,189.3500061035156,221.1999969482422,188.25,216.1499938964844,182183463.0,,,,,,,,,,,,
2020-02-01,150.78512573242188,155.89999389648438,198.3999938964844,154.10000610351562,187.6499938964844,162637755.0,,,,,,,,,,,,
2020-03-01,92.5602035522461,95.6999969482422,167.89999389648438,84.9000015258789,160.5500030517578,275200667.0,,,,,,,,,,,,
2020-04-01,125.92830657958984,130.1999969482422,132.1999969482422,88.4000015258789,94.9499969482422,385655071.0,,,,,,,,,,,,
2020-05-01,134.29452514648438,138.85000610351562,141.14999389648438,114.3000030517578,130.1999969482422,346099929.0,,,,,,,,,,,,
2020-06-01,141.40335083007812,146.1999969482422,160.10000610351562,136.1999969482422,141.89999389648438,360383356.0,,,,,,,,,,,,
2020-07-01,157.74891662597656,163.10000610351562,170.5,144.5,147.5,354034104.0,,,,,,,,,,,,
2020-08-01,179.17218017578125,185.25,203.1499938964844,160.75,163.10000610351562,399150802.0,,,,,,,,,,,,
2020-09-01,169.50027465820312,175.25,196.8999938964844,154.39999389648438,185.1999969482422,387252353.0,,,,,,,,,,,,
2020-10-01,165.89674377441406,170.64999389648438,187.6999969482422,165.3000030517578,177.1999969482422,315310814.0,,,,,,,,,,,,
2020-11-01,220.04530334472656,226.3500061035156,231.25,167.64999389648438,171.5,425774333.0,,,,,,,,,,,,
2020-12-01,233.84976196289065,240.5500030517578,255.9499969482422,222.5,230.8000030517578,361911496.0,,,,,,,,,,,,
2021-01-01,219.9966735839844,226.3000030517578,275.3999938964844,224.5500030517578,239.0,293913813.0,,,,,,,,,,,,
2021-02-01,330.7727355957031,340.25,354.6000061035156,226.5500030517578,227.3500061035156,464865247.0,,,,,,,,,,,,
2021-03-01,317.7459716796875,326.8500061035156,361.2999877929688,305.3999938964844,342.0,302521315.0,,,,,,,,,,,,
2021-04-01,354.25006103515625,364.3999938964844,377.2999877929688,328.45001220703125,329.75,372359454.0,,,,,,,,,,,,
2021-05-01,383.2686462402344,394.25,427.5,357.6499938964844,364.3999938964844,489448369.0,,,,,,,,,,,,
