Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'APLAPOLLO.NS')","('High', 'APLAPOLLO.NS')","('Low', 'APLAPOLLO.NS')","('Open', 'APLAPOLLO.NS')","('Volume', 'APLAPOLLO.NS')","('Date', '')","('Close', 'APLAPOLLO.NS')","('High', 'APLAPOLLO.NS')","('Low', 'APLAPOLLO.NS')","('Open', 'APLAPOLLO.NS')","('Volume', 'APLAPOLLO.NS')"
2020-01-01,194.72232055664065,196.7250061035156,221.8999938964844,175.02000427246094,189.2100067138672,10419540.0,,,,,,,,,,,,
2020-02-01,192.3715057373047,194.3500061035156,216.55499267578125,189.82000732421875,199.009994506836,7880630.0,,,,,,,,,,,,
2020-03-01,123.39588928222656,124.66500091552734,200.59500122070312,103.0,196.5,13540090.0,,,,,,,,,,,,
2020-04-01,141.42051696777344,142.875,151.0,115.00499725341795,125.5,7906200.0,,,,,,,,,,,,
2020-05-01,150.23484802246094,151.77999877929688,154.98500061035156,115.55500030517578,142.875,9276550.0,,,,,,,,,,,,
2020-06-01,153.70912170410156,155.2899932861328,172.0,152.10000610351562,153.48500061035156,15094490.0,,,,,,,,,,,,
2020-07-01,182.2258453369141,184.1000061035156,192.5,155.5050048828125,156.68499755859375,17187450.0,,,,,,,,,,,,
2020-08-01,237.86361694335932,240.3099975585937,250.0,181.8350067138672,183.5800018310547,16237490.0,,,,,,,,,,,,
2020-09-01,288.7205505371094,291.69000244140625,293.7950134277344,232.60499572753903,233.6000061035156,30552290.0,,,,,,,,,,,,
2020-10-01,311.22906494140625,314.42999267578125,321.4949951171875,266.5,294.5,14994460.0,,,,,,,,,,,,
2020-11-01,334.45025634765625,337.8900146484375,348.9599914550781,305.95001220703125,311.20001220703125,10685960.0,,,,,,,,,,,,
2020-12-01,437.0054931640625,441.5,447.0,325.125,346.8999938964844,19796130.0,,,,,,,,,,,,
2021-01-01,448.7101135253906,453.3250122070313,493.9500122070313,420.75,442.3999938964844,18014536.0,,,,,,,,,,,,
2021-02-01,530.889892578125,536.3499755859375,544.0,445.0499877929688,455.0,15612932.0,,,,,,,,,,,,
2021-03-01,693.2946166992188,700.4249877929688,724.0,525.0499877929688,562.5,20112020.0,,,,,,,,,,,,
2021-04-01,644.4964599609375,651.125,720.0,585.0,711.5,9099808.0,,,,,,,,,,,,
2021-05-01,643.9520263671875,650.5750122070312,692.5,588.8499755859375,652.5,8826388.0,,,,,,,,,,,,
2021-06-01,806.3567504882812,814.6500244140625,822.3499755859375,630.0,658.5,19301388.0,,,,,,,,,,,,
