Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'FEDERALBNK.NS')","('High', 'FEDERALBNK.NS')","('Low', 'FEDERALBNK.NS')","('Open', 'FEDERALBNK.NS')","('Volume', 'FEDERALBNK.NS')","('Date', '')","('Close', 'FEDERALBNK.NS')","('High', 'FEDERALBNK.NS')","('Low', 'FEDERALBNK.NS')","('Open', 'FEDERALBNK.NS')","('Volume', 'FEDERALBNK.NS')"
2020-01-01,87.84727478027344,91.3499984741211,96.9499969482422,85.5999984741211,88.25,264236433.0,,,,,,,,,,,,
2020-02-01,82.60624694824219,85.9000015258789,93.6999969482422,81.0,91.1999969482422,178513363.0,,,,,,,,,,,,
2020-03-01,39.47597885131836,41.04999923706055,88.19999694824219,35.70000076293945,87.94999694824219,425563246.0,,,,,,,,,,,,
2020-04-01,46.92881393432617,48.79999923706055,50.75,39.34999847412109,41.04999923706055,463748585.0,,,,,,,,,,,,
2020-05-01,43.17835998535156,44.900001525878906,48.79999923706055,36.79999923706055,48.79999923706055,648643590.0,,,,,,,,,,,,
2020-06-01,49.0444564819336,51.0,58.09999847412109,44.04999923706055,45.84999847412109,941189932.0,,,,,,,,,,,,
2020-07-01,51.83325958251953,53.900001525878906,58.59999847412109,49.20000076293945,51.04999923706055,781546710.0,,,,,,,,,,,,
2020-08-01,53.1795768737793,55.29999923706055,62.75,51.650001525878906,53.59999847412109,856890841.0,,,,,,,,,,,,
2020-09-01,46.73648071289063,48.59999847412109,56.79999923706055,45.34999847412109,55.29999923706055,719777393.0,,,,,,,,,,,,
2020-10-01,48.51554870605469,50.45000076293945,58.79999923706055,49.04999923706055,49.29999923706055,777894769.0,,,,,,,,,,,,
2020-11-01,60.39199447631836,62.79999923706055,63.5,50.04999923706055,51.04999923706055,870709100.0,,,,,,,,,,,,
2020-12-01,64.14244842529297,66.69999694824219,69.0999984741211,57.650001525878906,63.20000076293945,778069007.0,,,,,,,,,,,,
2021-01-01,69.5277328491211,72.30000305175781,78.8499984741211,66.80000305175781,67.0,751131109.0,,,,,,,,,,,,
2021-02-01,80.34635925292969,83.55000305175781,88.19999694824219,71.75,73.3499984741211,538923875.0,,,,,,,,,,,,
2021-03-01,72.89352416992188,75.80000305175781,92.5,72.5999984741211,84.6500015258789,477231253.0,,,,,,,,,,,,
2021-04-01,77.02864837646484,80.0999984741211,82.9000015258789,70.19999694824219,76.44999694824219,484213469.0,,,,,,,,,,,,
2021-05-01,83.90448760986328,87.25,89.4000015258789,77.19999694824219,79.5,619385866.0,,,,,,,,,,,,
2021-06-01,83.76024627685547,87.0999984741211,89.25,81.25,87.30000305175781,361812856.0,,,,,,,,,,,,
2021-07-01,84.09681701660156,87.44999694824219,90.9000015258789,82.94999694824219,86.80000305175781,404592924.0,,,,,,,,,,,,
2021-08-01,78.76758575439453,81.25,90.0,77.5,87.9000015258789,289948015.0,,,,,,,,,,,,
2021-09-01,81.72440338134766,84.30000305175781,86.69999694824219,78.1500015258789,81.5,262874747.0,,,,,,,,,,,,
2021-10-01,94.47262573242188,97.4499969482422,107.6500015258789,82.69999694824219,83.94999694824219,626246323.0,,,,,,,,,,,,
2021-11-01,84.14802551269531,86.80000305175781,103.3499984741211,84.69999694824219,98.0,329844532.0,,,,,,,,,,,,
2021-12-01,80.46411895751953,83.0,93.4000015258789,78.5999984741211,87.5,283110301.0,,,,,,,,,,,,
2022-01-01,97.52638244628906,100.5999984741211,102.75,82.94999694824219,83.19999694824219,396050735.0,,,,,,,,,,,,
