Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'HINDCOPPER.NS')","('High', 'HINDCOPPER.NS')","('Low', 'HINDCOPPER.NS')","('Open', 'HINDCOPPER.NS')","('Volume', 'HINDCOPPER.NS')","('Date', '')","('Close', 'HINDCOPPER.NS')","('High', 'HINDCOPPER.NS')","('Low', 'HINDCOPPER.NS')","('Open', 'HINDCOPPER.NS')","('Volume', 'HINDCOPPER.NS')"
2020-01-01,41.53418350219727,42.45000076293945,51.0,39.25,39.400001525878906,56850687.0,,,,,,,,,,,,
2020-02-01,30.67365264892578,31.350000381469727,44.29999923706055,31.100000381469727,42.25,15050196.0,,,,,,,,,,,,
2020-03-01,20.840471267700195,21.299999237060547,32.45000076293945,18.25,31.950000762939453,16862838.0,,,,,,,,,,,,
2020-04-01,25.487993240356445,26.049999237060547,28.299999237060547,20.700000762939453,21.89999961853028,12039612.0,,,,,,,,,,,,
2020-05-01,25.39015388488769,25.950000762939453,27.350000381469727,23.14999961853028,26.049999237060547,11133159.0,,,,,,,,,,,,
2020-06-01,31.016101837158203,31.700000762939453,34.650001525878906,26.299999237060547,26.299999237060547,28814852.0,,,,,,,,,,,,
2020-07-01,34.68519973754883,35.45000076293945,42.79999923706055,31.25,32.099998474121094,65362691.0,,,,,,,,,,,,
2020-08-01,35.56577682495117,36.34999847412109,41.650001525878906,35.0,35.0,33659845.0,,,,,,,,,,,,
2020-09-01,32.483741760253906,33.20000076293945,38.45000076293945,32.54999923706055,36.20000076293945,14588558.0,,,,,,,,,,,,
2020-10-01,32.2391357421875,32.95000076293945,37.29999923706055,31.299999237060547,33.400001525878906,16009469.0,,,,,,,,,,,,
2020-11-01,40.55575180053711,41.45000076293945,42.0,32.150001525878906,33.0,30254578.0,,,,,,,,,,,,
2020-12-01,59.83074569702149,61.150001525878906,67.44999694824219,40.650001525878906,41.75,141015678.0,,,,,,,,,,,,
2021-01-01,58.85232162475586,60.150001525878906,69.6500015258789,53.59999847412109,61.59999847412109,78634676.0,,,,,,,,,,,,
2021-02-01,146.6171417236328,149.85000610351562,154.5500030517578,58.0,60.650001525878906,202456711.0,,,,,,,,,,,,
2021-03-01,117.01973724365234,119.5999984741211,165.14999389648438,114.0,157.0,109771423.0,,,,,,,,,,,,
2021-04-01,151.46034240722656,154.8000030517578,165.0,120.1500015258789,120.5,138360292.0,,,,,,,,,,,,
2021-05-01,166.72377014160156,170.39999389648438,196.75,150.60000610351562,155.0,177354527.0,,,,,,,,,,,,
2021-06-01,140.99118041992188,144.10000610351562,172.6999969482422,135.9499969482422,171.5,134008028.0,,,,,,,,,,,,
2021-07-01,150.38404846191406,153.6999969482422,158.6999969482422,136.25,145.0,90299806.0,,,,,,,,,,,,
