Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'TCS.NS')","('High', 'TCS.NS')","('Low', 'TCS.NS')","('Open', 'TCS.NS')","('Volume', 'TCS.NS')","('Date', '')","('Close', 'TCS.NS')","('High', 'TCS.NS')","('Low', 'TCS.NS')","('Open', 'TCS.NS')","('Volume', 'TCS.NS')"
2020-01-01,1923.986083984375,2079.050048828125,2260.0,2071.60009765625,2168.0,63370917.0,,,,,,,,,,,,
2020-02-01,1855.173583984375,2000.1500244140625,2230.0,1990.0,2079.5,50645330.0,,,,,,,,,,,,
2020-03-01,1693.7391357421875,1826.0999755859373,2147.75,1506.050048828125,2035.0,115636914.0,,,,,,,,,,,,
2020-04-01,1882.0888671875,2014.449951171875,2032.0,1650.0,1825.9000244140625,88919456.0,,,,,,,,,,,,
2020-05-01,1842.7552490234373,1972.3499755859373,2032.0,1865.199951171875,2014.449951171875,65345631.0,,,,,,,,,,,,
2020-06-01,1945.34033203125,2082.14990234375,2132.0,1981.0999755859373,1990.0,73992134.0,,,,,,,,,,,,
2020-07-01,2137.763916015625,2281.39990234375,2358.0,2079.5,2079.699951171875,106379633.0,,,,,,,,,,,,
2020-08-01,2119.879150390625,2257.25,2328.0,2216.449951171875,2290.449951171875,65560742.0,,,,,,,,,,,,
2020-09-01,2340.624755859375,2492.300048828125,2555.0,2241.300048828125,2269.0,116405821.0,,,,,,,,,,,,
2020-10-01,2502.673828125,2664.85009765625,2885.0,2492.300048828125,2510.0,128617294.0,,,,,,,,,,,,
2020-11-01,2527.302490234375,2679.64990234375,2744.0,2600.050048828125,2660.0,65135883.0,,,,,,,,,,,,
2020-12-01,2699.992919921875,2862.75,2952.0,2624.449951171875,2679.0,62832148.0,,,,,,,,,,,,
2021-01-01,2934.459228515625,3111.35009765625,3339.800048828125,2879.0,2880.0,84685394.0,,,,,,,,,,,,
2021-02-01,2734.943115234375,2894.300048828125,3245.800048828125,2880.0,3100.0,65464843.0,,,,,,,,,,,,
2021-03-01,3002.882080078125,3177.85009765625,3205.0,2901.800048828125,2926.0,71839377.0,,,,,,,,,,,,
2021-04-01,2868.510986328125,3035.64990234375,3354.35009765625,3020.0,3191.10009765625,61328558.0,,,,,,,,,,,,
2021-05-01,2985.211181640625,3159.14990234375,3217.75,3004.0,3024.89990234375,43538924.0,,,,,,,,,,,,
2021-06-01,3177.002197265625,3345.75,3399.64990234375,3115.0,3168.60009765625,45079239.0,,,,,,,,,,,,
2021-07-01,3007.695068359375,3167.449951171875,3374.0,3132.39990234375,3358.0,44349890.0,,,,,,,,,,,,
2021-08-01,3603.3212890625,3786.449951171875,3804.10009765625,3167.0,3180.0,56678047.0,,,,,,,,,,,,
2021-09-01,3592.948974609375,3775.550048828125,3981.75,3707.0,3796.0,50565601.0,,,,,,,,,,,,
2021-10-01,3233.420654296875,3397.75,3989.89990234375,3385.949951171875,3781.75,71251894.0,,,,,,,,,,,,
2021-11-01,3364.90966796875,3529.14990234375,3575.550048828125,3406.449951171875,3437.949951171875,43267875.0,,,,,,,,,,,,
2021-12-01,3564.374267578125,3738.35009765625,3760.0,3510.14990234375,3535.0,44724473.0,,,,,,,,,,,,
2022-01-01,3562.3720703125,3736.25,4043.0,3625.10009765625,3750.0,66332036.0,,,,,,,,,,,,
2022-02-01,3394.748779296875,3554.199951171875,3882.5,3391.10009765625,3770.0,66967591.0,,,,,,,,,,,,
2022-03-01,3572.16552734375,3739.949951171875,3779.5,3431.550048828125,3554.199951171875,50559459.0,,,,,,,,,,,,
2022-04-01,3387.585205078125,3546.699951171875,3835.60009765625,3439.14990234375,3748.0,43295317.0,,,,,,,,,,,,
2022-05-01,3213.416259765625,3364.35009765625,3547.949951171875,3154.050048828125,3519.89990234375,51124294.0,,,,,,,,,,,,
2022-06-01,3141.549072265625,3267.10009765625,3477.300048828125,3023.85009765625,3388.0,50689330.0,,,,,,,,,,,,
2022-07-01,3175.01171875,3301.89990234375,3333.0,2953.0,3260.0,59847596.0,,,,,,,,,,,,
2022-08-01,3095.8994140625,3211.14990234375,3428.699951171875,3081.0,3327.0,34342786.0,,,,,,,,,,,,
2022-09-01,2896.715087890625,3004.550048828125,3269.800048828125,2926.10009765625,3190.0,53936799.0,,,,,,,,,,,,
2022-10-01,3078.545654296875,3193.14990234375,3199.0,2974.0,2995.0,36559310.0,,,,,,,,,,,,
2022-11-01,3277.56298828125,3390.800048828125,3429.0,3166.14990234375,3214.5,35504157.0,,,,,,,,,,,,
2022-12-01,3147.940673828125,3256.699951171875,3480.0,3163.64990234375,3425.0,32369777.0,,,,,,,,,,,,
2023-01-01,3246.5341796875,3358.699951171875,3458.449951171875,3200.0,3261.0,39921886.0,,,,,,,,,,,,
2023-02-01,3209.825439453125,3312.85009765625,3575.0,3299.89990234375,3363.0,31342992.0,,,,,,,,,,,,
2023-03-01,3106.200927734375,3205.89990234375,3404.949951171875,3095.050048828125,3323.0,39995219.0,,,,,,,,,,,,
2023-04-01,3119.135986328125,3219.25,3272.949951171875,3070.25,3224.949951171875,43824242.0,,,,,,,,,,,,
2023-05-01,3187.201416015625,3289.5,3372.0,3173.14990234375,3219.25,36616015.0,,,,,,,,,,,,
2023-06-01,3199.55517578125,3302.25,3340.0,3156.0,3314.0,38361975.0,,,,,,,,,,,,
2023-07-01,3339.701904296875,3421.449951171875,3549.89990234375,3250.10009765625,3314.300048828125,47658115.0,,,,,,,,,,,,
2023-08-01,3285.1171875,3356.800048828125,3489.949951171875,3343.64990234375,3415.0,35920566.0,,,,,,,,,,,,
2023-09-01,3453.248779296875,3528.60009765625,3633.75,3356.800048828125,3366.0,38442941.0,,,,,,,,,,,,
2023-10-01,3296.811767578125,3368.75,3679.0,3330.0,3528.60009765625,39818106.0,,,,,,,,,,,,
