Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'SOBHA.NS')","('High', 'SOBHA.NS')","('Low', 'SOBHA.NS')","('Open', 'SOBHA.NS')","('Volume', 'SOBHA.NS')","('Date', '')","('Close', 'SOBHA.NS')","('High', 'SOBHA.NS')","('Low', 'SOBHA.NS')","('Open', 'SOBHA.NS')","('Volume', 'SOBHA.NS')"
2020-01-01,426.6476745605469,449.4500122070313,455.7000122070313,393.6000061035156,402.7999877929688,6404978.0,,,,,,,,,,,,
2020-02-01,281.9320373535156,297.0,464.0,295.0,450.1000061035156,5320091.0,,,,,,,,,,,,
2020-03-01,127.0592803955078,133.85000610351562,330.0,120.6500015258789,301.5,7826838.0,,,,,,,,,,,,
2020-04-01,190.4228057861328,200.6000061035156,246.5500030517578,130.25,134.0,8083172.0,,,,,,,,,,,,
2020-05-01,184.3949279785156,194.25,220.0,172.0500030517578,200.6000061035156,6778991.0,,,,,,,,,,,,
2020-06-01,215.3884735107422,226.8999938964844,248.0,197.5,197.75,6969306.0,,,,,,,,,,,,
2020-07-01,207.936752319336,219.0500030517578,245.0,217.1000061035156,230.8000030517578,5687728.0,,,,,,,,,,,,
2020-08-01,256.02313232421875,261.8500061035156,276.0,210.0,218.0,12235111.0,,,,,,,,,,,,
2020-09-01,217.5487518310547,222.5,272.0,221.0,261.8500061035156,6662637.0,,,,,,,,,,,,
2020-10-01,284.8666687011719,291.3500061035156,317.0,200.25,226.6999969482422,12788610.0,,,,,,,,,,,,
2020-11-01,304.0304870605469,310.95001220703125,324.0,284.0,294.0,8510876.0,,,,,,,,,,,,
2020-12-01,405.4228820800781,414.6499938964844,420.7999877929688,297.04998779296875,311.0,12112820.0,,,,,,,,,,,,
2021-01-01,450.4970703125,460.75,496.0,395.1499938964844,409.8999938964844,9537328.0,,,,,,,,,,,,
2021-02-01,429.5732727050781,439.3500061035156,487.0,432.0499877929688,464.8999938964844,2752066.0,,,,,,,,,,,,
