Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'CROMPTON.NS')","('High', 'CROMPTON.NS')","('Low', 'CROMPTON.NS')","('Open', 'CROMPTON.NS')","('Volume', 'CROMPTON.NS')","('Date', '')","('Close', 'CROMPTON.NS')","('High', 'CROMPTON.NS')","('Low', 'CROMPTON.NS')","('Open', 'CROMPTON.NS')","('Volume', 'CROMPTON.NS')"
2020-01-01,268.8201904296875,284.45001220703125,293.79998779296875,235.8999938964844,239.9499969482422,23831779.0,,,,,,,,,,,,
2020-02-01,263.66961669921875,279.0,301.45001220703125,260.1000061035156,279.70001220703125,22621001.0,,,,,,,,,,,,
2020-03-01,197.32693481445312,208.8000030517578,285.8500061035156,177.3000030517578,281.5,29211191.0,,,,,,,,,,,,
2020-04-01,209.9906311035156,222.1999969482422,239.6499938964844,199.6999969482422,210.1000061035156,16828649.0,,,,,,,,,,,,
2020-05-01,212.02252197265625,224.3500061035156,227.8999938964844,196.5500030517578,222.1999969482422,18020569.0,,,,,,,,,,,,
2020-06-01,225.5367584228516,238.6499938964844,247.75,217.1999969482422,228.0,19656151.0,,,,,,,,,,,,
2020-07-01,230.68728637695312,244.1000061035156,254.9499969482422,234.3000030517578,237.6000061035156,19391098.0,,,,,,,,,,,,
2020-08-01,256.8652038574219,271.79998779296875,278.0,238.0,244.1000061035156,15551341.0,,,,,,,,,,,,
2020-09-01,276.2860717773437,292.3500061035156,295.0,249.0,271.0,21279382.0,,,,,,,,,,,,
2020-10-01,282.85418701171875,299.29998779296875,329.0,267.3999938964844,295.0,28843314.0,,,,,,,,,,,,
2020-11-01,288.52447509765625,305.29998779296875,316.6000061035156,285.70001220703125,300.8999938964844,86341963.0,,,,,,,,,,,,
2020-12-01,363.38330078125,380.5499877929688,393.6499938964844,302.25,306.25,37616816.0,,,,,,,,,,,,
2021-01-01,408.4541015625,427.75,456.0,367.0499877929688,382.0,33067449.0,,,,,,,,,,,,
2021-02-01,367.7758483886719,385.1499938964844,426.0,371.25,426.0,45633881.0,,,,,,,,,,,,
2021-03-01,374.7942504882813,392.5,421.25,358.04998779296875,388.0,36245432.0,,,,,,,,,,,,
2021-04-01,367.537109375,384.8999938964844,408.3999938964844,350.3500061035156,391.0,31693813.0,,,,,,,,,,,,
2021-05-01,380.2848815917969,398.25,407.0,361.3500061035156,384.0,27564462.0,,,,,,,,,,,,
2021-06-01,414.9951477050781,434.6000061035156,443.5,397.0,400.5,31050603.0,,,,,,,,,,,,
2021-07-01,465.1268615722656,487.1000061035156,496.7000122070313,426.6000061035156,435.0,41848033.0,,,,,,,,,,,,
2021-08-01,457.20806884765625,473.4500122070313,498.8500061035156,432.7000122070313,487.0,22124201.0,,,,,,,,,,,,
2021-09-01,462.4710998535156,478.8999938964844,512.7999877929688,461.0,481.0,28580871.0,,,,,,,,,,,,
2021-10-01,449.62738037109375,465.6000061035156,503.0,435.1000061035156,477.3999938964844,35059500.0,,,,,,,,,,,,
2021-11-01,432.8725891113281,448.25,493.2000122070313,417.2000122070313,470.6000061035156,29720676.0,,,,,,,,,,,,
2021-12-01,422.4430847167969,437.4500122070313,455.25,402.5,453.6000061035156,32754142.0,,,,,,,,,,,,
2022-01-01,409.8890075683594,424.4500122070313,451.9500122070313,397.1499938964844,436.0499877929688,26961183.0,,,,,,,,,,,,
2022-02-01,413.8001098632813,428.5,430.75,354.3999938964844,427.2000122070313,55535230.0,,,,,,,,,,,,
2022-03-01,361.1697387695313,374.0,431.4500122070313,363.1000061035156,428.5,39704795.0,,,,,,,,,,,,
2022-04-01,371.5992126464844,384.7999877929688,388.4500122070313,365.6000061035156,375.8999938964844,32961528.0,,,,,,,,,,,,
2022-05-01,349.05029296875,361.4500122070313,385.2000122070313,323.5,382.3999938964844,30477510.0,,,,,,,,,,,,
