Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'ADANIENT.NS')","('High', 'ADANIENT.NS')","('Low', 'ADANIENT.NS')","('Open', 'ADANIENT.NS')","('Volume', 'ADANIENT.NS')","('Date', '')","('Close', 'ADANIENT.NS')","('High', 'ADANIENT.NS')","('Low', 'ADANIENT.NS')","('Open', 'ADANIENT.NS')","('Volume', 'ADANIENT.NS')"
2020-01-01,227.21685791015625,229.4499969482422,238.3500061035156,194.5500030517578,209.0,84990733.0,,,,,,,,,,,,
2020-02-01,216.5219573974609,218.6499938964844,261.0,215.6000061035156,228.0,78330548.0,,,,,,,,,,,,
2020-03-01,136.26080322265625,137.60000610351562,228.6499938964844,116.4000015258789,223.0,91280370.0,,,,,,,,,,,,
2020-04-01,141.04812622070312,141.39999389648438,155.4499969482422,128.0,138.9499969482422,62516129.0,,,,,,,,,,,,
2020-05-01,147.98085021972656,148.35000610351562,153.60000610351562,127.3000030517578,141.39999389648438,68687648.0,,,,,,,,,,,,
2020-06-01,155.86117553710938,156.25,169.1999969482422,141.0,150.0,109059623.0,,,,,,,,,,,,
2020-07-01,174.81390380859375,175.25,190.8500061035156,145.1999969482422,157.14999389648438,87015119.0,,,,,,,,,,,,
2020-08-01,278.8543395996094,279.54998779296875,322.3999938964844,171.1999969482422,175.25,225494825.0,,,,,,,,,,,,
2020-09-01,296.36065673828125,297.1000061035156,307.95001220703125,257.5,279.95001220703125,172657113.0,,,,,,,,,,,,
2020-10-01,338.85467529296875,339.70001220703125,347.5,296.0,299.79998779296875,116033307.0,,,,,,,,,,,,
2020-11-01,397.40863037109375,398.3999938964844,415.5,333.04998779296875,339.1000061035156,108853748.0,,,,,,,,,,,,
2020-12-01,478.3566284179688,479.5499877929688,507.0,395.1000061035156,398.0,132288318.0,,,,,,,,,,,,
2021-01-01,505.3891906738281,506.6499938964844,552.9500122070312,477.0,477.0,90013005.0,,,,,,,,,,,,
2021-02-01,831.5755615234375,833.6500244140625,862.4000244140625,496.8999938964844,510.5,197824433.0,,,,,,,,,,,,
2021-03-01,1028.5841064453125,1031.1500244140625,1093.0,836.4500122070312,840.75,195970812.0,,,,,,,,,,,,
2021-04-01,1155.8165283203125,1158.699951171875,1251.5999755859375,1035.0,1043.4000244140625,201670814.0,,,,,,,,,,,,
2021-05-01,1313.0244140625,1316.300048828125,1351.550048828125,1122.6500244140625,1145.0999755859375,157350068.0,,,,,,,,,,,,
2021-06-01,1503.798583984375,1507.550048828125,1717.199951171875,1201.199951171875,1319.9000244140625,334853920.0,,,,,,,,,,,,
2021-07-01,1416.7156982421875,1420.25,1522.550048828125,1332.75,1509.550048828125,97114255.0,,,,,,,,,,,,
2021-08-01,1584.700439453125,1587.5999755859375,1596.8499755859375,1361.550048828125,1435.0,92445588.0,,,,,,,,,,,,
2021-09-01,1465.4188232421875,1468.0999755859375,1628.449951171875,1381.3499755859375,1594.9000244140625,73266296.0,,,,,,,,,,,,
2021-10-01,1421.0001220703125,1423.5999755859375,1672.949951171875,1367.699951171875,1465.0,57811330.0,,,,,,,,,,,,
2021-11-01,1659.8131103515625,1662.8499755859375,1788.9000244140625,1411.199951171875,1436.0,56435685.0,,,,,,,,,,,,
2021-12-01,1706.3277587890625,1709.449951171875,1788.0,1555.199951171875,1694.0,33501701.0,,,,,,,,,,,,
2022-01-01,1711.81787109375,1714.949951171875,1908.5,1654.5,1713.0,39454077.0,,,,,,,,,,,,
2022-02-01,1641.446533203125,1644.449951171875,1809.0,1528.800048828125,1727.949951171875,30103337.0,,,,,,,,,,,,
