Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'HINDUNILVR.NS')","('High', 'HINDUNILVR.NS')","('Low', 'HINDUNILVR.NS')","('Open', 'HINDUNILVR.NS')","('Volume', 'HINDUNILVR.NS')","('Date', '')","('Close', 'HINDUNILVR.NS')","('High', 'HINDUNILVR.NS')","('Low', 'HINDUNILVR.NS')","('Open', 'HINDUNILVR.NS')","('Volume', 'HINDUNILVR.NS')"
2020-01-01,1886.4215087890625,2034.25,2085.800048828125,1906.449951171875,1930.0,26557525.0,,,,,,,,,,,,
2020-02-01,2016.7117919921875,2174.75,2308.199951171875,2030.050048828125,2049.35009765625,42232601.0,,,,,,,,,,,,
2020-03-01,2131.468505859375,2298.5,2313.0,1757.300048828125,2190.0,67398186.0,,,,,,,,,,,,
2020-04-01,2035.489990234375,2195.0,2614.300048828125,2127.949951171875,2293.199951171875,104215304.0,,,,,,,,,,,,
2020-05-01,1907.843017578125,2057.35009765625,2195.0,1902.0,2195.0,318486932.0,,,,,,,,,,,,
2020-06-01,2021.580078125,2180.0,2199.949951171875,2054.050048828125,2075.0,77558947.0,,,,,,,,,,,,
2020-07-01,2063.293212890625,2209.89990234375,2350.0,2125.0,2183.0,65932610.0,,,,,,,,,,,,
2020-08-01,1985.3360595703125,2117.35009765625,2234.800048828125,2100.64990234375,2209.800048828125,36951713.0,,,,,,,,,,,,
2020-09-01,1939.2972412109373,2068.25,2185.0,2000.050048828125,2149.949951171875,49268457.0,,,,,,,,,,,,
2020-10-01,1942.1571044921875,2071.300048828125,2208.5,2068.0,2090.0,47771434.0,,,,,,,,,,,,
2020-11-01,2017.8643798828125,2138.199951171875,2220.35009765625,2043.0,2072.0,48818897.0,,,,,,,,,,,,
2020-12-01,2260.589111328125,2395.39990234375,2417.39990234375,2120.10009765625,2159.0,50142038.0,,,,,,,,,,,,
2021-01-01,2136.48974609375,2263.89990234375,2456.949951171875,2251.0,2395.39990234375,43938431.0,,,,,,,,,,,,
2021-02-01,2012.0606689453125,2132.050048828125,2288.699951171875,2120.0,2276.64990234375,52286338.0,,,,,,,,,,,,
2021-03-01,2294.657958984375,2431.5,2438.60009765625,2128.0,2135.199951171875,50279833.0,,,,,,,,,,,,
2021-04-01,2221.283203125,2353.75,2505.89990234375,2300.0,2446.800048828125,42281914.0,,,,,,,,,,,,
2021-05-01,2208.354248046875,2340.050048828125,2446.949951171875,2319.35009765625,2343.0,26569848.0,,,,,,,,,,,,
2021-06-01,2332.2177734375,2471.300048828125,2533.949951171875,2330.60009765625,2347.0,32268417.0,,,,,,,,,,,,
2021-07-01,2217.9169921875,2333.300048828125,2513.39990234375,2318.0,2484.0,22440490.0,,,,,,,,,,,,
2021-08-01,2589.39208984375,2724.10009765625,2737.449951171875,2324.60009765625,2342.0,35233493.0,,,,,,,,,,,,
2021-09-01,2568.194580078125,2701.800048828125,2859.300048828125,2677.0,2745.0,33475102.0,,,,,,,,,,,,
2021-10-01,2274.807373046875,2393.14990234375,2734.0,2368.0,2706.0,40011262.0,,,,,,,,,,,,
2021-11-01,2216.484130859375,2317.550048828125,2449.0,2284.699951171875,2393.0,32587886.0,,,,,,,,,,,,
2021-12-01,2257.225830078125,2360.14990234375,2389.89990234375,2201.14990234375,2340.0,28839519.0,,,,,,,,,,,,
