Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'HAVELLS.NS')","('High', 'HAVELLS.NS')","('Low', 'HAVELLS.NS')","('Open', 'HAVELLS.NS')","('Volume', 'HAVELLS.NS')","('Date', '')","('Close', 'HAVELLS.NS')","('High', 'HAVELLS.NS')","('Low', 'HAVELLS.NS')","('Open', 'HAVELLS.NS')","('Volume', 'HAVELLS.NS')"
2020-01-01,583.0497436523438,602.7999877929688,665.6500244140625,588.2999877929688,649.75,49452434.0,,,,,,,,,,,,
2020-02-01,592.9639892578125,613.0499877929688,652.7000122070312,585.5,603.0,36108631.0,,,,,,,,,,,,
2020-03-01,464.7084655761719,480.4500122070313,647.7999877929688,458.0499877929688,620.0499877929688,41167853.0,,,,,,,,,,,,
2020-04-01,548.6923217773438,563.5,579.8499755859375,466.5,480.0,37090425.0,,,,,,,,,,,,
2020-05-01,483.2095031738281,496.25,563.5,447.0499877929688,563.5,60677183.0,,,,,,,,,,,,
2020-06-01,564.2719116210938,579.5,593.4000244140625,502.0499877929688,505.0,62631265.0,,,,,,,,,,,,
2020-07-01,567.8259887695312,583.1500244140625,612.6500244140625,562.2000122070312,582.4500122070312,51395095.0,,,,,,,,,,,,
2020-08-01,599.3745727539062,615.5499877929688,667.9000244140625,576.7000122070312,584.0,37805611.0,,,,,,,,,,,,
2020-09-01,660.0374145507812,677.8499755859375,693.0,608.4500122070312,627.4000244140625,35972270.0,,,,,,,,,,,,
2020-10-01,708.7723388671875,727.9000244140625,741.0,663.8499755859375,681.2000122070312,37104984.0,,,,,,,,,,,,
2020-11-01,780.3408203125,801.4000244140625,855.0,730.0,730.0,64623451.0,,,,,,,,,,,,
2020-12-01,892.075439453125,916.1500244140624,928.5,798.0999755859375,798.0999755859375,56715994.0,,,,,,,,,,,,
2021-01-01,1017.2960815429688,1044.75,1194.8499755859375,904.75,919.7999877929688,93135948.0,,,,,,,,,,,,
2021-02-01,1079.4000244140625,1105.550048828125,1231.9000244140625,1033.050048828125,1050.0,49093553.0,,,,,,,,,,,,
2021-03-01,1025.5543212890625,1050.4000244140625,1185.800048828125,986.5,1124.0,43004579.0,,,,,,,,,,,,
2021-04-01,966.8271484375,990.25,1099.949951171875,971.0999755859376,1062.75,23873070.0,,,,,,,,,,,,
2021-05-01,1006.4180297851562,1030.800048828125,1088.0,970.0,984.9000244140624,33979222.0,,,,,,,,,,,,
2021-06-01,957.0149536132812,980.2000122070312,1084.800048828125,958.0,1032.0,28624539.0,,,,,,,,,,,,
2021-07-01,1149.885986328125,1173.6500244140625,1195.0,980.2000122070312,984.7999877929688,47307249.0,,,,,,,,,,,,
2021-08-01,1242.766357421875,1268.449951171875,1289.5,1175.6500244140625,1180.0,45701725.0,,,,,,,,,,,,
