Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'UPL.NS')","('High', 'UPL.NS')","('Low', 'UPL.NS')","('Open', 'UPL.NS')","('Volume', 'UPL.NS')","('Date', '')","('Close', 'UPL.NS')","('High', 'UPL.NS')","('Low', 'UPL.NS')","('Open', 'UPL.NS')","('Volume', 'UPL.NS')"
2020-01-01,498.3976745605469,526.5499877929688,614.9000244140625,525.0,585.0,73171880.0,,,,,,,,,,,,
2020-02-01,491.9139404296875,519.7000122070312,601.4000244140625,498.7000122070313,528.0,74168547.0,,,,,,,,,,,,
2020-03-01,309.04345703125,326.5,541.5999755859375,240.1499938964844,527.0,105185465.0,,,,,,,,,,,,
2020-04-01,397.59173583984375,420.0499877929688,429.3500061035156,295.0,328.5,114954501.0,,,,,,,,,,,,
2020-05-01,384.1509704589844,405.8500061035156,420.0499877929688,336.0,420.0499877929688,190280877.0,,,,,,,,,,,,
2020-06-01,402.4664306640625,425.2000122070313,470.0,398.0499877929688,411.0,124864335.0,,,,,,,,,,,,
2020-07-01,452.5854187011719,478.1499938964844,486.0,423.5499877929688,430.8999938964844,127743903.0,,,,,,,,,,,,
2020-08-01,478.8990478515625,505.9500122070313,534.9000244140625,445.2000122070313,484.0,119251116.0,,,,,,,,,,,,
2020-09-01,481.7919006347656,502.8999938964844,546.5,467.0499877929688,505.0,103503344.0,,,,,,,,,,,,
2020-10-01,434.2258605957031,453.25,524.9000244140625,429.3500061035156,508.0,120460876.0,,,,,,,,,,,,
2020-11-01,400.16796875,417.7000122070313,465.0,399.0,465.0,149143581.0,,,,,,,,,,,,
2020-12-01,446.7760009765625,466.3500061035156,495.0,416.1000061035156,420.0,333877661.0,,,,,,,,,,,,
2021-01-01,537.1179809570312,560.6500244140625,601.1500244140625,466.3500061035156,469.8999938964844,224976861.0,,,,,,,,,,,,
2021-02-01,537.9801635742188,561.5499877929688,597.0,510.0,548.9000244140625,180571724.0,,,,,,,,,,,,
2021-03-01,614.9097290039062,641.8499755859375,654.0,570.0,570.0,183661376.0,,,,,,,,,,,,
2021-04-01,581.4267578125,606.9000244140625,673.9500122070312,581.2999877929688,640.9500122070312,99611516.0,,,,,,,,,,,,
2021-05-01,780.8880004882812,815.0999755859375,825.5,596.1500244140625,605.5,248579159.0,,,,,,,,,,,,
2021-06-01,759.5718383789062,792.8499755859375,864.7000122070312,768.2999877929688,818.0,103082234.0,,,,,,,,,,,,
2021-07-01,774.6129150390625,808.5499877929688,852.4000244140625,786.1500244140625,796.0,66122821.0,,,,,,,,,,,,
2021-08-01,718.4210815429688,741.25,810.6500244140625,714.5,808.5499877929688,56256921.0,,,,,,,,,,,,
2021-09-01,685.9043579101562,707.7000122070312,772.5,700.0,745.1500244140625,48032373.0,,,,,,,,,,,,
2021-10-01,717.4035034179688,740.2000122070312,762.0,686.25,707.0,58089137.0,,,,,,,,,,,,
2021-11-01,660.7051391601562,681.7000122070312,794.0,678.5499877929688,745.0,59270236.0,,,,,,,,,,,,
2021-12-01,724.0908813476562,747.0999755859375,767.7000122070312,681.5499877929688,687.5,46924010.0,,,,,,,,,,,,
2022-01-01,752.58544921875,776.5,844.9000244140625,746.0999755859375,753.0,58035685.0,,,,,,,,,,,,
2022-02-01,644.9556274414062,665.4500122070312,799.5999755859375,622.0,785.0,45297974.0,,,,,,,,,,,,
2022-03-01,745.8980102539062,769.5999755859375,814.5,659.5,665.4500122070312,83280547.0,,,,,,,,,,,,
2022-04-01,797.5565185546875,822.9000244140625,836.4500122070312,770.5,770.5,52936002.0,,,,,,,,,,,,
2022-05-01,755.5900268554688,779.5999755859375,848.0,733.0499877929688,815.5499877929688,60461898.0,,,,,,,,,,,,
2022-06-01,612.9234619140625,632.4000244140625,787.4500122070312,607.5,772.5999755859375,46105620.0,,,,,,,,,,,,
2022-07-01,718.2756958007812,741.0999755859375,745.0,621.9500122070312,630.0,45912295.0,,,,,,,,,,,,
2022-08-01,755.966552734375,769.25,804.25,721.4000244140625,753.0,53484412.0,,,,,,,,,,,,
2022-09-01,660.4450073242188,672.0499877929688,768.0,654.0,764.0499877929688,48545676.0,,,,,,,,,,,,
2022-10-01,717.5908813476562,730.2000122070312,732.0,660.2000122070312,671.2000122070312,40378515.0,,,,,,,,,,,,
2022-11-01,776.0634155273438,789.7000122070312,793.5499877929688,711.0999755859375,737.7999877929688,48451190.0,,,,,,,,,,,,
2022-12-01,703.783447265625,716.1500244140625,807.0,707.5,780.0,39281588.0,,,,,,,,,,,,
2023-01-01,744.1245727539062,757.2000122070312,766.7000122070312,710.5,718.5999755859375,36974673.0,,,,,,,,,,,,
2023-02-01,682.2125244140625,694.2000122070312,780.0,684.25,765.0999755859375,50650091.0,,,,,,,,,,,,
2023-03-01,705.2576293945312,717.6500244140625,723.2000122070312,687.5999755859375,699.2000122070312,28457139.0,,,,,,,,,,,,
2023-04-01,727.5164184570312,740.2999877929688,747.7000122070312,705.2999877929688,718.5,27790808.0,,,,,,,,,,,,
2023-05-01,673.2695922851562,685.0999755859375,759.9500122070312,657.0499877929688,740.2999877929688,61634284.0,,,,,,,,,,,,
2023-06-01,675.6773071289062,687.5499877929688,698.9000244140625,665.5,685.0,41281726.0,,,,,,,,,,,,
2023-07-01,613.9126586914062,624.7000122070312,688.9500122070312,621.0,688.4000244140625,53725573.0,,,,,,,,,,,,
2023-08-01,580.9420166015625,591.1500244140625,629.5499877929688,576.9500122070312,621.0,65149888.0,,,,,,,,,,,,
2023-09-01,615.1388549804688,616.25,639.0499877929688,591.0,593.0,60488984.0,,,,,,,,,,,,
2023-10-01,539.5254516601562,540.5,634.9000244140625,528.1500244140625,616.25,49044444.0,,,,,,,,,,,,
2023-11-01,569.62109375,570.6500244140625,572.9000244140625,529.5499877929688,531.5999755859375,35628545.0,,,,,,,,,,,,
2023-12-01,586.1911010742188,587.25,614.75,565.7000122070312,570.6500244140625,55270777.0,,,,,,,,,,,,
2024-01-01,536.73046875,537.7000122070312,603.7999877929688,533.5499877929688,588.0,56481601.0,,,,,,,,,,,,
2024-02-01,468.8530883789063,469.7000122070313,540.6500244140625,452.1499938964844,536.2999877929688,98791640.0,,,,,,,,,,,,
2024-03-01,455.17779541015625,456.0,491.0499877929688,447.7999877929688,474.0,94557088.0,,,,,,,,,,,,
2024-04-01,506.2355651855469,507.1499938964844,513.9000244140625,458.4500122070313,460.0,83843590.0,,,,,,,,,,,,
2024-05-01,507.882568359375,508.7999877929688,540.0,464.3500061035156,507.1499938964844,108413138.0,,,,,,,,,,,,
2024-06-01,569.8206787109375,570.8499755859375,578.7000122070312,478.0,517.0,75567299.0,,,,,,,,,,,,
