Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'DABUR.NS')","('High', 'DABUR.NS')","('Low', 'DABUR.NS')","('Open', 'DABUR.NS')","('Volume', 'DABUR.NS')","('Date', '')","('Close', 'DABUR.NS')","('High', 'DABUR.NS')","('Low', 'DABUR.NS')","('Open', 'DABUR.NS')","('Volume', 'DABUR.NS')"
2020-01-01,474.2242126464844,495.75,505.8500061035156,445.7000122070313,459.7000122070313,43583449.0,,,,,,,,,,,,
2020-02-01,474.55902099609375,496.1000061035156,523.25,480.25,498.5,47829324.0,,,,,,,,,,,,
2020-03-01,430.5084838867188,450.0499877929688,525.0,386.0499877929688,503.7999877929688,72420576.0,,,,,,,,,,,,
2020-04-01,468.0542602539063,489.2999877929688,517.4000244140625,424.0499877929688,450.8999938964844,66459670.0,,,,,,,,,,,,
2020-05-01,446.1964111328125,466.4500122070313,489.2999877929688,421.2000122070313,489.2999877929688,76121252.0,,,,,,,,,,,,
2020-06-01,445.7181701660156,465.9500122070313,476.8999938964844,431.0,470.0,83853216.0,,,,,,,,,,,,
2020-07-01,491.2513427734375,513.5499877929688,515.0,462.9500122070313,470.8999938964844,83695701.0,,,,,,,,,,,,
2020-08-01,453.9925537109375,474.6000061035156,528.0,470.8999938964844,514.8499755859375,67850952.0,,,,,,,,,,,,
2020-09-01,489.9381713867188,510.5499877929688,514.7000122070312,473.6499938964844,478.3999938964844,61045428.0,,,,,,,,,,,,
2020-10-01,490.8018798828125,511.4500122070313,535.0,505.1000061035156,515.75,72282120.0,,,,,,,,,,,,
2020-11-01,479.6221008300781,499.7999877929688,535.9500122070312,494.0499877929688,515.0,90509456.0,,,,,,,,,,,,
2020-12-01,514.1886596679688,534.0,540.5,492.5499877929688,503.0499877929688,92656807.0,,,,,,,,,,,,
2021-01-01,495.4602661132813,514.5499877929688,552.5499877929688,511.3500061035156,534.0,61286693.0,,,,,,,,,,,,
2021-02-01,484.4350891113281,503.1000061035156,544.4500122070312,497.0499877929688,515.1500244140625,76670810.0,,,,,,,,,,,,
2021-03-01,520.4475708007812,540.5,542.7999877929688,502.7999877929688,504.0,43648665.0,,,,,,,,,,,,
2021-04-01,518.0885009765625,538.0499877929688,581.9000244140625,534.0999755859375,540.4500122070312,46694851.0,,,,,,,,,,,,
2021-05-01,520.3993530273438,540.4500122070312,548.4000244140625,519.2999877929688,538.75,59545118.0,,,,,,,,,,,,
2021-06-01,547.6494140625,568.75,582.7000122070312,529.75,544.7000122070312,45681875.0,,,,,,,,,,,,
2021-07-01,578.4141845703125,600.7000122070312,605.0,569.9000244140625,572.4000244140625,39888215.0,,,,,,,,,,,,
2021-08-01,601.5004272460938,621.5,623.8499755859375,570.6500244140625,605.9000244140625,71791447.0,,,,,,,,,,,,
2021-09-01,597.193603515625,617.0499877929688,658.9500122070312,615.6500244140625,622.0,38752944.0,,,,,,,,,,,,
2021-10-01,566.99755859375,585.8499755859375,632.0,574.4500122070312,617.0,40847480.0,,,,,,,,,,,,
2021-11-01,575.8048095703125,594.9500122070312,625.0,587.0,588.0,49482329.0,,,,,,,,,,,,
2021-12-01,563.7127075195312,580.0499877929688,598.2000122070312,550.4000244140625,595.0999755859375,27950314.0,,,,,,,,,,,,
2022-01-01,521.6322021484375,536.75,591.25,527.0499877929688,580.0,31122729.0,,,,,,,,,,,,
2022-02-01,547.4829711914062,563.3499755859375,574.4500122070312,526.4000244140625,541.1500244140625,37091184.0,,,,,,,,,,,,
2022-03-01,521.0977172851562,536.2000122070312,570.75,502.0,563.3499755859375,48453933.0,,,,,,,,,,,,
2022-04-01,541.020263671875,556.7000122070312,576.8499755859375,534.5999755859375,539.0,35372405.0,,,,,,,,,,,,
2022-05-01,504.3821411132813,519.0,565.0,488.2999877929688,552.0,47478785.0,,,,,,,,,,,,
2022-06-01,481.98138427734375,495.9500122070313,527.0,482.25,519.3499755859375,40842505.0,,,,,,,,,,,,
2022-07-01,567.6485595703125,584.0999755859375,585.25,492.0499877929688,492.0499877929688,34077073.0,,,,,,,,,,,,
2022-08-01,569.9191284179688,583.5999755859375,602.0,563.8499755859375,584.0999755859375,32544001.0,,,,,,,,,,,,
2022-09-01,559.5188598632812,572.9500122070312,580.0,540.2999877929688,565.0499877929688,29538473.0,,,,,,,,,,,,
2022-10-01,541.6965942382812,554.7000122070312,577.8499755859375,517.0,571.5999755859375,46272158.0,,,,,,,,,,,,
2022-11-01,574.5578002929688,588.3499755859375,598.9000244140625,540.5499877929688,556.9000244140625,43498400.0,,,,,,,,,,,,
2022-12-01,550.7371826171875,561.4500122070312,610.75,557.25,589.5,48881867.0,,,,,,,,,,,,
2023-01-01,547.1078491210938,557.75,574.1500244140625,538.5499877929688,561.4500122070312,33943245.0,,,,,,,,,,,,
2023-02-01,522.4376831054688,532.5999755859375,568.75,522.25,560.0,36987868.0,,,,,,,,,,,,
2023-03-01,534.5029296875,544.9000244140625,548.0,518.5999755859375,535.7999877929688,29541255.0,,,,,,,,,,,,
2023-04-01,522.73193359375,532.9000244140625,555.0499877929688,514.2000122070312,547.5,42574967.0,,,,,,,,,,,,
2023-05-01,544.802734375,555.4000244140625,558.0,503.6499938964844,532.9000244140625,54454454.0,,,,,,,,,,,,
2023-06-01,562.017822265625,572.9500122070312,578.0,541.5499877929688,555.4500122070312,36903444.0,,,,,,,,,,,,
2023-07-01,564.6171875,575.5999755859375,597.0999755859375,559.25,574.9500122070312,31990004.0,,,,,,,,,,,,
2023-08-01,545.090576171875,553.0999755859375,593.75,545.6500244140625,575.7999877929688,46314761.0,,,,,,,,,,,,
2023-09-01,543.6122436523438,551.5999755859375,576.5999755859375,545.5499877929688,551.5,26167728.0,,,,,,,,,,,,
2023-10-01,521.2410278320312,528.9000244140625,558.0,504.1000061035156,551.5999755859375,39304125.0,,,,,,,,,,,,
2023-11-01,530.258544921875,538.0499877929688,545.6500244140625,516.2000122070312,530.5,30726048.0,,,,,,,,,,,,
2023-12-01,551.96923828125,557.2000122070312,560.0,526.5,540.0,50311092.0,,,,,,,,,,,,
2024-01-01,534.534423828125,539.5999755859375,572.5,515.0,560.0,39993478.0,,,,,,,,,,,,
2024-02-01,533.0980834960938,538.1500244140625,575.5,526.0,547.0,42773664.0,,,,,,,,,,,,
2024-03-01,518.2389526367188,523.1500244140625,544.9500122070312,512.0,538.1500244140625,27858065.0,,,,,,,,,,,,
2024-04-01,502.98345947265625,507.75,532.5499877929688,489.2000122070313,523.5,55370200.0,,,,,,,,,,,,
2024-05-01,539.9827880859375,545.0999755859375,578.9000244140625,507.75,507.75,92373301.0,,,,,,,,,,,,
2024-06-01,595.0608520507812,600.7000122070312,633.4000244140625,536.75,560.0,100943659.0,,,,,,,,,,,,
