Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'NTPC.NS')","('High', 'NTPC.NS')","('Low', 'NTPC.NS')","('Open', 'NTPC.NS')","('Volume', 'NTPC.NS')","('Date', '')","('Close', 'NTPC.NS')","('High', 'NTPC.NS')","('Low', 'NTPC.NS')","('Open', 'NTPC.NS')","('Volume', 'NTPC.NS')"
2020-01-01,86.081298828125,112.8499984741211,125.0,110.9000015258789,119.0500030517578,283403874.0,,,,,,,,,,,,
2020-02-01,81.27570343017578,106.5500030517578,118.9000015258789,103.8000030517578,112.8499984741211,381517766.0,,,,,,,,,,,,
2020-03-01,64.22724914550781,84.19999694824219,111.0,73.19999694824219,109.3499984741211,676997897.0,,,,,,,,,,,,
2020-04-01,72.96128845214844,95.0500030517578,101.0,78.8499984741211,84.30000305175781,369475987.0,,,,,,,,,,,,
2020-05-01,75.110595703125,97.8499984741211,98.8499984741211,85.6500015258789,95.0500030517578,292613805.0,,,,,,,,,,,,
2020-06-01,73.53699493408203,95.8000030517578,103.8000030517578,89.9000015258789,98.4000015258789,389548132.0,,,,,,,,,,,,
2020-07-01,66.78202819824219,87.0,96.4000015258789,85.8499984741211,94.6999969482422,337538363.0,,,,,,,,,,,,
2020-08-01,73.99756622314453,96.4000015258789,108.0,85.0,87.19999694824219,764254083.0,,,,,,,,,,,,
2020-09-01,67.33529663085938,85.0999984741211,101.1500015258789,82.1500015258789,97.5,544915702.0,,,,,,,,,,,,
2020-10-01,71.39005279541016,87.5999984741211,90.6500015258789,78.0999984741211,85.80000305175781,615774361.0,,,,,,,,,,,,
2020-11-01,77.1762466430664,94.6999969482422,97.0500030517578,83.05000305175781,88.30000305175781,1058905562.0,,,,,,,,,,,,
2020-12-01,80.96578216552734,99.3499984741211,107.25,93.4499969482422,94.6999969482422,710015862.0,,,,,,,,,,,,
2021-01-01,72.4902572631836,88.94999694824219,104.3499984741211,88.1500015258789,99.9499969482422,529873561.0,,,,,,,,,,,,
2021-02-01,87.44467163085938,107.3000030517578,110.9499969482422,88.4000015258789,89.3499984741211,724611494.0,,,,,,,,,,,,
2021-03-01,89.52320861816406,106.5500030517578,114.6999969482422,102.0,109.5,556348567.0,,,,,,,,,,,,
2021-04-01,86.078369140625,102.4499969482422,108.75,97.0500030517578,107.5,322068662.0,,,,,,,,,,,,
2021-05-01,92.84197998046876,110.5,116.75,101.0500030517578,101.4000015258789,384108057.0,,,,,,,,,,,,
2021-06-01,97.79916381835938,116.4000015258789,121.0,109.5,110.9499969482422,449217999.0,,,,,,,,,,,,
2021-07-01,99.31151580810548,118.1999969482422,122.0,115.25,116.8000030517578,267374589.0,,,,,,,,,,,,
2021-08-01,97.42107391357422,115.9499969482422,119.5,111.9499969482422,118.5999984741211,213000640.0,,,,,,,,,,,,
2021-09-01,119.1822280883789,141.85000610351562,144.25,112.4000015258789,116.0,351704842.0,,,,,,,,,,,,
