Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'BALRAMCHIN.NS')","('High', 'BALRAMCHIN.NS')","('Low', 'BALRAMCHIN.NS')","('Open', 'BALRAMCHIN.NS')","('Volume', 'BALRAMCHIN.NS')","('Date', '')","('Close', 'BALRAMCHIN.NS')","('High', 'BALRAMCHIN.NS')","('Low', 'BALRAMCHIN.NS')","('Open', 'BALRAMCHIN.NS')","('Volume', 'BALRAMCHIN.NS')"
2020-01-01,159.53286743164062,166.1999969482422,195.0,165.3000030517578,184.1999969482422,25943886.0,,,,,,,,,,,,
2020-02-01,137.07154846191406,142.8000030517578,177.39999389648438,137.0,165.85000610351562,20598680.0,,,,,,,,,,,,
2020-03-01,99.87600708007812,104.0500030517578,147.9499969482422,68.94999694824219,144.14999389648438,21330160.0,,,,,,,,,,,,
2020-04-01,95.17256927490234,99.1500015258789,132.6999969482422,97.4499969482422,109.25,12430565.0,,,,,,,,,,,,
2020-05-01,95.7485122680664,99.75,101.6500015258789,83.6500015258789,99.1500015258789,11553573.0,,,,,,,,,,,,
2020-06-01,128.67254638671875,134.0500030517578,141.6999969482422,100.25,100.25,55490310.0,,,,,,,,,,,,
2020-07-01,120.46554565429688,125.5,142.0,123.0,135.1999969482422,43802532.0,,,,,,,,,,,,
2020-08-01,141.53500366210938,147.4499969482422,165.39999389648438,125.0500030517578,126.9000015258789,56029510.0,,,,,,,,,,,,
2020-09-01,148.97410583496094,155.1999969482422,162.4499969482422,140.0,147.60000610351562,24674243.0,,,,,,,,,,,,
2020-10-01,153.9654998779297,160.39999389648438,169.8000030517578,147.5,156.5,20288749.0,,,,,,,,,,,,
2020-11-01,157.99703979492188,164.60000610351562,167.0,147.6999969482422,159.1999969482422,21224474.0,,,,,,,,,,,,
2020-12-01,165.1001739501953,172.0,185.8000030517578,155.5500030517578,167.39999389648438,38365403.0,,,,,,,,,,,,
2021-01-01,164.38026428222656,171.25,187.8999938964844,168.75,173.0,22761908.0,,,,,,,,,,,,
2021-02-01,169.99559020996094,177.10000610351562,183.3000030517578,157.0,171.25,28982452.0,,,,,,,,,,,,
2021-03-01,209.18540954589844,214.5,227.0,175.9499969482422,177.25,76381477.0,,,,,,,,,,,,
2021-04-01,272.3310852050781,279.25,285.95001220703125,197.0,218.5,71572971.0,,,,,,,,,,,,
2021-05-01,296.6141967773437,304.1499938964844,349.1499938964844,276.3999938964844,278.54998779296875,78137266.0,,,,,,,,,,,,
2021-06-01,346.8869323730469,355.70001220703125,370.0,294.3999938964844,305.04998779296875,48593083.0,,,,,,,,,,,,
2021-07-01,371.8038635253906,381.25,386.7999877929688,327.29998779296875,359.0,26974629.0,,,,,,,,,,,,
2021-08-01,359.9061279296875,369.0499877929688,384.5,335.25,384.5,34260138.0,,,,,,,,,,,,
2021-09-01,357.4193420410156,366.5,378.3999938964844,339.5,372.0,22334987.0,,,,,,,,,,,,
2021-10-01,318.8492736816406,326.95001220703125,398.0,297.6000061035156,363.8500061035156,36154531.0,,,,,,,,,,,,
2021-11-01,303.9283447265625,311.6499938964844,346.45001220703125,301.6000061035156,325.0,17073444.0,,,,,,,,,,,,
2021-12-01,358.3945617675781,367.5,369.6499938964844,299.0,326.0,28441788.0,,,,,,,,,,,,
2022-01-01,413.6897583007813,424.2000122070313,459.8500061035156,362.2000122070313,364.25,98415081.0,,,,,,,,,,,,
2022-02-01,387.1636657714844,397.0,456.8999938964844,365.5499877929688,426.3500061035156,64758070.0,,,,,,,,,,,,
