Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'GLENMARK.NS')","('High', 'GLENMARK.NS')","('Low', 'GLENMARK.NS')","('Open', 'GLENMARK.NS')","('Volume', 'GLENMARK.NS')","('Date', '')","('Close', 'GLENMARK.NS')","('High', 'GLENMARK.NS')","('Low', 'GLENMARK.NS')","('Open', 'GLENMARK.NS')","('Volume', 'GLENMARK.NS')"
2020-01-01,303.8932189941406,310.20001220703125,365.2000122070313,308.6000061035156,347.70001220703125,39642541.0,,,,,,,,,,,,
2020-02-01,271.906982421875,277.54998779296875,346.45001220703125,275.0,309.70001220703125,46223568.0,,,,,,,,,,,,
2020-03-01,201.664779663086,205.8500061035156,294.8999938964844,161.64999389648438,279.5,63287193.0,,,,,,,,,,,,
2020-04-01,330.197265625,337.04998779296875,360.9500122070313,195.8000030517578,206.1000061035156,161311158.0,,,,,,,,,,,,
2020-05-01,347.8313293457031,355.04998779296875,363.6000061035156,322.8999938964844,337.04998779296875,84495706.0,,,,,,,,,,,,
2020-06-01,441.1447448730469,450.2999877929688,573.0499877929688,356.25,358.0,304102458.0,,,,,,,,,,,,
2020-07-01,443.153076171875,452.3500061035156,458.5,405.0,445.0,122504520.0,,,,,,,,,,,,
2020-08-01,460.0523681640625,469.6000061035156,509.0,442.2999877929688,455.3999938964844,94159563.0,,,,,,,,,,,,
2020-09-01,472.8370666503906,482.6499938964844,518.4500122070312,441.7000122070313,469.0,64106811.0,,,,,,,,,,,,
2020-10-01,467.4849853515625,474.7999877929688,509.5499877929688,464.25,487.0,55961475.0,,,,,,,,,,,,
2020-11-01,464.1374206542969,471.3999938964844,515.6500244140625,460.3999938964844,474.0,56458258.0,,,,,,,,,,,,
2020-12-01,485.89691162109375,493.5,549.0,464.6499938964844,474.6000061035156,57173800.0,,,,,,,,,,,,
2021-01-01,464.2850646972656,471.5499877929688,532.0,469.8999938964844,493.75,37368545.0,,,,,,,,,,,,
2021-02-01,459.01751708984375,466.2000122070313,513.25,449.6000061035156,473.4500122070313,35911787.0,,,,,,,,,,,,
2021-03-01,457.5406494140625,464.7000122070313,492.9500122070313,442.0499877929688,468.7000122070313,30684961.0,,,,,,,,,,,,
2021-04-01,567.91357421875,576.7999877929688,590.0,462.3500061035156,466.0,100783731.0,,,,,,,,,,,,
2021-05-01,583.3717041015625,592.5,640.0,554.0,577.0,79005381.0,,,,,,,,,,,,
2021-06-01,642.4964599609375,652.5499877929688,672.0,591.0,594.1500244140625,52252806.0,,,,,,,,,,,,
2021-07-01,598.0913696289062,607.4500122070312,690.9500122070312,581.7999877929688,652.4000244140625,49725062.0,,,,,,,,,,,,
