Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'HINDZINC.NS')","('High', 'HINDZINC.NS')","('Low', 'HINDZINC.NS')","('Open', 'HINDZINC.NS')","('Volume', 'HINDZINC.NS')","('Date', '')","('Close', 'HINDZINC.NS')","('High', 'HINDZINC.NS')","('Low', 'HINDZINC.NS')","('Open', 'HINDZINC.NS')","('Volume', 'HINDZINC.NS')"
2020-01-01,105.37522888183594,194.1000061035156,224.4499969482422,193.5,210.8000030517578,17375651.0,,,,,,,,,,,,
2020-02-01,93.51304626464844,172.25,198.6999969482422,170.0,195.3000030517578,8989774.0,,,,,,,,,,,,
2020-03-01,84.36531066894531,155.39999389648438,177.14999389648438,116.0500030517578,173.3000030517578,15012863.0,,,,,,,,,,,,
2020-04-01,94.78882598876952,174.60000610351562,181.6000061035156,151.4499969482422,155.0,9423367.0,,,,,,,,,,,,
2020-05-01,93.1330108642578,171.5500030517578,200.3999938964844,164.0500030517578,174.60000610351562,22018434.0,,,,,,,,,,,,
2020-06-01,116.59943389892578,195.9499969482422,204.75,166.85000610351562,173.5,30564231.0,,,,,,,,,,,,
2020-07-01,124.98957824707033,210.0500030517578,215.8999938964844,182.25,196.3999938964844,41638001.0,,,,,,,,,,,,
2020-08-01,134.83761596679688,226.6000061035156,258.95001220703125,203.1000061035156,211.0,54713737.0,,,,,,,,,,,,
2020-09-01,124.93009948730467,209.9499969482422,239.0,200.1000061035156,226.75,19880444.0,,,,,,,,,,,,
2020-10-01,120.97303009033205,203.3000030517578,243.0,197.3000030517578,210.5,41483279.0,,,,,,,,,,,,
2020-11-01,150.20445251464844,229.6999969482422,235.6000061035156,200.0500030517578,203.6000061035156,21194539.0,,,,,,,,,,,,
2020-12-01,156.31858825683594,239.0500030517578,249.3999938964844,224.8000030517578,232.0,22441791.0,,,,,,,,,,,,
2021-01-01,179.6633758544922,274.75,328.3999938964844,237.1999969482422,239.1499938964844,58615969.0,,,,,,,,,,,,
2021-02-01,194.5399627685547,297.5,312.0,281.6000061035156,290.0,30000867.0,,,,,,,,,,,,
2021-03-01,178.45361328125,272.8999938964844,334.3999938964844,257.0,300.1000061035156,29917021.0,,,,,,,,,,,,
2021-04-01,199.5097198486328,305.1000061035156,323.5,274.25,276.0,53214560.0,,,,,,,,,,,,
2021-05-01,213.8305053710937,327.0,362.1000061035156,287.0,306.1499938964844,98272364.0,,,,,,,,,,,,
2021-06-01,221.87364196777344,339.29998779296875,351.8999938964844,322.04998779296875,330.3500061035156,35698223.0,,,,,,,,,,,,
2021-07-01,209.5800170898437,320.5,350.8999938964844,313.70001220703125,337.6000061035156,25079271.0,,,,,,,,,,,,
2021-08-01,210.3974151611328,321.75,332.8999938964844,294.1000061035156,324.5,22859241.0,,,,,,,,,,,,
2021-09-01,203.7601776123047,311.6000061035156,338.79998779296875,310.1000061035156,321.75,17244528.0,,,,,,,,,,,,
2021-10-01,203.5966796875,311.3500061035156,408.6000061035156,305.3999938964844,311.5,45915182.0,,,,,,,,,,,,
2021-11-01,217.78668212890625,333.04998779296875,345.0,310.95001220703125,314.8999938964844,25813163.0,,,,,,,,,,,,
2021-12-01,207.1605224609375,316.79998779296875,369.8500061035156,305.75,333.3999938964844,27959863.0,,,,,,,,,,,,
2022-01-01,216.88787841796875,315.45001220703125,334.95001220703125,308.0,316.95001220703125,11849259.0,,,,,,,,,,,,
2022-02-01,214.4814453125,311.95001220703125,338.0,296.04998779296875,316.6000061035156,10170009.0,,,,,,,,,,,,
2022-03-01,213.2438201904297,310.1499938964844,371.7000122070313,305.0,311.95001220703125,51297363.0,,,,,,,,,,,,
2022-04-01,221.3225555419922,321.8999938964844,356.75,309.95001220703125,311.54998779296875,23582363.0,,,,,,,,,,,,
2022-05-01,206.9183807373047,300.95001220703125,328.79998779296875,278.95001220703125,321.8500061035156,18079935.0,,,,,,,,,,,,
2022-06-01,171.44073486328125,249.3500061035156,311.6499938964844,245.1000061035156,304.0,11977039.0,,,,,,,,,,,,
2022-07-01,185.43240356445312,269.70001220703125,299.75,242.0500030517578,246.0,28406061.0,,,,,,,,,,,,
2022-08-01,210.772705078125,285.0,302.0,266.8500061035156,272.25,19884945.0,,,,,,,,,,,,
2022-09-01,197.6086578369141,267.20001220703125,295.0,262.6499938964844,285.0,11164498.0,,,,,,,,,,,,
2022-10-01,209.81130981445312,283.70001220703125,292.75,264.0,267.20001220703125,8376394.0,,,,,,,,,,,,
2022-11-01,227.2277984619141,307.25,326.79998779296875,282.6000061035156,283.0,21143865.0,,,,,,,,,,,,
2022-12-01,250.0428466796875,321.70001220703125,333.0,304.20001220703125,308.79998779296875,13930516.0,,,,,,,,,,,,
2023-01-01,258.709228515625,332.8500061035156,383.0,323.25,323.29998779296875,26656920.0,,,,,,,,,,,,
2023-02-01,254.7508087158203,304.0,349.6000061035156,295.95001220703125,337.45001220703125,8480081.0,,,,,,,,,,,,
2023-03-01,245.8261260986328,293.3500061035156,331.54998779296875,292.29998779296875,304.0,49987914.0,,,,,,,,,,,,
2023-04-01,286.0430603027344,314.3500061035156,328.5,293.3500061035156,294.0,14606898.0,,,,,,,,,,,,
2023-05-01,278.4449768066406,306.0,317.79998779296875,304.3999938964844,314.3500061035156,7822951.0,,,,,,,,,,,,
2023-06-01,279.67340087890625,307.3500061035156,313.6000061035156,298.70001220703125,306.75,12112449.0,,,,,,,,,,,,
2023-07-01,292.95867919921875,321.95001220703125,344.0,308.20001220703125,309.0,24013985.0,,,,,,,,,,,,
2023-08-01,295.76129150390625,318.1499938964844,324.70001220703125,312.04998779296875,323.54998779296875,7221695.0,,,,,,,,,,,,
2023-09-01,286.9298400878906,308.6499938964844,326.45001220703125,294.0,318.1499938964844,9730822.0,,,,,,,,,,,,
2023-10-01,274.751708984375,295.54998779296875,324.6000061035156,290.5,308.6499938964844,12216136.0,,,,,,,,,,,,
2023-11-01,278.1913452148437,299.25,308.95001220703125,291.1499938964844,295.8500061035156,5391147.0,,,,,,,,,,,,
2023-12-01,295.6683349609375,318.04998779296875,332.0,297.8500061035156,300.95001220703125,18784820.0,,,,,,,,,,,,
2024-01-01,300.463134765625,317.25,325.45001220703125,304.3999938964844,318.04998779296875,13854035.0,,,,,,,,,,,,
2024-02-01,290.234619140625,306.45001220703125,321.45001220703125,305.0,320.0,7545442.0,,,,,,,,,,,,
2024-03-01,276.83331298828125,292.29998779296875,314.95001220703125,284.6000061035156,307.95001220703125,10216287.0,,,,,,,,,,,,
2024-04-01,404.3584899902344,426.9500122070313,442.5499877929688,294.1499938964844,295.45001220703125,109391407.0,,,,,,,,,,,,
2024-05-01,650.8850708007812,687.25,807.7000122070312,424.2000122070313,426.9500122070313,176506781.0,,,,,,,,,,,,
2024-06-01,645.7496948242188,669.6500244140625,740.0,596.7999877929688,740.0,23585086.0,,,,,,,,,,,,
2024-07-01,623.7633666992188,646.8499755859375,717.0,599.0,670.0,15816862.0,,,,,,,,,,,,
2024-08-01,482.8778381347656,500.75,663.1500244140625,488.0499877929688,654.0,116156510.0,,,,,,,,,,,,
2024-09-01,522.5,522.5,531.25,475.3999938964844,502.0,49889411.0,,,,,,,,,,,,
2024-10-01,553.2000122070312,553.2000122070312,575.4000244140625,490.5,522.9000244140625,56756185.0,,,,,,,,,,,,
2024-11-01,504.6000061035156,504.6000061035156,565.0,483.2000122070313,558.9500122070312,52755443.0,,,,,,,,,,,,
2024-12-01,444.0,444.0,516.4000244140625,429.6000061035156,502.0499877929688,26144953.0,,,,,,,,,,,,
2025-01-01,469.3500061035156,469.3500061035156,473.2000122070313,414.7000122070313,443.8999938964844,18946075.0,,,,,,,,,,,,
