Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'BATAINDIA.NS')","('High', 'BATAINDIA.NS')","('Low', 'BATAINDIA.NS')","('Open', 'BATAINDIA.NS')","('Volume', 'BATAINDIA.NS')","('Date', '')","('Close', 'BATAINDIA.NS')","('High', 'BATAINDIA.NS')","('Low', 'BATAINDIA.NS')","('Open', 'BATAINDIA.NS')","('Volume', 'BATAINDIA.NS')"
2020-01-01,1738.79296875,1801.8499755859373,1866.0,1686.5,1751.550048828125,9742997.0,,,,,,,,,,,,
2020-02-01,1592.884521484375,1650.6500244140625,1895.449951171875,1600.0,1800.0,12693907.0,,,,,,,,,,,,
2020-03-01,1188.0169677734375,1231.0999755859375,1690.25,1000.0,1670.0,20601298.0,,,,,,,,,,,,
2020-04-01,1317.3758544921875,1365.1500244140625,1382.0,1146.300048828125,1238.75,25639816.0,,,,,,,,,,,,
2020-05-01,1279.209716796875,1325.5999755859375,1392.0,1230.0,1365.1500244140625,21601156.0,,,,,,,,,,,,
2020-06-01,1260.48876953125,1306.199951171875,1464.4000244140625,1275.0,1339.9000244140625,20992075.0,,,,,,,,,,,,
2020-07-01,1223.6737060546875,1268.050048828125,1352.699951171875,1239.5,1312.0,25617538.0,,,,,,,,,,,,
2020-08-01,1261.5782470703125,1299.050048828125,1372.0,1213.800048828125,1258.5,25162839.0,,,,,,,,,,,,
2020-09-01,1280.3216552734375,1318.3499755859375,1404.449951171875,1257.449951171875,1299.449951171875,21337865.0,,,,,,,,,,,,
2020-10-01,1274.15478515625,1312.0,1416.949951171875,1288.5999755859375,1347.0,14413856.0,,,,,,,,,,,,
2020-11-01,1527.529052734375,1572.9000244140625,1583.9000244140625,1294.800048828125,1319.0,19844410.0,,,,,,,,,,,,
2020-12-01,1534.084228515625,1579.6500244140625,1645.0,1462.0,1578.949951171875,14499190.0,,,,,,,,,,,,
2021-01-01,1457.9942626953125,1501.300048828125,1681.949951171875,1495.0,1587.800048828125,15735613.0,,,,,,,,,,,,
2021-02-01,1396.7144775390625,1438.199951171875,1602.5999755859375,1434.1500244140625,1511.9000244140625,16772598.0,,,,,,,,,,,,
2021-03-01,1365.637451171875,1406.199951171875,1546.0,1396.5,1450.0,10558588.0,,,,,,,,,,,,
2021-04-01,1330.0447998046875,1369.550048828125,1437.75,1263.5999755859375,1416.550048828125,12057265.0,,,,,,,,,,,,
2021-05-01,1502.81298828125,1547.449951171875,1559.8499755859375,1338.6500244140625,1360.0,12987779.0,,,,,,,,,,,,
2021-06-01,1550.69091796875,1596.75,1696.949951171875,1527.5,1545.8499755859375,13210712.0,,,,,,,,,,,,
2021-07-01,1572.493408203125,1619.199951171875,1640.0,1550.0,1605.0,9861956.0,,,,,,,,,,,,
2021-08-01,1720.6915283203125,1771.800048828125,1785.0,1592.0999755859375,1629.800048828125,17667880.0,,,,,,,,,,,,
2021-09-01,1735.155517578125,1778.1500244140625,1848.699951171875,1715.0,1776.5,8879312.0,,,,,,,,,,,,
2021-10-01,1931.588134765625,1979.449951171875,2212.75,1762.5,1778.0,14658407.0,,,,,,,,,,,,
2021-11-01,1832.7862548828125,1878.199951171875,2262.0,1845.75,1993.699951171875,11514247.0,,,,,,,,,,,,
2021-12-01,1826.3946533203125,1871.6500244140625,2057.25,1780.199951171875,1911.0,9639638.0,,,,,,,,,,,,
2022-01-01,2014.142578125,2064.050048828125,2122.0,1776.1500244140625,1871.6500244140625,12175409.0,,,,,,,,,,,,
2022-02-01,1769.6507568359375,1813.5,2079.949951171875,1762.550048828125,2075.35009765625,7929572.0,,,,,,,,,,,,
2022-03-01,1913.9747314453125,1961.4000244140625,1985.0,1654.050048828125,1813.5,7669643.0,,,,,,,,,,,,
2022-04-01,1901.53271484375,1948.6500244140625,2039.75,1826.1500244140625,1954.9000244140625,5955044.0,,,,,,,,,,,,
2022-05-01,1831.9080810546875,1877.300048828125,1987.0,1655.550048828125,1940.0,6324576.0,,,,,,,,,,,,
2022-06-01,1628.351806640625,1668.699951171875,1899.0,1607.449951171875,1875.0,6786430.0,,,,,,,,,,,,
2022-07-01,1914.218505859375,1961.6500244140625,1975.800048828125,1650.0,1665.0,6046867.0,,,,,,,,,,,,
2022-08-01,1894.311767578125,1941.25,2004.9000244140625,1833.199951171875,1977.949951171875,9762243.0,,,,,,,,,,,,
2022-09-01,1781.059814453125,1821.5,1984.800048828125,1756.550048828125,1939.949951171875,7280070.0,,,,,,,,,,,,
2022-10-01,1787.7576904296875,1828.3499755859373,1875.0,1755.0,1818.4000244140625,4619162.0,,,,,,,,,,,,
2022-11-01,1679.7109375,1717.8499755859375,1866.699951171875,1666.5,1831.0,7078181.0,,,,,,,,,,,,
2022-12-01,1612.5362548828125,1649.1500244140625,1738.8499755859375,1607.0999755859375,1726.5,7833495.0,,,,,,,,,,,,
2023-01-01,1495.39599609375,1529.3499755859375,1656.949951171875,1478.0999755859375,1650.0,5144841.0,,,,,,,,,,,,
2023-02-01,1379.8203125,1411.1500244140625,1548.9000244140625,1382.5,1529.3499755859375,6594909.0,,,,,,,,,,,,
2023-03-01,1386.8603515625,1418.3499755859375,1442.949951171875,1381.050048828125,1410.0,7054079.0,,,,,,,,,,,,
2023-04-01,1441.910400390625,1474.6500244140625,1486.9000244140625,1383.0,1436.0,7288745.0,,,,,,,,,,,,
2023-05-01,1548.9794921875,1584.1500244140625,1596.4000244140625,1473.1500244140625,1474.6500244140625,6571025.0,,,,,,,,,,,,
2023-06-01,1638.30126953125,1675.5,1682.5999755859375,1555.5,1590.0,5300316.0,,,,,,,,,,,,
2023-07-01,1697.84912109375,1736.4000244140625,1742.0,1623.050048828125,1678.949951171875,6066604.0,,,,,,,,,,,,
2023-08-01,1650.71923828125,1688.199951171875,1771.449951171875,1618.1500244140625,1737.300048828125,10137407.0,,,,,,,,,,,,
2023-09-01,1584.868408203125,1608.4000244140625,1748.949951171875,1585.050048828125,1687.949951171875,5430920.0,,,,,,,,,,,,
2023-10-01,1543.1380615234375,1566.050048828125,1666.949951171875,1535.5,1608.4000244140625,2692939.0,,,,,,,,,,,,
2023-11-01,1594.1800537109375,1617.8499755859375,1641.699951171875,1530.0,1566.050048828125,4088227.0,,,,,,,,,,,,
2023-12-01,1627.2393798828125,1651.4000244140625,1724.25,1576.0,1630.5999755859375,6054268.0,,,,,,,,,,,,
2024-01-01,1466.67333984375,1488.449951171875,1658.6500244140625,1425.0,1654.449951171875,6900342.0,,,,,,,,,,,,
2024-02-01,1388.927734375,1409.550048828125,1496.0,1381.0,1496.0,9023961.0,,,,,,,,,,,,
2024-03-01,1344.2410888671875,1364.199951171875,1473.8499755859375,1348.0999755859375,1413.0,7515517.0,,,,,,,,,,,,
2024-04-01,1349.1187744140625,1369.1500244140625,1404.4000244140625,1307.050048828125,1366.300048828125,11057745.0,,,,,,,,,,,,
2024-05-01,1345.472900390625,1365.449951171875,1417.8499755859375,1294.0,1369.1500244140625,9773815.0,,,,,,,,,,,,
2024-06-01,1491.6031494140625,1513.75,1523.9000244140625,1269.0,1398.6500244140625,11555858.0,,,,,,,,,,,,
2024-07-01,1572.9454345703125,1596.300048828125,1633.0,1482.75,1523.0999755859375,10205630.0,,,,,,,,,,,,
2024-08-01,1442.1868896484375,1452.6500244140625,1628.0,1384.25,1594.9000244140625,8735028.0,,,,,,,,,,,,
2024-09-01,1439.699951171875,1439.699951171875,1476.949951171875,1381.0,1453.0,5360847.0,,,,,,,,,,,,
2024-10-01,1355.6500244140625,1355.6500244140625,1468.800048828125,1340.0,1440.0,6266210.0,,,,,,,,,,,,
2024-11-01,1410.8499755859375,1410.8499755859375,1418.1500244140625,1275.550048828125,1365.0,5579540.0,,,,,,,,,,,,
2024-12-01,1374.9000244140625,1374.9000244140625,1457.5,1327.8499755859375,1412.0,5813416.0,,,,,,,,,,,,
2025-01-01,1276.1500244140625,1276.1500244140625,1479.0,1260.5,1378.0999755859375,2883636.0,,,,,,,,,,,,
