Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'VEDL.NS')","('High', 'VEDL.NS')","('Low', 'VEDL.NS')","('Open', 'VEDL.NS')","('Volume', 'VEDL.NS')","('Date', '')","('Close', 'VEDL.NS')","('High', 'VEDL.NS')","('Low', 'VEDL.NS')","('Open', 'VEDL.NS')","('Volume', 'VEDL.NS')"
2020-01-01,59.76079559326172,137.89999389648438,166.10000610351562,137.5,152.8000030517578,324202398.0,,,,,,,,,,,,
2020-02-01,49.40342330932617,114.0,146.8000030517578,112.0999984741211,138.75,291067833.0,,,,,,,,,,,,
2020-03-01,28.03860664367676,64.69999694824219,122.1999969482422,60.20000076293945,117.5500030517578,666641293.0,,,,,,,,,,,,
2020-04-01,40.1186408996582,89.55000305175781,91.0,62.20000076293945,65.0,663672077.0,,,,,,,,,,,,
2020-05-01,41.30584716796875,92.1999969482422,97.9499969482422,77.05000305175781,89.55000305175781,805173735.0,,,,,,,,,,,,
2020-06-01,47.6674919128418,106.4000015258789,113.5,92.75,93.3000030517578,609141116.0,,,,,,,,,,,,
2020-07-01,50.98271560668945,113.8000030517578,117.9000015258789,103.6500015258789,106.4000015258789,481800954.0,,,,,,,,,,,,
2020-08-01,57.63554763793945,128.64999389648438,134.64999389648438,112.6999969482422,113.0999984741211,397002311.0,,,,,,,,,,,,
2020-09-01,61.331573486328125,136.89999389648438,141.5,122.5999984741211,128.8000030517578,376790958.0,,,,,,,,,,,,
2020-10-01,42.896263122558594,95.75,140.1999969482422,92.1500015258789,137.60000610351562,1236722780.0,,,,,,,,,,,,
2020-11-01,59.62229919433594,120.75,122.8499984741211,91.1999969482422,95.75,571421011.0,,,,,,,,,,,,
2020-12-01,79.69390869140625,161.39999389648438,170.6999969482422,120.0,122.3000030517578,953540061.0,,,,,,,,,,,,
2021-01-01,79.61983489990234,161.25,189.75,160.0,161.8000030517578,368736672.0,,,,,,,,,,,,
2021-02-01,102.35780334472656,207.3000030517578,214.6999969482422,161.0,161.0500030517578,357609717.0,,,,,,,,,,,,
2021-03-01,112.94906616210938,228.75,231.6999969482422,205.1499938964844,209.25,411460662.0,,,,,,,,,,,,
2021-04-01,127.02142333984376,257.25,266.20001220703125,209.75,229.25,293164195.0,,,,,,,,,,,,
2021-05-01,135.39080810546875,274.20001220703125,296.29998779296875,251.0,255.3999938964844,454077350.0,,,,,,,,,,,,
2021-06-01,129.7864990234375,262.8500061035156,282.75,242.5,276.5,218967735.0,,,,,,,,,,,,
2021-07-01,149.04344177246094,301.8500061035156,306.3500061035156,255.0,264.20001220703125,186995884.0,,,,,,,,,,,,
2021-08-01,149.5124969482422,302.79998779296875,341.45001220703125,261.0,303.1000061035156,496868566.0,,,,,,,,,,,,
2021-09-01,142.0319366455078,287.6499938964844,317.25,282.95001220703125,305.0,258526790.0,,,,,,,,,,,,
2021-10-01,159.56808471679688,304.0,385.8999938964844,283.1499938964844,285.79998779296875,350434133.0,,,,,,,,,,,,
2021-11-01,177.8606719970703,338.8500061035156,373.2000122070313,290.29998779296875,312.0,776645696.0,,,,,,,,,,,,
2021-12-01,179.09420776367188,341.20001220703125,361.6499938964844,315.6499938964844,344.0,237658915.0,,,,,,,,,,,,
2022-01-01,182.492919921875,321.75,357.3999938964844,307.20001220703125,341.0,241612781.0,,,,,,,,,,,,
2022-02-01,215.70176696777344,380.2999877929688,385.8500061035156,322.0,323.8999938964844,232414743.0,,,,,,,,,,,,
2022-03-01,228.7754821777344,403.3500061035156,417.8500061035156,353.79998779296875,380.2999877929688,310464061.0,,,,,,,,,,,,
2022-04-01,239.78561401367188,408.3500061035156,440.75,397.0499877929688,405.2999877929688,142901056.0,,,,,,,,,,,,
