Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'ALKEM.NS')","('High', 'ALKEM.NS')","('Low', 'ALKEM.NS')","('Open', 'ALKEM.NS')","('Volume', 'ALKEM.NS')","('Date', '')","('Close', 'ALKEM.NS')","('High', 'ALKEM.NS')","('Low', 'ALKEM.NS')","('Open', 'ALKEM.NS')","('Volume', 'ALKEM.NS')"
2020-01-01,2288.037109375,2397.64990234375,2405.0,2006.9000244140625,2013.9000244140625,2435119.0,,,,,,,,,,,,
2020-02-01,2505.470458984375,2625.5,2716.89990234375,2322.050048828125,2380.10009765625,2734379.0,,,,,,,,,,,,
2020-03-01,2238.138427734375,2325.85009765625,2670.0,1881.300048828125,2645.0,2185801.0,,,,,,,,,,,,
2020-04-01,2501.372314453125,2599.39990234375,2879.0,2250.0,2364.949951171875,3785830.0,,,,,,,,,,,,
2020-05-01,2177.562255859375,2262.89990234375,2730.0,2222.0,2599.39990234375,2814059.0,,,,,,,,,,,,
2020-06-01,2278.988037109375,2368.300048828125,2510.14990234375,2260.0,2290.0,4275593.0,,,,,,,,,,,,
2020-07-01,2561.70849609375,2662.10009765625,2718.35009765625,2325.0,2366.0,3674428.0,,,,,,,,,,,,
2020-08-01,2620.0224609375,2722.699951171875,3090.0,2680.35009765625,2700.0,8811040.0,,,,,,,,,,,,
2020-09-01,2675.880859375,2777.949951171875,2987.89990234375,2682.0,2729.0,4230174.0,,,,,,,,,,,,
2020-10-01,2537.509521484375,2634.300048828125,2823.0,2563.64990234375,2784.0,1933722.0,,,,,,,,,,,,
2020-11-01,2737.24072265625,2841.64990234375,2865.0,2616.0,2634.300048828125,2813019.0,,,,,,,,,,,,
2020-12-01,2818.684326171875,2926.199951171875,2988.0,2761.10009765625,2845.0,2031191.0,,,,,,,,,,,,
2021-01-01,2896.46728515625,3006.949951171875,3151.5,2914.85009765625,2930.0,2445353.0,,,,,,,,,,,,
2021-02-01,2622.03515625,2722.050048828125,3030.0,2710.0,3015.0,2233936.0,,,,,,,,,,,,
2021-03-01,2691.34228515625,2769.800048828125,2961.0,2540.050048828125,2743.10009765625,2926061.0,,,,,,,,,,,,
2021-04-01,2680.896728515625,2759.050048828125,2889.0,2670.10009765625,2766.0,3908642.0,,,,,,,,,,,,
2021-05-01,2904.52734375,2989.199951171875,3088.949951171875,2750.550048828125,2759.050048828125,6802280.0,,,,,,,,,,,,
2021-06-01,3108.724609375,3199.35009765625,3259.0,2900.0,3009.0,4613271.0,,,,,,,,,,,,
2021-07-01,3355.7724609375,3453.60009765625,3558.89990234375,3176.300048828125,3197.35009765625,4550340.0,,,,,,,,,,,,
2021-08-01,3768.73388671875,3878.60009765625,3933.0,3361.0,3455.0,5266982.0,,,,,,,,,,,,
2021-09-01,3873.56884765625,3980.75,4070.0,3684.050048828125,3870.0,3151624.0,,,,,,,,,,,,
2021-10-01,3513.43359375,3610.64990234375,4050.0,3584.75,3977.0,2862790.0,,,,,,,,,,,,
2021-11-01,3496.696533203125,3593.449951171875,3778.449951171875,3244.050048828125,3610.64990234375,3302733.0,,,,,,,,,,,,
2021-12-01,3526.472900390625,3624.050048828125,3748.949951171875,3254.60009765625,3590.5,2500713.0,,,,,,,,,,,,
2022-01-01,3443.8583984375,3539.14990234375,3786.0,3348.60009765625,3653.0,2570989.0,,,,,,,,,,,,
2022-02-01,3189.69140625,3277.949951171875,3600.0,3135.0,3557.800048828125,1331119.0,,,,,,,,,,,,
