Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'GODREJCP.NS')","('High', 'GODREJCP.NS')","('Low', 'GODREJCP.NS')","('Open', 'GODREJCP.NS')","('Volume', 'GODREJCP.NS')","('Date', '')","('Close', 'GODREJCP.NS')","('High', 'GODREJCP.NS')","('Low', 'GODREJCP.NS')","('Open', 'GODREJCP.NS')","('Volume', 'GODREJCP.NS')"
2020-01-01,657.3536987304688,672.6500244140625,772.0,671.6500244140625,684.9000244140625,22585021.0,,,,,,,,,,,,
2020-02-01,547.7538452148438,560.5,688.4000244140625,556.4000244140625,675.7999877929688,31694005.0,,,,,,,,,,,,
2020-03-01,510.565673828125,520.8499755859375,654.8499755859375,425.1000061035156,574.0,53966465.0,,,,,,,,,,,,
2020-04-01,532.4743041992188,543.2000122070312,639.7999877929688,515.3499755859375,535.0,37053864.0,,,,,,,,,,,,
2020-05-01,621.285400390625,633.7999877929688,639.9500122070312,484.0499877929688,543.2000122070312,46747869.0,,,,,,,,,,,,
2020-06-01,677.159912109375,690.7999877929688,697.7000122070312,591.25,635.2000122070312,44477549.0,,,,,,,,,,,,
2020-07-01,678.1891479492188,691.8499755859375,721.7000122070312,663.5,695.0,27754398.0,,,,,,,,,,,,
2020-08-01,638.4397583007812,651.2999877929688,716.7000122070312,647.0,696.0,24739496.0,,,,,,,,,,,,
2020-09-01,710.6356201171875,724.9500122070312,736.9500122070312,641.0,653.0,34054491.0,,,,,,,,,,,,
2020-10-01,651.6732788085938,664.7999877929688,762.0,661.0,729.0,31984852.0,,,,,,,,,,,,
2020-11-01,685.9331665039062,699.75,719.5999755859375,653.5999755859375,664.7999877929688,29317491.0,,,,,,,,,,,,
2020-12-01,725.5355224609375,740.1500244140625,756.9000244140625,683.0999755859375,712.0,41266342.0,,,,,,,,,,,,
2021-01-01,729.9466552734375,744.6500244140625,808.3499755859375,731.25,742.0,37863362.0,,,,,,,,,,,,
2021-02-01,672.8468017578125,686.4000244140625,773.7999877929688,676.0,749.6500244140625,30915511.0,,,,,,,,,,,,
2021-03-01,715.2427978515625,729.6500244140625,734.6500244140625,646.1500244140625,690.0,30227218.0,,,,,,,,,,,,
2021-04-01,678.0911865234375,691.75,748.0,687.5,730.7000122070312,20581425.0,,,,,,,,,,,,
2021-05-01,839.6371459960938,856.5499877929688,892.0,687.5999755859375,690.0,67250873.0,,,,,,,,,,,,
2021-06-01,853.066650390625,870.25,942.3499755859376,836.4500122070312,859.0,37054978.0,,,,,,,,,,,,
2021-07-01,968.2955322265624,987.7999877929688,1010.0,869.0,871.7999877929688,31479756.0,,,,,,,,,,,,
2021-08-01,1077.593994140625,1099.300048828125,1100.0,957.0499877929688,990.0499877929688,32600534.0,,,,,,,,,,,,
2021-09-01,1009.5643310546876,1029.9000244140625,1138.0,1010.9500122070312,1105.800048828125,25813188.0,,,,,,,,,,,,
2021-10-01,937.7606201171876,956.6500244140624,1072.199951171875,930.0,1029.199951171875,23923098.0,,,,,,,,,,,,
2021-11-01,904.8731079101562,923.0999755859376,985.25,877.0499877929688,956.2000122070312,17636680.0,,,,,,,,,,,,
2021-12-01,949.2296142578124,968.3499755859376,976.0,871.2000122070312,929.0,25782873.0,,,,,,,,,,,,
2022-01-01,870.7601928710938,888.2999877929688,976.0,848.75,973.9000244140624,15950504.0,,,,,,,,,,,,
2022-02-01,752.7865600585938,767.9500122070312,929.5,742.0499877929688,891.0,23578819.0,,,,,,,,,,,,
2022-03-01,732.5442504882812,747.2999877929688,767.9500122070312,660.0499877929688,767.9500122070312,45085355.0,,,,,,,,,,,,
2022-04-01,766.9512939453125,782.4000244140625,832.75,739.0999755859375,750.0,30847949.0,,,,,,,,,,,,
2022-05-01,751.806396484375,766.9500122070312,838.2000122070312,747.4000244140625,781.0,36043237.0,,,,,,,,,,,,
2022-06-01,742.5919189453125,757.5499877929688,808.4500122070312,708.5,780.0,25887004.0,,,,,,,,,,,,
2022-07-01,836.8924560546875,853.75,898.75,750.5499877929688,757.0499877929688,29256900.0,,,,,,,,,,,,
2022-08-01,906.0003662109376,924.25,937.9500122070312,838.0,854.1500244140625,34239792.0,,,,,,,,,,,,
2022-09-01,892.472900390625,910.4500122070312,956.0,859.2000122070312,910.0,27926775.0,,,,,,,,,,,,
2022-10-01,812.9251708984375,829.2999877929688,921.0,807.3499755859375,910.4500122070312,21945758.0,,,,,,,,,,,,
2022-11-01,864.0455322265625,881.4500122070312,888.9000244140625,793.8499755859375,830.0,22863892.0,,,,,,,,,,,,
2022-12-01,856.7915649414062,874.0499877929688,927.9500122070312,861.4500122070312,885.9500122070312,19853267.0,,,,,,,,,,,,
2023-01-01,895.2175903320312,913.25,946.2000122070312,877.0,877.9500122070312,24222442.0,,,,,,,,,,,,
2023-02-01,905.069091796875,923.2999877929688,953.7000122070312,898.5499877929688,927.0,16469277.0,,,,,,,,,,,,
2023-03-01,949.0335693359376,968.1500244140624,973.0,894.2000122070312,923.3499755859376,23577207.0,,,,,,,,,,,,
2023-04-01,889.5810546875,907.5,992.2000122070312,897.0,970.0,21453545.0,,,,,,,,,,,,
2023-05-01,1037.452392578125,1058.3499755859375,1065.0,902.0,907.5,29733545.0,,,,,,,,,,,,
2023-06-01,1059.6552734375,1081.0,1089.0,1027.0999755859375,1068.300048828125,19317475.0,,,,,,,,,,,,
