Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'WELCORP.NS')","('High', 'WELCORP.NS')","('Low', 'WELCORP.NS')","('Open', 'WELCORP.NS')","('Volume', 'WELCORP.NS')","('Date', '')","('Close', 'WELCORP.NS')","('High', 'WELCORP.NS')","('Low', 'WELCORP.NS')","('Open', 'WELCORP.NS')","('Volume', 'WELCORP.NS')"
2020-01-01,149.50152587890625,171.64999389648438,184.3999938964844,143.0,143.60000610351562,22661711.0,,,,,,,,,,,,
2020-02-01,161.9127960205078,185.8999938964844,233.9499969482422,160.5500030517578,170.0,34927671.0,,,,,,,,,,,,
2020-03-01,56.578392028808594,62.04999923706055,197.8000030517578,59.900001525878906,190.1999969482422,31883935.0,,,,,,,,,,,,
2020-04-01,59.405029296875,65.1500015258789,71.55000305175781,60.20000076293945,63.0,18645856.0,,,,,,,,,,,,
2020-05-01,54.663570404052734,59.95000076293945,65.1500015258789,55.0,65.1500015258789,13352844.0,,,,,,,,,,,,
2020-06-01,72.71759033203125,79.75,89.4000015258789,61.20000076293945,62.900001525878906,40337797.0,,,,,,,,,,,,
2020-07-01,80.0577392578125,87.80000305175781,90.8000030517578,77.44999694824219,80.05000305175781,30256688.0,,,,,,,,,,,,
2020-08-01,98.06616973876952,107.5500030517578,120.5,85.69999694824219,87.94999694824219,31688704.0,,,,,,,,,,,,
2020-09-01,104.1924819946289,113.6999969482422,116.3499984741211,96.1999969482422,104.0500030517578,18638780.0,,,,,,,,,,,,
2020-10-01,98.46510314941406,107.4499969482422,123.1999969482422,105.1500015258789,115.0,24246809.0,,,,,,,,,,,,
2020-11-01,108.22455596923828,118.0999984741211,120.0,99.0,107.9499969482422,30204775.0,,,,,,,,,,,,
2020-12-01,121.97028350830078,133.10000610351562,141.3000030517578,110.9499969482422,118.1999969482422,42397309.0,,,,,,,,,,,,
2021-01-01,110.0114974975586,120.0500030517578,145.5,119.5,132.5,23750143.0,,,,,,,,,,,,
2021-02-01,119.35858917236328,130.25,134.0,117.5999984741211,120.0999984741211,16779074.0,,,,,,,,,,,,
2021-03-01,126.78128814697266,138.35000610351562,143.0,127.5,131.60000610351562,27473646.0,,,,,,,,,,,,
2021-04-01,130.95079040527344,142.89999389648438,164.9499969482422,133.5,140.6999969482422,36093216.0,,,,,,,,,,,,
2021-05-01,139.610595703125,152.35000610351562,154.8000030517578,138.25,143.39999389648438,33767528.0,,,,,,,,,,,,
2021-06-01,131.1340789794922,143.10000610351562,165.89999389648438,139.1999969482422,153.0,49680387.0,,,,,,,,,,,,
2021-07-01,126.8729019165039,138.4499969482422,160.6999969482422,136.5500030517578,143.5,75928266.0,,,,,,,,,,,,
2021-08-01,109.00347900390624,118.9499969482422,141.5,105.8499984741211,140.0,32564591.0,,,,,,,,,,,,
2021-09-01,137.8746795654297,144.85000610351562,149.39999389648438,115.1500015258789,118.25,38847692.0,,,,,,,,,,,,
2021-10-01,127.07121276855467,133.5,153.64999389648438,123.0999984741211,144.0,55804577.0,,,,,,,,,,,,
2021-11-01,157.10191345214844,165.0500030517578,175.39999389648438,127.0500030517578,135.0,109087560.0,,,,,,,,,,,,
2021-12-01,169.8566131591797,178.4499969482422,194.0,152.0,166.0,75738082.0,,,,,,,,,,,,
2022-01-01,175.47251892089844,184.3500061035156,197.3000030517578,160.14999389648438,177.0,36429950.0,,,,,,,,,,,,
2022-02-01,135.35226440429688,142.1999969482422,193.8999938964844,136.0500030517578,187.0,24625716.0,,,,,,,,,,,,
2022-03-01,159.3387451171875,167.39999389648438,168.8000030517578,135.5,142.1999969482422,22934330.0,,,,,,,,,,,,
2022-04-01,195.46124267578125,205.3500061035156,222.0,168.0,168.35000610351562,53643545.0,,,,,,,,,,,,
2022-05-01,215.4023895263672,226.3000030517578,250.6499938964844,159.75,202.1000061035156,69446149.0,,,,,,,,,,,,
2022-06-01,208.31114196777344,218.8500061035156,239.8500061035156,183.0500030517578,226.0,32395844.0,,,,,,,,,,,,
2022-07-01,219.7549591064453,226.0,229.0,205.4499969482422,217.0,22261069.0,,,,,,,,,,,,
2022-08-01,220.0953063964844,226.3500061035156,242.0,202.4499969482422,227.6000061035156,29019419.0,,,,,,,,,,,,
2022-09-01,257.7745056152344,265.1000061035156,298.5,225.8500061035156,226.8000030517578,55370625.0,,,,,,,,,,,,
2022-10-01,216.1572113037109,222.3000030517578,278.8999938964844,214.1000061035156,264.45001220703125,21329877.0,,,,,,,,,,,,
2022-11-01,243.5779571533203,250.5,252.0,217.1999969482422,221.5,22003425.0,,,,,,,,,,,,
2022-12-01,230.40237426757807,236.9499969482422,255.8500061035156,201.6000061035156,250.5,16382683.0,,,,,,,,,,,,
2023-01-01,204.9263610839844,210.75,242.75,200.1499938964844,232.6000061035156,12339754.0,,,,,,,,,,,,
2023-02-01,179.11001586914062,184.1999969482422,220.0,177.64999389648438,211.8000030517578,16381108.0,,,,,,,,,,,,
2023-03-01,194.9595947265625,200.5,215.0,183.9499969482422,184.1000061035156,15289497.0,,,,,,,,,,,,
2023-04-01,218.92843627929688,225.1499938964844,226.0,201.0,201.0,10113753.0,,,,,,,,,,,,
2023-05-01,245.6685333251953,252.6499938964844,257.54998779296875,223.5,225.1499938964844,17367933.0,,,,,,,,,,,,
2023-06-01,253.7392120361328,260.95001220703125,284.0,253.1499938964844,253.6499938964844,24147587.0,,,,,,,,,,,,
2023-07-01,319.1383972167969,322.04998779296875,327.95001220703125,262.0,262.0,35224066.0,,,,,,,,,,,,
2023-08-01,324.3905029296875,327.3500061035156,344.8999938964844,310.0,323.5,28775428.0,,,,,,,,,,,,
2023-09-01,389.9920043945313,393.5499877929688,406.7000122070313,328.04998779296875,328.6499938964844,40064474.0,,,,,,,,,,,,
2023-10-01,421.3558654785156,425.2000122070313,457.2999877929688,376.1499938964844,393.5499877929688,26150924.0,,,,,,,,,,,,
2023-11-01,525.55517578125,530.3499755859375,562.9500122070312,423.6000061035156,427.0,40681825.0,,,,,,,,,,,,
2023-12-01,543.1943359375,548.1500244140625,569.4000244140625,498.0499877929688,530.7999877929688,17756174.0,,,,,,,,,,,,
2024-01-01,582.0894775390625,587.4000244140625,613.0,524.0999755859375,548.0,23118302.0,,,,,,,,,,,,
2024-02-01,505.6369323730469,510.25,623.9000244140625,507.0499877929688,590.0,17457295.0,,,,,,,,,,,,
2024-03-01,510.7404174804688,515.4000244140625,554.0,469.8999938964844,521.5,9262893.0,,,,,,,,,,,,
2024-04-01,559.247802734375,564.3499755859375,592.7000122070312,517.0,528.0,11458756.0,,,,,,,,,,,,
2024-05-01,543.987060546875,548.9500122070312,631.9000244140625,537.0,564.3499755859375,25335794.0,,,,,,,,,,,,
2024-06-01,544.086181640625,549.0499877929688,583.9500122070312,440.1499938964844,575.9000244140625,41810401.0,,,,,,,,,,,,
2024-07-01,640.7000122070312,640.7000122070312,678.5,544.8499755859375,549.0499877929688,32036020.0,,,,,,,,,,,,
2024-08-01,708.4000244140625,708.4000244140625,750.0,600.5999755859375,644.0,32145704.0,,,,,,,,,,,,
2024-09-01,766.2999877929688,766.2999877929688,769.2999877929688,655.0,713.4000244140625,17542596.0,,,,,,,,,,,,
2024-10-01,727.8499755859375,727.8499755859375,794.75,662.0,767.0,15373074.0,,,,,,,,,,,,
2024-11-01,774.7000122070312,774.7000122070312,806.0,650.1500244140625,731.9500122070312,17476110.0,,,,,,,,,,,,
2024-12-01,813.7999877929688,813.7999877929688,824.4500122070312,758.0,780.0,11629409.0,,,,,,,,,,,,
2025-01-01,779.75,779.75,835.0,712.9000244140625,813.0499877929688,11805943.0,,,,,,,,,,,,
