Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'INDUSINDBK.NS')","('High', 'INDUSINDBK.NS')","('Low', 'INDUSINDBK.NS')","('Open', 'INDUSINDBK.NS')","('Volume', 'INDUSINDBK.NS')","('Date', '')","('Close', 'INDUSINDBK.NS')","('High', 'INDUSINDBK.NS')","('Low', 'INDUSINDBK.NS')","('Open', 'INDUSINDBK.NS')","('Volume', 'INDUSINDBK.NS')"
2020-01-01,1215.676513671875,1258.8499755859375,1585.0,1221.550048828125,1512.0,129616308.0,,,,,,,,,,,,
2020-02-01,1066.1856689453125,1104.050048828125,1346.050048828125,1085.050048828125,1249.949951171875,153471326.0,,,,,,,,,,,,
2020-03-01,339.2518005371094,351.29998779296875,1136.949951171875,235.5500030517578,1130.0,515483911.0,,,,,,,,,,,,
2020-04-01,452.0943298339844,468.1499938964844,491.8500061035156,310.20001220703125,386.3999938964844,575650286.0,,,,,,,,,,,,
2020-05-01,380.1494140625,393.6499938964844,480.0,330.0,468.1499938964844,477672176.0,,,,,,,,,,,,
2020-06-01,458.5162963867188,474.7999877929688,548.5,401.0499877929688,402.2999877929688,822577228.0,,,,,,,,,,,,
2020-07-01,505.7874450683594,523.75,577.5,475.1499938964844,480.5,540404251.0,,,,,,,,,,,,
2020-08-01,608.5867309570312,630.2000122070312,712.0,483.25,521.9500122070312,399533818.0,,,,,,,,,,,,
2020-09-01,509.3123779296875,527.4000244140625,662.5,485.0,638.0999755859375,402470093.0,,,,,,,,,,,,
2020-10-01,565.6128540039062,585.7000122070312,647.7999877929688,537.0,540.0,401788779.0,,,,,,,,,,,,
2020-11-01,828.236083984375,857.6500244140625,880.9000244140625,590.0,590.0,542081998.0,,,,,,,,,,,,
2020-12-01,864.2568969726562,894.9500122070312,953.5,813.6500244140625,863.0,261284277.0,,,,,,,,,,,,
2021-01-01,817.0821533203125,846.0999755859375,983.0,789.0,895.0,211374707.0,,,,,,,,,,,,
2021-02-01,1026.4949951171875,1062.949951171875,1119.5,856.0,859.0,278190042.0,,,,,,,,,,,,
2021-03-01,921.7161865234376,954.4500122070312,1116.0,928.8499755859376,1075.0,150604830.0,,,,,,,,,,,,
2021-04-01,902.885009765625,934.9500122070312,997.0,811.0,964.0,144102053.0,,,,,,,,,,,,
2021-05-01,978.2581787109376,1013.0,1025.5,888.0999755859375,929.0,129837507.0,,,,,,,,,,,,
2021-06-01,981.4932861328124,1016.3499755859376,1050.0,960.0,1016.0,95828267.0,,,,,,,,,,,,
2021-07-01,947.3556518554688,981.0,1067.4000244140625,963.0499877929688,1011.0,63843280.0,,,,,,,,,,,,
2021-08-01,958.3646850585938,992.4000244140624,1055.0,964.0999755859376,991.7999877929688,65826032.0,,,,,,,,,,,,
2021-09-01,1079.0611572265625,1111.9000244140625,1189.3499755859375,984.1500244140624,994.0,118969940.0,,,,,,,,,,,,
2021-10-01,1106.525146484375,1140.199951171875,1242.0,1091.300048828125,1104.0,78107827.0,,,,,,,,,,,,
2021-11-01,856.9214477539062,883.0,1240.0999755859375,875.7000122070312,1158.0,133538464.0,,,,,,,,,,,,
2021-12-01,861.9193115234375,888.1500244140625,968.0,811.5,891.0,118726943.0,,,,,,,,,,,,
2022-01-01,846.3433227539062,872.0999755859375,950.0,831.5499877929688,888.2000122070312,87876828.0,,,,,,,,,,,,
2022-02-01,893.5079345703125,920.7000122070312,990.0,868.8499755859375,879.0,99917705.0,,,,,,,,,,,,
