Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'NATCOPHARM.NS')","('High', 'NATCOPHARM.NS')","('Low', 'NATCOPHARM.NS')","('Open', 'NATCOPHARM.NS')","('Volume', 'NATCOPHARM.NS')","('Date', '')","('Close', 'NATCOPHARM.NS')","('High', 'NATCOPHARM.NS')","('Low', 'NATCOPHARM.NS')","('Open', 'NATCOPHARM.NS')","('Volume', 'NATCOPHARM.NS')"
2020-01-01,608.322021484375,633.8499755859375,671.7999877929688,592.0,595.9000244140625,4978404.0,,,,,,,,,,,,
2020-02-01,577.4187622070312,601.6500244140625,738.0999755859375,586.4500122070312,633.8499755859375,4835199.0,,,,,,,,,,,,
2020-03-01,487.7654724121094,505.5499877929688,633.1500244140625,402.5499877929688,596.0999755859375,3706260.0,,,,,,,,,,,,
2020-04-01,589.2163696289062,610.7000122070312,665.0,491.0,509.5,8584007.0,,,,,,,,,,,,
2020-05-01,559.3551635742188,579.75,633.0,555.0999755859375,610.7000122070312,7093535.0,,,,,,,,,,,,
2020-06-01,608.9469604492188,631.1500244140625,665.0,578.0999755859375,580.0,8893166.0,,,,,,,,,,,,
2020-07-01,756.3054809570312,782.6500244140625,789.75,625.0999755859375,636.0,11767681.0,,,,,,,,,,,,
2020-08-01,726.3972778320312,751.7000122070312,895.0,740.0999755859375,794.0,14006837.0,,,,,,,,,,,,
2020-09-01,919.2952880859376,949.9000244140624,996.0,731.0,752.0,22439949.0,,,,,,,,,,,,
2020-10-01,871.39013671875,900.4000244140625,973.5,865.7999877929688,973.0,7374884.0,,,,,,,,,,,,
2020-11-01,892.3424682617188,922.0499877929688,946.0,872.0,891.0,7290262.0,,,,,,,,,,,,
2020-12-01,934.0313720703124,961.9500122070312,996.0,884.0999755859375,927.0,9064921.0,,,,,,,,,,,,
2021-01-01,864.4122924804688,890.25,980.9000244140624,864.0,965.0,5503979.0,,,,,,,,,,,,
2021-02-01,787.8023071289062,811.3499755859375,934.0,771.5,894.5999755859375,10679566.0,,,,,,,,,,,,
2021-03-01,802.5751342773438,825.5499877929688,898.7999877929688,778.0999755859375,816.0,8122196.0,,,,,,,,,,,,
2021-04-01,871.4048461914062,896.3499755859375,948.8499755859376,825.0,829.9000244140625,9106378.0,,,,,,,,,,,,
2021-05-01,1021.7509155273438,1051.0,1188.050048828125,910.2999877929688,929.0,23613548.0,,,,,,,,,,,,
2021-06-01,1097.920654296875,1129.3499755859375,1149.0,1022.0,1058.550048828125,15535190.0,,,,,,,,,,,,
2021-07-01,995.5511474609376,1024.050048828125,1189.0,1002.0999755859376,1139.0,11176699.0,,,,,,,,,,,,
2021-08-01,918.9925537109376,945.2999877929688,1049.0,884.5999755859375,1028.0,7038601.0,,,,,,,,,,,,
2021-09-01,868.6637573242188,891.5499877929688,993.9500122070312,871.0999755859375,946.0,3660807.0,,,,,,,,,,,,
2021-10-01,805.9656982421875,827.2000122070312,926.9500122070312,810.0,895.9000244140625,4647418.0,,,,,,,,,,,,
2021-11-01,816.0986328125,837.5999755859375,881.5999755859375,792.2999877929688,825.5499877929688,4176029.0,,,,,,,,,,,,
2021-12-01,881.9732666015625,904.6500244140624,913.7999877929688,812.4500122070312,841.7999877929688,7150821.0,,,,,,,,,,,,
2022-01-01,887.5302734375,910.3499755859376,944.0,852.3499755859375,911.9000244140624,3520637.0,,,,,,,,,,,,
2022-02-01,847.7042846679688,869.5,938.7999877929688,751.9000244140625,915.0,4251496.0,,,,,,,,,,,,
2022-03-01,738.9874267578125,756.1500244140625,919.5,752.0999755859375,869.5,5802940.0,,,,,,,,,,,,
2022-04-01,768.9905395507812,786.8499755859375,848.4000244140625,756.9000244140625,759.9500122070312,3587628.0,,,,,,,,,,,,
2022-05-01,675.2672729492188,690.9500122070312,802.2999877929688,607.75,783.5499877929688,7691844.0,,,,,,,,,,,,
2022-06-01,635.0512084960938,649.7999877929688,729.5,610.0,692.1500244140625,4107243.0,,,,,,,,,,,,
2022-07-01,666.6669921875,682.1500244140625,688.0999755859375,629.6500244140625,652.0,3695576.0,,,,,,,,,,,,
2022-08-01,601.6763916015625,615.6500244140625,778.9000244140625,612.0,688.0,14142127.0,,,,,,,,,,,,
2022-09-01,595.239501953125,605.7999877929688,660.0,592.4500122070312,615.9500122070312,10229263.0,,,,,,,,,,,,
2022-10-01,590.2776489257812,600.75,631.5,582.0,606.0,3993097.0,,,,,,,,,,,,
2022-11-01,550.92578125,560.7000122070312,635.6500244140625,545.0,603.7999877929688,6061517.0,,,,,,,,,,,,
2022-12-01,552.5808715820312,561.6500244140625,600.0,547.5,564.5,5557035.0,,,,,,,,,,,,
2023-01-01,524.4425659179688,533.0499877929688,570.0,526.0999755859375,564.4500122070312,2802413.0,,,,,,,,,,,,
2023-02-01,529.2635498046875,537.9500122070312,555.0,502.0,533.0499877929688,4230059.0,,,,,,,,,,,,
2023-03-01,555.5159301757812,563.3499755859375,580.0,520.25,544.0,8913615.0,,,,,,,,,,,,
2023-04-01,566.9546508789062,574.9500122070312,590.9000244140625,551.0,569.7999877929688,4409569.0,,,,,,,,,,,,
2023-05-01,610.1949462890625,618.7999877929688,659.7000122070312,574.9500122070312,574.9500122070312,13268089.0,,,,,,,,,,,,
2023-06-01,683.5603637695312,693.2000122070312,705.0,616.5999755859375,623.9000244140625,18357855.0,,,,,,,,,,,,
2023-07-01,822.35302734375,833.9500122070312,859.7000122070312,667.7999877929688,698.9000244140625,15921077.0,,,,,,,,,,,,
2023-08-01,900.9447021484376,913.6500244140624,916.5999755859376,785.0,837.0,18450399.0,,,,,,,,,,,,
2023-09-01,867.9617309570312,873.0499877929688,928.0,805.2999877929688,918.6500244140624,14298358.0,,,,,,,,,,,,
2023-10-01,795.6854248046875,800.3499755859375,881.0,789.5499877929688,873.0499877929688,7081675.0,,,,,,,,,,,,
2023-11-01,787.8812255859375,792.5,829.9000244140625,724.2000122070312,809.9000244140625,21399818.0,,,,,,,,,,,,
2023-12-01,807.90087890625,811.3499755859375,819.7999877929688,752.4500122070312,794.9500122070312,10738292.0,,,,,,,,,,,,
2024-01-01,862.1194458007812,865.7999877929688,885.5,805.0,811.9500122070312,12689120.0,,,,,,,,,,,,
2024-02-01,990.8199462890624,995.0499877929688,1108.3499755859375,828.0,872.0,33789785.0,,,,,,,,,,,,
2024-03-01,949.1572265625,952.0499877929688,1042.949951171875,928.0,999.5499877929688,13227216.0,,,,,,,,,,,,
2024-04-01,1015.056396484375,1018.1500244140624,1059.0,950.5499877929688,971.0999755859376,13148252.0,,,,,,,,,,,,
2024-05-01,994.6187133789062,997.6500244140624,1100.0,964.2999877929688,1018.1500244140624,15996584.0,,,,,,,,,,,,
2024-06-01,1163.304443359375,1166.8499755859375,1259.449951171875,952.0,1039.0,23563531.0,,,,,,,,,,,,
2024-07-01,1357.213623046875,1361.3499755859375,1384.0,1162.6500244140625,1173.9000244140625,22336909.0,,,,,,,,,,,,
2024-08-01,1532.878173828125,1537.550048828125,1584.949951171875,1291.949951171875,1363.550048828125,27033588.0,,,,,,,,,,,,
2024-09-01,1418.4283447265625,1420.0,1639.0,1376.050048828125,1550.300048828125,17312631.0,,,,,,,,,,,,
2024-10-01,1401.397216796875,1402.949951171875,1484.949951171875,1282.550048828125,1420.0,14462000.0,,,,,,,,,,,,
2024-11-01,1373.9775390625,1375.5,1460.1500244140625,1332.0999755859375,1436.949951171875,12376288.0,,,,,,,,,,,,
2024-12-01,1387.300048828125,1387.300048828125,1505.0,1356.6500244140625,1383.0,13420104.0,,,,,,,,,,,,
2025-01-01,1262.8499755859375,1262.8499755859375,1420.0,1200.0,1389.800048828125,6389504.0,,,,,,,,,,,,
