Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'DLF.NS')","('High', 'DLF.NS')","('Low', 'DLF.NS')","('Open', 'DLF.NS')","('Volume', 'DLF.NS')","('Date', '')","('Close', 'DLF.NS')","('High', 'DLF.NS')","('Low', 'DLF.NS')","('Open', 'DLF.NS')","('Volume', 'DLF.NS')"
2020-01-01,250.69146728515625,260.45001220703125,265.8999938964844,217.3000030517578,231.3999938964844,155404426.0,,,,,,,,,,,,
2020-02-01,194.1427154541016,201.6999969482422,266.54998779296875,193.1499938964844,258.95001220703125,215077555.0,,,,,,,,,,,,
2020-03-01,132.982421875,137.4499969482422,213.3999938964844,114.5500030517578,206.0,233345892.0,,,,,,,,,,,,
2020-04-01,142.07688903808594,146.85000610351562,152.25,127.5999984741211,135.9499969482422,201274587.0,,,,,,,,,,,,
2020-05-01,145.75335693359375,150.64999389648438,152.85000610351562,125.0,146.85000610351562,150319369.0,,,,,,,,,,,,
2020-06-01,143.23788452148438,148.0500030517578,171.25,143.6999969482422,153.0,265237533.0,,,,,,,,,,,,
2020-07-01,136.56216430664062,141.14999389648438,156.0,134.5,148.4499969482422,232216753.0,,,,,,,,,,,,
2020-08-01,153.20310974121094,158.35000610351562,181.8500061035156,138.0,140.14999389648438,354032469.0,,,,,,,,,,,,
2020-09-01,147.6883544921875,152.64999389648438,166.35000610351562,142.5,158.8000030517578,275763707.0,,,,,,,,,,,,
2020-10-01,153.94570922851562,158.3000030517578,175.10000610351562,150.60000610351562,153.5,243885706.0,,,,,,,,,,,,
2020-11-01,182.05079650878903,187.1999969482422,200.8500061035156,156.64999389648438,160.3000030517578,284174835.0,,,,,,,,,,,,
2020-12-01,226.44509887695312,232.8500061035156,240.3999938964844,189.6000061035156,192.0,388815030.0,,,,,,,,,,,,
2021-01-01,248.4234313964844,255.4499969482422,299.5,232.5,232.8500061035156,435214796.0,,,,,,,,,,,,
2021-02-01,294.17926025390625,302.5,328.20001220703125,255.0,258.5,416546507.0,,,,,,,,,,,,
2021-03-01,279.1542358398437,287.04998779296875,332.70001220703125,270.0,305.79998779296875,206078928.0,,,,,,,,,,,,
2021-04-01,240.4976348876953,247.3000030517578,293.6000061035156,231.8500061035156,288.1000061035156,181617940.0,,,,,,,,,,,,
2021-05-01,280.5157470703125,288.45001220703125,292.8500061035156,241.75,244.0,181071886.0,,,,,,,,,,,,
2021-06-01,273.3679504394531,281.1000061035156,317.04998779296875,280.3999938964844,290.0,191291801.0,,,,,,,,,,,,
2021-07-01,328.3624267578125,337.6499938964844,344.54998779296875,279.45001220703125,282.6000061035156,269570977.0,,,,,,,,,,,,
2021-08-01,311.7327880859375,320.54998779296875,359.25,303.0,340.0,176802482.0,,,,,,,,,,,,
2021-09-01,408.367431640625,417.2000122070313,427.8999938964844,319.25,322.6499938964844,355851915.0,,,,,,,,,,,,
2021-10-01,390.1612243652344,398.6000061035156,449.7000122070313,388.2000122070313,419.0,191439800.0,,,,,,,,,,,,
2021-11-01,366.8650512695313,374.7999877929688,444.0,363.1000061035156,404.3500061035156,142514138.0,,,,,,,,,,,,
2021-12-01,382.1837768554688,390.4500122070313,423.5,361.5499877929688,380.0,119082691.0,,,,,,,,,,,,
2022-01-01,382.6241760253906,390.8999938964844,429.8999938964844,362.0,392.0,118877562.0,,,,,,,,,,,,
2022-02-01,343.32421875,350.75,409.75,318.04998779296875,394.7999877929688,169273199.0,,,,,,,,,,,,
2022-03-01,372.3954772949219,380.4500122070313,387.4500122070313,306.0,350.75,165030559.0,,,,,,,,,,,,
2022-04-01,363.9775390625,371.8500061035156,407.5,361.1000061035156,380.0,96954825.0,,,,,,,,,,,,
