Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'EXIDEIND.NS')","('High', 'EXIDEIND.NS')","('Low', 'EXIDEIND.NS')","('Open', 'EXIDEIND.NS')","('Volume', 'EXIDEIND.NS')","('Date', '')","('Close', 'EXIDEIND.NS')","('High', 'EXIDEIND.NS')","('Low', 'EXIDEIND.NS')","('Open', 'EXIDEIND.NS')","('Volume', 'EXIDEIND.NS')"
2020-01-01,187.7382202148437,197.1499938964844,208.25,179.14999389648438,186.8999938964844,43643576.0,,,,,,,,,,,,
2020-02-01,156.5040740966797,164.35000610351562,201.5,161.1999969482422,197.0,58427149.0,,,,,,,,,,,,
2020-03-01,125.31752014160156,131.60000610351562,168.0,124.6999969482422,165.1999969482422,64950173.0,,,,,,,,,,,,
2020-04-01,152.09451293945312,157.25,163.35000610351562,127.3000030517578,131.0,56461037.0,,,,,,,,,,,,
2020-05-01,157.5592803955078,162.89999389648438,164.6999969482422,142.35000610351562,157.25,49841504.0,,,,,,,,,,,,
2020-06-01,143.3412322998047,148.1999969482422,175.0,145.0,165.39999389648438,103778550.0,,,,,,,,,,,,
2020-07-01,150.54696655273438,155.64999389648438,162.75,147.60000610351562,149.35000610351562,70623406.0,,,,,,,,,,,,
2020-08-01,158.67156982421875,164.0500030517578,178.39999389648438,153.0,155.60000610351562,106375517.0,,,,,,,,,,,,
2020-09-01,159.49371337890625,164.89999389648438,169.5,153.60000610351562,164.0,84613847.0,,,,,,,,,,,,
2020-10-01,153.8354949951172,159.0500030517578,168.85000610351562,155.0,165.5500030517578,57457311.0,,,,,,,,,,,,
2020-11-01,178.78964233398438,184.8500061035156,186.3999938964844,157.10000610351562,159.14999389648438,97761967.0,,,,,,,,,,,,
2020-12-01,184.97982788085932,191.25,197.4499969482422,174.6999969482422,186.5,89732070.0,,,,,,,,,,,,
2021-01-01,187.1560516357422,193.5,209.1999969482422,190.3999938964844,191.6999969482422,109484548.0,,,,,,,,,,,,
2021-02-01,196.05441284179688,202.6999969482422,219.3000030517578,187.6000061035156,193.9499969482422,126746674.0,,,,,,,,,,,,
2021-03-01,179.3345184326172,183.6000061035156,211.5500030517578,180.0,204.5,70064727.0,,,,,,,,,,,,
