Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'CERA.NS')","('High', 'CERA.NS')","('Low', 'CERA.NS')","('Open', 'CERA.NS')","('Volume', 'CERA.NS')","('Date', '')","('Close', 'CERA.NS')","('High', 'CERA.NS')","('Low', 'CERA.NS')","('Open', 'CERA.NS')","('Volume', 'CERA.NS')"
2020-01-01,2642.86181640625,2709.25,2749.0,2532.0,2740.89990234375,105872.0,,,,,,,,,,,,
2020-02-01,2431.17919921875,2492.25,2724.0,2356.949951171875,2724.0,116109.0,,,,,,,,,,,,
2020-03-01,2266.81103515625,2311.449951171875,2739.300048828125,1986.0,2435.050048828125,822923.0,,,,,,,,,,,,
2020-04-01,2158.2490234375,2200.75,2340.0,2082.0,2300.0,59712.0,,,,,,,,,,,,
2020-05-01,2278.7265625,2323.60009765625,2475.0,2092.0,2200.75,149553.0,,,,,,,,,,,,
2020-06-01,2167.5654296875,2210.25,2413.949951171875,2166.050048828125,2413.949951171875,98857.0,,,,,,,,,,,,
2020-07-01,2185.806396484375,2228.85009765625,2346.0,2161.050048828125,2182.199951171875,68072.0,,,,,,,,,,,,
2020-08-01,2411.85498046875,2459.35009765625,2640.5,2121.0,2263.75,196791.0,,,,,,,,,,,,
2020-09-01,2280.491455078125,2325.39990234375,2603.0,2215.5,2426.199951171875,103432.0,,,,,,,,,,,,
2020-10-01,2600.049072265625,2651.25,2828.0,2310.0,2348.0,234812.0,,,,,,,,,,,,
2020-11-01,3064.1591796875,3124.5,3504.800048828125,2625.0,2738.949951171875,242376.0,,,,,,,,,,,,
2020-12-01,3326.4443359375,3391.949951171875,3569.0,3011.550048828125,3124.5,296736.0,,,,,,,,,,,,
2021-01-01,3353.16796875,3419.199951171875,3744.199951171875,3300.0,3393.5,275396.0,,,,,,,,,,,,
2021-02-01,3785.06298828125,3859.60009765625,4027.0,3315.14990234375,3428.0,413296.0,,,,,,,,,,,,
2021-03-01,3831.841796875,3907.300048828125,4200.0,3601.0,3820.0,276565.0,,,,,,,,,,,,
2021-04-01,3770.107666015625,3844.35009765625,4108.2001953125,3681.199951171875,3922.0,156508.0,,,,,,,,,,,,
2021-05-01,3873.618896484375,3949.89990234375,4251.0,3751.0,3858.0,261940.0,,,,,,,,,,,,
2021-06-01,4398.091796875,4484.7001953125,4895.0,3934.550048828125,3999.0,647289.0,,,,,,,,,,,,
2021-07-01,4367.00341796875,4453.0,4650.0,4249.9501953125,4518.0,243385.0,,,,,,,,,,,,
2021-08-01,4368.3251953125,4441.35009765625,4844.0,4380.0,4520.0,499802.0,,,,,,,,,,,,
2021-09-01,5174.1044921875,5260.60009765625,5700.0,4191.75,4447.39990234375,729814.0,,,,,,,,,,,,
2021-10-01,5097.8291015625,5183.0498046875,6450.0,5030.0,5260.60009765625,526308.0,,,,,,,,,,,,
2021-11-01,4919.4619140625,5001.7001953125,5645.0,4750.0,5200.0,177425.0,,,,,,,,,,,,
2021-12-01,4737.10986328125,4816.2998046875,5084.7001953125,4415.64990234375,4975.0498046875,136783.0,,,,,,,,,,,,
2022-01-01,4799.41796875,4879.64990234375,5072.0,4204.64990234375,4888.5498046875,333489.0,,,,,,,,,,,,
2022-02-01,4253.29736328125,4324.39990234375,4966.7998046875,3953.199951171875,4904.0498046875,349474.0,,,,,,,,,,,,
