Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'VGUARD.NS')","('High', 'VGUARD.NS')","('Low', 'VGUARD.NS')","('Open', 'VGUARD.NS')","('Volume', 'VGUARD.NS')","('Date', '')","('Close', 'VGUARD.NS')","('High', 'VGUARD.NS')","('Low', 'VGUARD.NS')","('Open', 'VGUARD.NS')","('Volume', 'VGUARD.NS')"
2020-01-01,220.5056304931641,225.4499969482422,233.9499969482422,207.0,212.1000061035156,6370463.0,,,,,,,,,,,,
2020-02-01,198.49908447265625,202.9499969482422,228.0,198.0,225.6499938964844,6872750.0,,,,,,,,,,,,
2020-03-01,152.41835021972656,155.14999389648438,205.9499969482422,149.0,203.1000061035156,7246528.0,,,,,,,,,,,,
2020-04-01,173.58889770507812,176.6999969482422,195.0,152.0500030517578,156.89999389648438,11986192.0,,,,,,,,,,,,
2020-05-01,173.9327850341797,177.0500030517578,185.6000061035156,166.14999389648438,176.6999969482422,6232041.0,,,,,,,,,,,,
2020-06-01,166.957763671875,169.9499969482422,192.0,169.14999389648438,180.0,10903929.0,,,,,,,,,,,,
2020-07-01,159.9827880859375,162.85000610351562,176.89999389648438,162.0,170.3000030517578,7978795.0,,,,,,,,,,,,
2020-08-01,164.3544158935547,167.3000030517578,182.6000061035156,159.35000610351562,162.85000610351562,30146011.0,,,,,,,,,,,,
2020-09-01,167.44895935058594,170.4499969482422,180.0,162.60000610351562,167.1999969482422,11057054.0,,,,,,,,,,,,
2020-10-01,166.7612762451172,169.75,173.89999389648438,163.3000030517578,173.0,9100614.0,,,,,,,,,,,,
2020-11-01,181.69366455078125,184.9499969482422,186.0,163.85000610351562,172.4499969482422,15098498.0,,,,,,,,,,,,
2020-12-01,182.92166137695312,186.1999969482422,199.8500061035156,177.9499969482422,186.0,15715353.0,,,,,,,,,,,,
2021-01-01,226.7364196777344,230.8000030517578,242.0,186.25,187.8999938964844,27917389.0,,,,,,,,,,,,
2021-02-01,221.1367645263672,225.1000061035156,255.0,219.0,233.5,22067622.0,,,,,,,,,,,,
2021-03-01,247.906982421875,252.3500061035156,255.0,217.5500030517578,226.8999938964844,18908138.0,,,,,,,,,,,,
2021-04-01,219.1719970703125,223.1000061035156,262.0,220.3000030517578,253.0,12606580.0,,,,,,,,,,,,
2021-05-01,274.0386657714844,278.95001220703125,285.0,219.0,223.4499969482422,32674807.0,,,,,,,,,,,,
2021-06-01,260.48162841796875,265.1499938964844,281.75,251.25,279.95001220703125,30105924.0,,,,,,,,,,,,
2021-07-01,244.615966796875,249.0,267.8500061035156,246.25,265.1499938964844,17764928.0,,,,,,,,,,,,
2021-08-01,240.30938720703125,243.4499969482422,255.1000061035156,230.3000030517578,250.8999938964844,17161446.0,,,,,,,,,,,,
2021-09-01,254.62234497070312,257.95001220703125,265.54998779296875,240.0,244.8999938964844,21105617.0,,,,,,,,,,,,
2021-10-01,253.5858612060547,256.8999938964844,274.79998779296875,241.0500030517578,255.1499938964844,13903796.0,,,,,,,,,,,,
2021-11-01,241.59262084960932,244.75,263.8999938964844,222.0,257.95001220703125,9077126.0,,,,,,,,,,,,
2021-12-01,218.7906036376953,221.6499938964844,249.0,219.6499938964844,248.0,6929441.0,,,,,,,,,,,,
2022-01-01,212.86802673339844,215.6499938964844,228.75,210.6999969482422,223.25,8474536.0,,,,,,,,,,,,
2022-02-01,192.5831298828125,195.1000061035156,225.5,181.0,217.6000061035156,8171787.0,,,,,,,,,,,,
2022-03-01,213.01608276367188,215.8000030517578,223.5500030517578,194.0500030517578,195.1000061035156,11068535.0,,,,,,,,,,,,
2022-04-01,208.91961669921875,211.6499938964844,227.8000030517578,209.9499969482422,216.0,8091149.0,,,,,,,,,,,,
